phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,574,eval_first,global,1.png,neutral,extinction,11
globalratings,574,eval_first,global,17.png,positive,extinction,11
globalratings,574,eval_first,global,12.png,extinction,neutral,3
globalratings,574,eval_first,global,23.png,extinction,neutral,6
globalratings,574,eval_first,global,5.png,neutral,extinction,13
globalratings,574,eval_first,global,21.png,extinction,positive,5
globalratings,574,eval_first,global,26.png,extinction,positive,4
globalratings,574,eval_first,global,3.png,negative,extinction,4
globalratings,574,eval_first,global,9.png,extinction,negative,10
globalratings,574,eval_first,global,10.png,negative,extinction,8
globalratings,574,eval_first,global,8.png,positive,extinction,11
globalratings,574,eval_first,global,4.png,neutral,extinction,11
globalratings,574,eval_first,global,24.png,extinction,negative,5
globalratings,574,eval_first,global,7.png,extinction,neutral,1
globalratings,574,eval_first,global,14.png,extinction,negative,16
globalratings,574,eval_first,global,11.png,positive,extinction,11
globalratings,574,eval_first,global,20.png,extinction,positive,12
globalratings,574,eval_first,global,18.png,negative,extinction,4
