phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,616,expect_first,global,20.png,extinction,positive,0,5,0
globalexpectancy,616,expect_first,global,18.png,positive,extinction,0,7,0
globalexpectancy,616,expect_first,global,5.png,neutral,extinction,5,2,2
globalexpectancy,616,expect_first,global,17.png,extinction,negative,7,0,0
globalexpectancy,616,expect_first,global,12.png,extinction,neutral,0,0,7
globalexpectancy,616,expect_first,global,14.png,negative,extinction,5,0,0
globalexpectancy,616,expect_first,global,4.png,extinction,positive,0,5,0
globalexpectancy,616,expect_first,global,10.png,neutral,extinction,0,0,7
globalexpectancy,616,expect_first,global,11.png,extinction,neutral,0,0,5
globalexpectancy,616,expect_first,global,21.png,extinction,negative,5,0,0
globalexpectancy,616,expect_first,global,24.png,positive,extinction,0,8,0
globalexpectancy,616,expect_first,global,1.png,extinction,positive,0,5,0
globalexpectancy,616,expect_first,global,9.png,extinction,negative,5,0,0
globalexpectancy,616,expect_first,global,8.png,negative,extinction,5,0,0
globalexpectancy,616,expect_first,global,26.png,extinction,neutral,0,0,5
globalexpectancy,616,expect_first,global,23.png,neutral,extinction,0,0,5
globalexpectancy,616,expect_first,global,7.png,negative,extinction,7,0,0
globalexpectancy,616,expect_first,global,3.png,positive,extinction,0,8,0
