phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,379,expect_first,global,17.png,negative,extinction,2
globalratings,379,expect_first,global,7.png,extinction,neutral,15
globalratings,379,expect_first,global,1.png,negative,extinction,2
globalratings,379,expect_first,global,9.png,extinction,positive,6
globalratings,379,expect_first,global,12.png,neutral,extinction,8
globalratings,379,expect_first,global,5.png,negative,extinction,18
globalratings,379,expect_first,global,24.png,extinction,positive,13
globalratings,379,expect_first,global,21.png,extinction,negative,15
globalratings,379,expect_first,global,23.png,extinction,neutral,14
globalratings,379,expect_first,global,11.png,extinction,positive,4
globalratings,379,expect_first,global,8.png,positive,extinction,6
globalratings,379,expect_first,global,14.png,positive,extinction,6
globalratings,379,expect_first,global,26.png,extinction,neutral,0
globalratings,379,expect_first,global,4.png,extinction,negative,6
globalratings,379,expect_first,global,18.png,positive,extinction,5
globalratings,379,expect_first,global,3.png,neutral,extinction,5
globalratings,379,expect_first,global,20.png,extinction,negative,11
globalratings,379,expect_first,global,10.png,neutral,extinction,5
