phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
c2ratings,625,expect_first,c2,9.png,extinction,positive,13
c2ratings,625,expect_first,c2,24.png,positive,extinction,13
c2ratings,625,expect_first,c2,17.png,extinction,negative,6
c2ratings,625,expect_first,c2,26.png,extinction,neutral,6
c2ratings,625,expect_first,c2,11.png,extinction,neutral,6
c2ratings,625,expect_first,c2,3.png,negative,extinction,5
c2ratings,625,expect_first,c2,21.png,extinction,positive,10
c2ratings,625,expect_first,c2,4.png,extinction,negative,9
c2ratings,625,expect_first,c2,12.png,neutral,extinction,8
c2ratings,625,expect_first,c2,20.png,positive,extinction,9
c2ratings,625,expect_first,c2,7.png,extinction,neutral,7
c2ratings,625,expect_first,c2,8.png,neutral,extinction,5
c2ratings,625,expect_first,c2,18.png,extinction,positive,6
c2ratings,625,expect_first,c2,5.png,extinction,negative,6
c2ratings,625,expect_first,c2,1.png,positive,extinction,9
c2ratings,625,expect_first,c2,10.png,negative,extinction,6
c2ratings,625,expect_first,c2,23.png,neutral,extinction,8
c2ratings,625,expect_first,c2,14.png,negative,extinction,9
