phase,subject_nr,dv_order,context,block,trial,cond_order,repetition,valence,conditioning,stim1,stim2,identification,identification_resp,identification_time
trials,602,expect_first,global,1,1,2,1,negative,acquisition,2276.JPG,10.png,0,NA,NA
trials,602,expect_first,global,1,2,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,602,expect_first,global,1,3,2,1,neutral,acquisition,7025.JPG,1.png,0,NA,NA
trials,602,expect_first,global,1,4,2,1,negative,acquisition,2141.JPG,14.png,0,NA,NA
trials,602,expect_first,global,1,5,2,1,positive,acquisition,1463.JPG,7.png,0,NA,NA
trials,602,expect_first,global,1,6,2,NA,NA,NA,13.png,16.png,0,NA,NA
trials,602,expect_first,global,1,7,2,1,positive,acquisition,1460.JPG,18.png,0,NA,NA
trials,602,expect_first,global,1,8,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,602,expect_first,global,1,9,2,NA,NA,NA,5660.JPG,empty.png,0,NA,NA
trials,602,expect_first,global,1,10,2,2,negative,acquisition,2276.JPG,10.png,0,NA,NA
trials,602,expect_first,global,1,11,2,NA,NA,NA,empty.png,5870.JPG,0,NA,NA
trials,602,expect_first,global,1,12,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,602,expect_first,global,1,13,2,2,negative,acquisition,2141.JPG,14.png,0,NA,NA
trials,602,expect_first,global,1,14,2,NA,NA,NA,empty.png,5660.JPG,0,NA,NA
trials,602,expect_first,global,1,15,2,1,negative,extinction,empty.png,21.png,0,NA,NA
trials,602,expect_first,global,1,16,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,602,expect_first,global,1,17,2,2,positive,acquisition,1463.JPG,7.png,0,NA,NA
trials,602,expect_first,global,1,18,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,602,expect_first,global,1,19,2,NA,NA,NA,13.png,16.png,0,NA,NA
trials,602,expect_first,global,1,20,2,NA,NA,NA,empty.png,5870.JPG,0,NA,NA
trials,602,expect_first,global,1,21,2,1,neutral,extinction,empty.png,12.png,0,NA,NA
trials,602,expect_first,global,1,22,2,NA,NA,NA,27.png,empty.png,0,NA,NA
