phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,403,expect_first,global,3.png,positive,extinction,3,5,6
globalexpectancy,403,expect_first,global,23.png,extinction,positive,1,10,3
globalexpectancy,403,expect_first,global,9.png,extinction,negative,10,1,1
globalexpectancy,403,expect_first,global,26.png,extinction,neutral,0,1,10
globalexpectancy,403,expect_first,global,21.png,extinction,neutral,0,0,10
globalexpectancy,403,expect_first,global,8.png,negative,extinction,10,0,0
globalexpectancy,403,expect_first,global,10.png,positive,extinction,0,10,0
globalexpectancy,403,expect_first,global,18.png,neutral,extinction,0,0,0
globalexpectancy,403,expect_first,global,24.png,extinction,positive,0,10,0
globalexpectancy,403,expect_first,global,17.png,negative,extinction,10,0,0
globalexpectancy,403,expect_first,global,5.png,extinction,negative,10,0,0
globalexpectancy,403,expect_first,global,1.png,extinction,positive,0,10,0
globalexpectancy,403,expect_first,global,7.png,extinction,neutral,0,0,10
globalexpectancy,403,expect_first,global,20.png,positive,extinction,0,10,0
globalexpectancy,403,expect_first,global,14.png,neutral,extinction,0,0,10
globalexpectancy,403,expect_first,global,4.png,neutral,extinction,6,4,5
globalexpectancy,403,expect_first,global,11.png,extinction,negative,10,0,0
globalexpectancy,403,expect_first,global,12.png,negative,extinction,10,0,0
