phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
c2ratings,471,expect_first,c2,23.png,negative,extinction,18
c2ratings,471,expect_first,c2,9.png,extinction,negative,4
c2ratings,471,expect_first,c2,8.png,extinction,neutral,7
c2ratings,471,expect_first,c2,3.png,positive,extinction,4
c2ratings,471,expect_first,c2,1.png,extinction,positive,3
c2ratings,471,expect_first,c2,21.png,neutral,extinction,10
c2ratings,471,expect_first,c2,20.png,neutral,extinction,12
c2ratings,471,expect_first,c2,17.png,extinction,neutral,4
c2ratings,471,expect_first,c2,14.png,positive,extinction,4
c2ratings,471,expect_first,c2,10.png,negative,extinction,10
c2ratings,471,expect_first,c2,26.png,negative,extinction,11
c2ratings,471,expect_first,c2,24.png,neutral,extinction,11
c2ratings,471,expect_first,c2,7.png,extinction,neutral,11
c2ratings,471,expect_first,c2,12.png,positive,extinction,13
c2ratings,471,expect_first,c2,4.png,extinction,positive,14
c2ratings,471,expect_first,c2,11.png,extinction,positive,14
c2ratings,471,expect_first,c2,18.png,extinction,negative,6
c2ratings,471,expect_first,c2,5.png,extinction,negative,3
