phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
c2ratings,420,eval_first,c2,3.png,negative,extinction,14
c2ratings,420,eval_first,c2,21.png,extinction,positive,5
c2ratings,420,eval_first,c2,10.png,extinction,positive,7
c2ratings,420,eval_first,c2,7.png,negative,extinction,13
c2ratings,420,eval_first,c2,5.png,extinction,positive,14
c2ratings,420,eval_first,c2,26.png,positive,extinction,0
c2ratings,420,eval_first,c2,17.png,positive,extinction,14
c2ratings,420,eval_first,c2,23.png,extinction,neutral,16
c2ratings,420,eval_first,c2,4.png,extinction,negative,4
c2ratings,420,eval_first,c2,8.png,extinction,neutral,3
c2ratings,420,eval_first,c2,9.png,extinction,neutral,1
c2ratings,420,eval_first,c2,1.png,neutral,extinction,4
c2ratings,420,eval_first,c2,14.png,negative,extinction,3
c2ratings,420,eval_first,c2,12.png,neutral,extinction,3
c2ratings,420,eval_first,c2,18.png,neutral,extinction,4
c2ratings,420,eval_first,c2,11.png,extinction,negative,0
c2ratings,420,eval_first,c2,20.png,positive,extinction,8
c2ratings,420,eval_first,c2,24.png,extinction,negative,6
