phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c2expectancy,519,expect_first,c2,7.png,positive,extinction,0,10,0
c2expectancy,519,expect_first,c2,17.png,extinction,neutral,1,10,1
c2expectancy,519,expect_first,c2,1.png,negative,extinction,2,9,0
c2expectancy,519,expect_first,c2,3.png,negative,extinction,1,9,0
c2expectancy,519,expect_first,c2,21.png,extinction,negative,0,3,5
c2expectancy,519,expect_first,c2,8.png,positive,extinction,6,4,0
c2expectancy,519,expect_first,c2,14.png,neutral,extinction,2,7,0
c2expectancy,519,expect_first,c2,24.png,extinction,positive,0,1,7
c2expectancy,519,expect_first,c2,12.png,extinction,positive,1,3,0
c2expectancy,519,expect_first,c2,10.png,extinction,negative,0,4,0
c2expectancy,519,expect_first,c2,4.png,neutral,extinction,7,3,0
c2expectancy,519,expect_first,c2,20.png,extinction,neutral,0,10,0
c2expectancy,519,expect_first,c2,18.png,positive,extinction,3,7,0
c2expectancy,519,expect_first,c2,11.png,extinction,negative,5,5,0
c2expectancy,519,expect_first,c2,9.png,extinction,neutral,2,5,0
c2expectancy,519,expect_first,c2,26.png,negative,extinction,1,5,0
c2expectancy,519,expect_first,c2,23.png,extinction,positive,0,10,0
c2expectancy,519,expect_first,c2,5.png,neutral,extinction,10,9,0
