phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
c1ratings,380,eval_first,c1,26.png,extinction,negative,15
c1ratings,380,eval_first,c1,9.png,negative,extinction,0
c1ratings,380,eval_first,c1,1.png,extinction,positive,15
c1ratings,380,eval_first,c1,10.png,neutral,extinction,8
c1ratings,380,eval_first,c1,20.png,extinction,neutral,16
c1ratings,380,eval_first,c1,23.png,extinction,negative,17
c1ratings,380,eval_first,c1,21.png,extinction,positive,16
c1ratings,380,eval_first,c1,14.png,extinction,positive,12
c1ratings,380,eval_first,c1,12.png,negative,extinction,0
c1ratings,380,eval_first,c1,3.png,neutral,extinction,16
c1ratings,380,eval_first,c1,18.png,negative,extinction,1
c1ratings,380,eval_first,c1,17.png,extinction,negative,11
c1ratings,380,eval_first,c1,7.png,extinction,neutral,15
c1ratings,380,eval_first,c1,24.png,extinction,neutral,15
c1ratings,380,eval_first,c1,5.png,neutral,extinction,8
c1ratings,380,eval_first,c1,11.png,positive,extinction,18
c1ratings,380,eval_first,c1,8.png,positive,extinction,16
c1ratings,380,eval_first,c1,4.png,positive,extinction,16
