phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,367,expect_first,global,26.png,extinction,positive,9
globalratings,367,expect_first,global,5.png,extinction,negative,12
globalratings,367,expect_first,global,17.png,extinction,negative,7
globalratings,367,expect_first,global,21.png,negative,extinction,9
globalratings,367,expect_first,global,9.png,negative,extinction,7
globalratings,367,expect_first,global,7.png,positive,extinction,12
globalratings,367,expect_first,global,3.png,positive,extinction,10
globalratings,367,expect_first,global,20.png,negative,extinction,8
globalratings,367,expect_first,global,24.png,extinction,negative,7
globalratings,367,expect_first,global,1.png,neutral,extinction,14
globalratings,367,expect_first,global,4.png,positive,extinction,7
globalratings,367,expect_first,global,23.png,extinction,neutral,9
globalratings,367,expect_first,global,14.png,extinction,positive,9
globalratings,367,expect_first,global,12.png,neutral,extinction,8
globalratings,367,expect_first,global,10.png,extinction,neutral,9
globalratings,367,expect_first,global,11.png,extinction,positive,8
globalratings,367,expect_first,global,8.png,neutral,extinction,7
globalratings,367,expect_first,global,18.png,extinction,neutral,6
