phase,subject_nr,dv_order,context,block,trial,cond_order,repetition,valence,conditioning,stim1,stim2,identification,identification_resp,identification_time
trials,360,eval_first,c2,1,1,1,1,neutral,acquisition,24.png,7025.JPG,0,NA,NA
trials,360,eval_first,c2,1,2,1,NA,NA,NA,6.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,3,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,4,1,1,positive,acquisition,10.png,1540.JPG,0,NA,NA
trials,360,eval_first,c2,1,5,1,NA,NA,NA,15.png,2.png,0,NA,NA
trials,360,eval_first,c2,1,6,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,7,1,1,negative,acquisition,23.png,9432.JPG,0,NA,NA
trials,360,eval_first,c2,1,8,1,NA,NA,NA,empty.png,25.png,0,NA,NA
trials,360,eval_first,c2,1,9,1,1,negative,acquisition,20.png,9331.JPG,0,NA,NA
trials,360,eval_first,c2,1,10,1,NA,NA,NA,5250.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,1,11,1,1,negative,extinction,4.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,12,1,1,neutral,extinction,1.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,13,1,NA,NA,NA,empty.png,5870.JPG,0,NA,NA
trials,360,eval_first,c2,1,14,1,1,neutral,acquisition,17.png,7002.JPG,0,NA,NA
trials,360,eval_first,c2,1,15,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,16,1,NA,NA,NA,5780.JPG,5970.JPG,0,NA,NA
trials,360,eval_first,c2,1,17,1,1,positive,acquisition,3.png,1440.JPG,0,NA,NA
trials,360,eval_first,c2,1,18,1,NA,NA,NA,5720.JPG,9280.JPG,0,NA,NA
trials,360,eval_first,c2,1,19,1,NA,NA,NA,empty.png,5660.JPG,0,NA,NA
trials,360,eval_first,c2,1,20,1,1,negative,extinction,7.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,21,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,22,1,2,negative,acquisition,23.png,9432.JPG,0,NA,NA
trials,360,eval_first,c2,1,23,1,1,neutral,extinction,5.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,24,1,3,negative,acquisition,23.png,9432.JPG,1,human,4160
trials,360,eval_first,c2,1,25,1,NA,NA,NA,5720.JPG,9280.JPG,0,NA,NA
trials,360,eval_first,c2,1,26,1,1,positive,extinction,12.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,27,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,28,1,1,positive,extinction,18.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,29,1,2,neutral,acquisition,17.png,7002.JPG,0,NA,NA
trials,360,eval_first,c2,1,30,1,2,positive,acquisition,10.png,1540.JPG,0,NA,NA
trials,360,eval_first,c2,1,31,1,1,negative,extinction,21.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,32,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,1,33,1,2,negative,extinction,21.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,34,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,35,1,1,positive,extinction,26.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,36,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,37,1,1,neutral,acquisition,14.png,7175.JPG,0,NA,NA
trials,360,eval_first,c2,1,38,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,39,1,NA,NA,NA,empty.png,5870.JPG,0,NA,NA
trials,360,eval_first,c2,1,40,1,NA,NA,NA,empty.png,19.png,0,NA,NA
trials,360,eval_first,c2,1,41,1,NA,NA,NA,empty.png,5870.JPG,0,NA,NA
trials,360,eval_first,c2,1,42,1,2,positive,extinction,18.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,43,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,44,1,NA,NA,NA,5611.JPG,9000.JPG,0,NA,NA
trials,360,eval_first,c2,1,45,1,NA,NA,NA,13.png,16.png,0,NA,NA
trials,360,eval_first,c2,1,46,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,1,47,1,2,negative,extinction,4.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,48,1,1,neutral,extinction,9.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,49,1,NA,NA,NA,13.png,16.png,0,NA,NA
trials,360,eval_first,c2,1,50,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,51,1,2,positive,acquisition,3.png,1440.JPG,0,NA,NA
trials,360,eval_first,c2,1,52,1,2,positive,extinction,12.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,53,1,NA,NA,NA,25.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,54,1,2,positive,extinction,26.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,55,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,56,1,NA,NA,NA,5780.JPG,5970.JPG,0,NA,NA
trials,360,eval_first,c2,1,57,1,1,negative,acquisition,8.png,9265.JPG,0,NA,NA
trials,360,eval_first,c2,1,58,1,3,positive,extinction,12.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,59,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,60,1,3,positive,acquisition,10.png,1540.JPG,0,NA,NA
trials,360,eval_first,c2,1,61,1,NA,NA,NA,6.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,62,1,NA,NA,NA,empty.png,5660.JPG,0,NA,NA
trials,360,eval_first,c2,1,63,1,NA,NA,NA,5780.JPG,5970.JPG,0,NA,NA
trials,360,eval_first,c2,1,64,1,NA,NA,NA,5250.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,1,65,1,2,neutral,acquisition,24.png,7025.JPG,0,NA,NA
trials,360,eval_first,c2,1,66,1,2,neutral,extinction,5.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,67,1,2,neutral,acquisition,14.png,7175.JPG,0,NA,NA
trials,360,eval_first,c2,1,68,1,NA,NA,NA,25.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,69,1,2,negative,acquisition,8.png,9265.JPG,0,NA,NA
trials,360,eval_first,c2,1,70,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,71,1,3,neutral,acquisition,24.png,7025.JPG,0,NA,NA
trials,360,eval_first,c2,1,72,1,3,neutral,extinction,5.png,empty.png,1,nothing,3150
trials,360,eval_first,c2,1,73,1,3,negative,acquisition,8.png,9265.JPG,0,NA,NA
trials,360,eval_first,c2,1,74,1,2,negative,acquisition,20.png,9331.JPG,0,NA,NA
trials,360,eval_first,c2,1,75,1,NA,NA,NA,5660.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,1,76,1,3,neutral,acquisition,17.png,7002.JPG,0,NA,NA
trials,360,eval_first,c2,1,77,1,2,negative,extinction,7.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,78,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,79,1,NA,NA,NA,6.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,80,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,1,81,1,3,negative,extinction,21.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,82,1,2,neutral,extinction,1.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,83,1,NA,NA,NA,5611.JPG,9000.JPG,0,NA,NA
trials,360,eval_first,c2,1,84,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,85,1,NA,NA,NA,19.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,86,1,3,neutral,extinction,1.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,87,1,3,neutral,acquisition,14.png,7175.JPG,1,object,2804
trials,360,eval_first,c2,1,88,1,NA,NA,NA,13.png,16.png,0,NA,NA
trials,360,eval_first,c2,1,89,1,NA,NA,NA,15.png,2.png,0,NA,NA
trials,360,eval_first,c2,1,90,1,NA,NA,NA,5720.JPG,9280.JPG,0,NA,NA
trials,360,eval_first,c2,1,91,1,3,negative,acquisition,20.png,9331.JPG,0,NA,NA
trials,360,eval_first,c2,1,92,1,1,positive,acquisition,11.png,1620.JPG,0,NA,NA
trials,360,eval_first,c2,1,93,1,NA,NA,NA,15.png,2.png,0,NA,NA
trials,360,eval_first,c2,1,94,1,3,positive,acquisition,3.png,1440.JPG,0,NA,NA
trials,360,eval_first,c2,1,95,1,2,positive,acquisition,11.png,1620.JPG,0,NA,NA
trials,360,eval_first,c2,1,96,1,2,neutral,extinction,9.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,97,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,98,1,3,neutral,extinction,9.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,99,1,3,positive,extinction,26.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,100,1,3,negative,extinction,4.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,101,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,102,1,NA,NA,NA,5611.JPG,9000.JPG,0,NA,NA
trials,360,eval_first,c2,1,103,1,3,positive,extinction,18.png,empty.png,1,nothing,2789
trials,360,eval_first,c2,1,104,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,105,1,3,positive,acquisition,11.png,1620.JPG,1,animal,2485
trials,360,eval_first,c2,1,106,1,NA,NA,NA,19.png,empty.png,0,NA,NA
trials,360,eval_first,c2,1,107,1,3,negative,extinction,7.png,empty.png,1,nothing,2448
trials,360,eval_first,c2,1,108,1,NA,NA,NA,empty.png,5250.JPG,0,NA,NA
trials,360,eval_first,c2,2,1,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,2,2,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,3,1,NA,NA,NA,empty.png,6.png,0,NA,NA
trials,360,eval_first,c2,2,4,1,NA,NA,NA,13.png,16.png,0,NA,NA
trials,360,eval_first,c2,2,5,1,4,negative,acquisition,23.png,9432.JPG,0,NA,NA
trials,360,eval_first,c2,2,6,1,NA,NA,NA,13.png,16.png,0,NA,NA
trials,360,eval_first,c2,2,7,1,4,neutral,extinction,9.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,8,1,4,positive,extinction,26.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,9,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,10,1,NA,NA,NA,5870.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,2,11,1,4,neutral,extinction,1.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,12,1,4,positive,extinction,18.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,13,1,4,negative,acquisition,8.png,9265.JPG,0,NA,NA
trials,360,eval_first,c2,2,14,1,4,negative,extinction,21.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,15,1,5,neutral,extinction,9.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,16,1,4,neutral,acquisition,17.png,7002.JPG,0,NA,NA
trials,360,eval_first,c2,2,17,1,4,positive,acquisition,3.png,1440.JPG,0,NA,NA
trials,360,eval_first,c2,2,18,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,19,1,4,negative,extinction,7.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,20,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,21,1,4,neutral,acquisition,24.png,7025.JPG,0,NA,NA
trials,360,eval_first,c2,2,22,1,5,negative,extinction,21.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,23,1,NA,NA,NA,empty.png,19.png,0,NA,NA
trials,360,eval_first,c2,2,24,1,4,positive,acquisition,10.png,1540.JPG,0,NA,NA
trials,360,eval_first,c2,2,25,1,5,negative,extinction,7.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,26,1,NA,NA,NA,15.png,2.png,0,NA,NA
trials,360,eval_first,c2,2,27,1,NA,NA,NA,empty.png,19.png,0,NA,NA
trials,360,eval_first,c2,2,28,1,4,positive,extinction,12.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,29,1,NA,NA,NA,5780.JPG,5970.JPG,0,NA,NA
trials,360,eval_first,c2,2,30,1,4,positive,acquisition,11.png,1620.JPG,0,NA,NA
trials,360,eval_first,c2,2,31,1,NA,NA,NA,15.png,2.png,0,NA,NA
trials,360,eval_first,c2,2,32,1,4,negative,extinction,4.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,33,1,NA,NA,NA,empty.png,5870.JPG,0,NA,NA
trials,360,eval_first,c2,2,34,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,35,1,NA,NA,NA,15.png,2.png,0,NA,NA
trials,360,eval_first,c2,2,36,1,NA,NA,NA,5611.JPG,9000.JPG,0,NA,NA
trials,360,eval_first,c2,2,37,1,NA,NA,NA,5720.JPG,9280.JPG,0,NA,NA
trials,360,eval_first,c2,2,38,1,5,negative,acquisition,8.png,9265.JPG,0,NA,NA
trials,360,eval_first,c2,2,39,1,5,negative,extinction,4.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,40,1,NA,NA,NA,19.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,41,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,42,1,NA,NA,NA,empty.png,25.png,0,NA,NA
trials,360,eval_first,c2,2,43,1,5,neutral,acquisition,24.png,7025.JPG,0,NA,NA
trials,360,eval_first,c2,2,44,1,NA,NA,NA,empty.png,5250.JPG,0,NA,NA
trials,360,eval_first,c2,2,45,1,5,positive,acquisition,3.png,1440.JPG,0,NA,NA
trials,360,eval_first,c2,2,46,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,47,1,5,neutral,acquisition,17.png,7002.JPG,0,NA,NA
trials,360,eval_first,c2,2,48,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,49,1,5,positive,extinction,18.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,50,1,6,positive,acquisition,3.png,1440.JPG,0,NA,NA
trials,360,eval_first,c2,2,51,1,NA,NA,NA,5780.JPG,5970.JPG,0,NA,NA
trials,360,eval_first,c2,2,52,1,NA,NA,NA,5720.JPG,9280.JPG,0,NA,NA
trials,360,eval_first,c2,2,53,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,54,1,NA,NA,NA,25.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,55,1,NA,NA,NA,5780.JPG,5970.JPG,0,NA,NA
trials,360,eval_first,c2,2,56,1,5,positive,acquisition,10.png,1540.JPG,0,NA,NA
trials,360,eval_first,c2,2,57,1,NA,NA,NA,empty.png,5250.JPG,0,NA,NA
trials,360,eval_first,c2,2,58,1,4,neutral,acquisition,14.png,7175.JPG,0,NA,NA
trials,360,eval_first,c2,2,59,1,4,negative,acquisition,20.png,9331.JPG,0,NA,NA
trials,360,eval_first,c2,2,60,1,6,neutral,extinction,9.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,61,1,NA,NA,NA,empty.png,6.png,0,NA,NA
trials,360,eval_first,c2,2,62,1,5,negative,acquisition,23.png,9432.JPG,0,NA,NA
trials,360,eval_first,c2,2,63,1,5,negative,acquisition,20.png,9331.JPG,0,NA,NA
trials,360,eval_first,c2,2,64,1,NA,NA,NA,empty.png,5660.JPG,0,NA,NA
trials,360,eval_first,c2,2,65,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,66,1,4,neutral,extinction,5.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,67,1,5,neutral,extinction,1.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,68,1,6,neutral,acquisition,24.png,7025.JPG,0,NA,NA
trials,360,eval_first,c2,2,69,1,6,neutral,extinction,1.png,empty.png,1,nothing,6281
trials,360,eval_first,c2,2,70,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,71,1,5,positive,extinction,12.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,72,1,6,negative,acquisition,20.png,9331.JPG,0,NA,NA
trials,360,eval_first,c2,2,73,1,5,neutral,acquisition,14.png,7175.JPG,0,NA,NA
trials,360,eval_first,c2,2,74,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,2,75,1,6,positive,extinction,18.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,76,1,6,positive,extinction,12.png,empty.png,1,nothing,8183
trials,360,eval_first,c2,2,77,1,6,negative,extinction,21.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,78,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,79,1,6,negative,extinction,7.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,80,1,6,negative,extinction,4.png,empty.png,1,nothing,6254
trials,360,eval_first,c2,2,81,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,82,1,6,neutral,acquisition,14.png,7175.JPG,0,NA,NA
trials,360,eval_first,c2,2,83,1,5,positive,extinction,26.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,84,1,6,negative,acquisition,23.png,9432.JPG,0,NA,NA
trials,360,eval_first,c2,2,85,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,86,1,6,positive,extinction,26.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,87,1,NA,NA,NA,5611.JPG,9000.JPG,0,NA,NA
trials,360,eval_first,c2,2,88,1,5,positive,acquisition,11.png,1620.JPG,0,NA,NA
trials,360,eval_first,c2,2,89,1,5,neutral,extinction,5.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,90,1,6,neutral,acquisition,17.png,7002.JPG,1,object,5612
trials,360,eval_first,c2,2,91,1,NA,NA,NA,empty.png,5660.JPG,0,NA,NA
trials,360,eval_first,c2,2,92,1,NA,NA,NA,13.png,16.png,0,NA,NA
trials,360,eval_first,c2,2,93,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,94,1,NA,NA,NA,5611.JPG,9000.JPG,0,NA,NA
trials,360,eval_first,c2,2,95,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,96,1,NA,NA,NA,25.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,97,1,NA,NA,NA,5250.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,2,98,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,2,99,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,100,1,NA,NA,NA,empty.png,6.png,0,NA,NA
trials,360,eval_first,c2,2,101,1,6,positive,acquisition,10.png,1540.JPG,1,animal,2295
trials,360,eval_first,c2,2,102,1,NA,NA,NA,5660.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,2,103,1,NA,NA,NA,5720.JPG,9280.JPG,0,NA,NA
trials,360,eval_first,c2,2,104,1,6,neutral,extinction,5.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,105,1,6,positive,acquisition,11.png,1620.JPG,0,NA,NA
trials,360,eval_first,c2,2,106,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,2,107,1,NA,NA,NA,5870.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,2,108,1,6,negative,acquisition,8.png,9265.JPG,1,human,2112
trials,360,eval_first,c2,3,1,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,3,2,1,NA,NA,NA,5870.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,3,3,1,7,neutral,acquisition,17.png,7002.JPG,0,NA,NA
trials,360,eval_first,c2,3,4,1,7,neutral,extinction,1.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,5,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,3,6,1,7,positive,extinction,26.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,7,1,7,positive,acquisition,3.png,1440.JPG,0,NA,NA
trials,360,eval_first,c2,3,8,1,7,negative,acquisition,8.png,9265.JPG,0,NA,NA
trials,360,eval_first,c2,3,9,1,7,neutral,acquisition,24.png,7025.JPG,0,NA,NA
trials,360,eval_first,c2,3,10,1,7,neutral,extinction,9.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,11,1,7,negative,acquisition,20.png,9331.JPG,0,NA,NA
trials,360,eval_first,c2,3,12,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,13,1,8,neutral,extinction,9.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,14,1,8,positive,extinction,26.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,15,1,7,negative,extinction,21.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,16,1,NA,NA,NA,empty.png,5250.JPG,0,NA,NA
trials,360,eval_first,c2,3,17,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,18,1,NA,NA,NA,5780.JPG,5970.JPG,0,NA,NA
trials,360,eval_first,c2,3,19,1,NA,NA,NA,5611.JPG,9000.JPG,0,NA,NA
trials,360,eval_first,c2,3,20,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,21,1,7,negative,extinction,4.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,22,1,NA,NA,NA,empty.png,6.png,0,NA,NA
trials,360,eval_first,c2,3,23,1,NA,NA,NA,5660.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,3,24,1,8,negative,acquisition,20.png,9331.JPG,0,NA,NA
trials,360,eval_first,c2,3,25,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,26,1,8,neutral,extinction,1.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,27,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,28,1,NA,NA,NA,5660.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,3,29,1,NA,NA,NA,13.png,16.png,0,NA,NA
trials,360,eval_first,c2,3,30,1,7,neutral,extinction,5.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,31,1,NA,NA,NA,5780.JPG,5970.JPG,0,NA,NA
trials,360,eval_first,c2,3,32,1,NA,NA,NA,5720.JPG,9280.JPG,0,NA,NA
trials,360,eval_first,c2,3,33,1,8,negative,acquisition,8.png,9265.JPG,0,NA,NA
trials,360,eval_first,c2,3,34,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,35,1,8,negative,extinction,21.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,36,1,NA,NA,NA,19.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,37,1,7,negative,acquisition,23.png,9432.JPG,0,NA,NA
trials,360,eval_first,c2,3,38,1,7,positive,extinction,18.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,39,1,NA,NA,NA,5250.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,3,40,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,41,1,NA,NA,NA,22.png,27.png,0,NA,NA
trials,360,eval_first,c2,3,42,1,7,positive,extinction,12.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,43,1,NA,NA,NA,empty.png,6.png,0,NA,NA
trials,360,eval_first,c2,3,44,1,8,positive,extinction,12.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,45,1,NA,NA,NA,5250.JPG,empty.png,0,NA,NA
trials,360,eval_first,c2,3,46,1,9,positive,extinction,12.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,47,1,8,positive,acquisition,3.png,1440.JPG,0,NA,NA
trials,360,eval_first,c2,3,48,1,NA,NA,NA,19.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,49,1,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,50,1,NA,NA,NA,6.png,empty.png,0,NA,NA
trials,360,eval_first,c2,3,51,1,9,negative,acquisition,20.png,9331.JPG,1,human,2086
