phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
c2ratings,483,expect_first,c2,10.png,negative,extinction,14
c2ratings,483,expect_first,c2,8.png,negative,extinction,4
c2ratings,483,expect_first,c2,5.png,extinction,positive,15
c2ratings,483,expect_first,c2,26.png,neutral,extinction,13
c2ratings,483,expect_first,c2,9.png,extinction,neutral,7
c2ratings,483,expect_first,c2,21.png,extinction,negative,11
c2ratings,483,expect_first,c2,20.png,neutral,extinction,14
c2ratings,483,expect_first,c2,18.png,extinction,negative,17
c2ratings,483,expect_first,c2,3.png,extinction,positive,7
c2ratings,483,expect_first,c2,7.png,negative,extinction,5
c2ratings,483,expect_first,c2,14.png,extinction,neutral,8
c2ratings,483,expect_first,c2,4.png,positive,extinction,2
c2ratings,483,expect_first,c2,23.png,positive,extinction,9
c2ratings,483,expect_first,c2,17.png,positive,extinction,3
c2ratings,483,expect_first,c2,24.png,extinction,neutral,0
c2ratings,483,expect_first,c2,12.png,extinction,negative,4
c2ratings,483,expect_first,c2,11.png,neutral,extinction,7
c2ratings,483,expect_first,c2,1.png,extinction,positive,12
