phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,397,expect_first,global,4.png,negative,extinction,5
globalratings,397,expect_first,global,26.png,neutral,extinction,8
globalratings,397,expect_first,global,14.png,negative,extinction,3
globalratings,397,expect_first,global,8.png,extinction,negative,5
globalratings,397,expect_first,global,10.png,extinction,neutral,9
globalratings,397,expect_first,global,20.png,neutral,extinction,12
globalratings,397,expect_first,global,1.png,extinction,positive,9
globalratings,397,expect_first,global,24.png,positive,extinction,10
globalratings,397,expect_first,global,9.png,extinction,neutral,9
globalratings,397,expect_first,global,12.png,extinction,positive,10
globalratings,397,expect_first,global,21.png,extinction,neutral,13
globalratings,397,expect_first,global,23.png,extinction,negative,4
globalratings,397,expect_first,global,17.png,extinction,negative,5
globalratings,397,expect_first,global,7.png,neutral,extinction,9
globalratings,397,expect_first,global,18.png,positive,extinction,10
globalratings,397,expect_first,global,5.png,positive,extinction,11
globalratings,397,expect_first,global,11.png,extinction,positive,12
globalratings,397,expect_first,global,3.png,negative,extinction,9
