phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,601,expect_first,global,14.png,extinction,positive,17
globalratings,601,expect_first,global,20.png,positive,extinction,9
globalratings,601,expect_first,global,17.png,extinction,negative,1
globalratings,601,expect_first,global,4.png,neutral,extinction,8
globalratings,601,expect_first,global,1.png,extinction,neutral,3
globalratings,601,expect_first,global,18.png,negative,extinction,8
globalratings,601,expect_first,global,12.png,extinction,neutral,8
globalratings,601,expect_first,global,7.png,neutral,extinction,8
globalratings,601,expect_first,global,26.png,neutral,extinction,17
globalratings,601,expect_first,global,10.png,positive,extinction,7
globalratings,601,expect_first,global,9.png,extinction,negative,7
globalratings,601,expect_first,global,23.png,extinction,positive,7
globalratings,601,expect_first,global,3.png,negative,extinction,3
globalratings,601,expect_first,global,8.png,negative,extinction,2
globalratings,601,expect_first,global,24.png,extinction,neutral,6
globalratings,601,expect_first,global,11.png,extinction,negative,6
globalratings,601,expect_first,global,5.png,extinction,positive,9
globalratings,601,expect_first,global,21.png,positive,extinction,2
