phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,352,eval_first,global,1.png,extinction,neutral,4
globalratings,352,eval_first,global,12.png,extinction,negative,8
globalratings,352,eval_first,global,11.png,negative,extinction,9
globalratings,352,eval_first,global,14.png,positive,extinction,9
globalratings,352,eval_first,global,18.png,positive,extinction,3
globalratings,352,eval_first,global,3.png,extinction,negative,2
globalratings,352,eval_first,global,7.png,extinction,positive,0
globalratings,352,eval_first,global,4.png,extinction,negative,0
globalratings,352,eval_first,global,8.png,positive,extinction,0
globalratings,352,eval_first,global,24.png,negative,extinction,0
globalratings,352,eval_first,global,10.png,negative,extinction,1
globalratings,352,eval_first,global,21.png,extinction,positive,1
globalratings,352,eval_first,global,5.png,extinction,neutral,10
globalratings,352,eval_first,global,17.png,neutral,extinction,11
globalratings,352,eval_first,global,20.png,neutral,extinction,11
globalratings,352,eval_first,global,9.png,extinction,neutral,9
globalratings,352,eval_first,global,23.png,neutral,extinction,11
globalratings,352,eval_first,global,26.png,extinction,positive,6
