subject_nr,condition,count_ratings_sequence,cs_filename_rating,us_valenz,cs_type,cs_duration,eval_rating,time_ratings_form,time_ratings_delay
58,2,0,M02_.bmp,neg,face,90,11,4037912,4042291
58,2,1,Mneu11_.bmp,pos,face,60,11,4042974,4046210
58,2,2,cs17.bmp,neg,prod,70,13,4046847,4052871
58,2,3,cs30.bmp,neg,prod,60,13,4053506,4057538
58,2,4,Wneu05_.bmp,pos,face,50,14,4058177,4060388
58,2,5,nw10.bmp,neg,word,50,12,4061027,4064426
58,2,6,cs11.bmp,neg,prod,30,10,4065066,4068737
58,2,7,nw11.bmp,neg,word,30,10,4069376,4071500
58,2,8,nw22.bmp,pos,word,70,11,4072136,4074320
58,2,9,cs21.bmp,pos,prod,70,15,4074956,4080115
58,2,10,nw5.bmp,neg,word,70,14,4080757,4082899
58,2,11,Mneu05_.bmp,neg,face,80,11,4083536,4090131
58,2,12,cs10.bmp,neg,prod,100,10,4090768,4096603
58,2,13,W03.bmp,pos,face,70,11,4097246,4099307
58,2,14,W04.bmp,neg,face,50,13,4099946,4103540
58,2,15,nw7.bmp,pos,word,40,11,4104175,4105985
58,2,16,nw4.bmp,neg,word,80,11,4106626,4108323
58,2,17,W16.bmp,pos,face,30,11,4108965,4111233
58,2,18,nw21.bmp,pos,word,100,17,4111876,4114998
58,2,19,W07.bmp,neg,face,70,12,4115636,4117224
58,2,20,nw13.bmp,pos,word,30,10,4117865,4119520
58,2,21,Mneu01_.bmp,neg,face,40,10,4120155,4122356
58,2,22,cs6.bmp,neg,prod,90,12,4123004,4126410
58,2,23,cs28.bmp,pos,prod,90,12,4127047,4134390
58,2,24,cs2.bmp,neg,prod,50,12,4135025,4138067
58,2,25,nw18.bmp,neg,word,60,11,4138705,4141657
58,2,26,nw25.bmp,pos,word,90,8,4142295,4145887
58,2,27,nw2.bmp,neg,word,100,16,4146525,4149145
58,2,28,nw27.bmp,pos,word,60,8,4149786,4151609
58,2,29,cs22.bmp,pos,prod,100,15,4152245,4159790
58,2,30,Wneu02_.bmp,pos,face,90,14,4160425,4163166
58,2,31,cs29.bmp,pos,prod,40,9,4163805,4167461
58,2,32,nw20.bmp,neg,word,90,9,4168106,4170528
58,2,33,Mneu24_.bmp,neg,face,30,7,4171165,4175477
58,2,34,cs9.bmp,pos,prod,50,9,4176114,4181856
58,2,35,cs24.bmp,pos,prod,80,9,4182496,4185718
58,2,36,PM04.bmp,pos,face,100,14,4186354,4190759
58,2,37,cs14.bmp,pos,prod,30,12,4191394,4193914
58,2,38,W12.bmp,pos,face,80,10,4194555,4196682
58,2,39,nw6.bmp,pos,word,50,8,4197325,4199061
58,2,40,W02.bmp,pos,face,40,8,4199704,4202549
58,2,41,nw26.bmp,neg,word,40,7,4203184,4204946
58,2,42,Mneu25_.bmp,neg,face,60,8,4205585,4207898
58,2,43,cs15.bmp,neg,prod,40,11,4208534,4211335
58,2,44,M16_.bmp,neg,face,100,10,4211975,4214009
58,2,45,cs5.bmp,pos,prod,60,12,4214645,4217048
58,2,46,nw19.bmp,pos,word,80,8,4217684,4222081
58,2,47,cs26.bmp,neg,prod,80,13,4222724,4225813
