subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmask_duration,time_cs_us,time_postmask_us,time_us,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_impression_rating,time_practice_trial_logger
18,2,0,W16.bmp,pos,face,50,2311.jpg,1400,maske_2.bmp,50,1389808,1389868,1389928,yes,no,no,no,no,no,1391328,no,yes,1393178,1394639
18,2,1,cs26.bmp,neg,prod,40,3160.JPG,1410,maske_6.bmp,50,1396457,1396507,1396567,no,no,no,yes,no,no,1397977,yes,no,1401800,1405569
18,2,2,cs14.bmp,neg,prod,100,9415.jpg,1400,maske_4.bmp,0,1407377,1396507,1407487,no,no,no,no,yes,no,1408887,yes,no,1410739,1411368
18,2,3,nw2.bmp,neg,word,50,2205.jpg,1400,maske_4.bmp,50,1413167,1413227,1413287,no,yes,no,no,no,no,1414687,yes,no,1417469,1418089
18,2,4,empty9.png,neg,empty,40,9340.JPG,1410,maske_6.bmp,50,1419947,1419997,1420057,no,yes,no,no,no,no,1421468,yes,no,1423319,1423938
18,2,5,Wneu03_.bmp,pos,face,60,2057.jpg,1390,maske_12.bmp,50,1425747,1425817,1425877,no,no,no,no,yes,no,1427267,no,yes,1429129,1429758
18,2,6,Wneu05_.bmp,pos,face,30,2209.jpg,1420,maske_7.bmp,50,1431567,1431607,1431667,no,yes,no,no,no,no,1433087,no,yes,1434939,1435979
18,2,7,nw5.bmp,pos,word,90,7330.JPG,1360,maske_4.bmp,50,1437787,1437887,1437947,no,no,no,no,yes,no,1439307,no,yes,1441189,1441808
18,2,8,nw10.bmp,neg,word,60,3220.JPG,1390,maske_5.bmp,50,1443617,1443687,1443747,no,no,no,yes,no,no,1445137,yes,no,1446988,1448028
18,2,9,cs22.bmp,neg,prod,80,9180.JPG,1370,maske_2.bmp,50,1449836,1449927,1449987,no,no,no,no,yes,no,1451357,yes,no,1453209,1454248
18,2,10,empty3.png,neg,empty,30,9330.jpg,1420,maske_6.bmp,50,1456047,1456087,1456147,yes,no,no,no,no,no,1457567,yes,no,1459418,1460668
18,2,11,nw18.bmp,pos,word,70,7330.JPG,1380,maske_5.bmp,50,1462476,1462556,1462616,no,no,no,yes,no,no,1463996,no,yes,1466778,1467197
18,2,12,nw8.bmp,pos,word,50,2071.jpg,1400,maske_1.bmp,50,1469017,1469077,1469137,no,yes,no,no,no,no,1470537,no,yes,1472388,1474063
18,2,13,Mneu24_.bmp,pos,face,80,4626.jpg,1370,maske_9.bmp,50,1475916,1476006,1476066,no,no,no,no,yes,no,1477437,no,yes,1479328,1482467
18,2,14,empty5.png,pos,empty,40,2660.jpg,1410,maske_2.bmp,50,1484276,1484326,1484386,no,yes,no,no,no,no,1485796,no,yes,1488568,1490028
18,2,15,Mneu20_.bmp,neg,face,50,9342.jpg,1400,maske_1.bmp,50,1491866,1491926,1491986,no,no,no,no,yes,no,1493386,yes,no,1495238,1497117
18,2,16,cs15.bmp,neg,prod,50,9330.jpg,1400,maske_2.bmp,50,1498926,1498986,1499046,no,no,no,yes,no,no,1500446,yes,no,1502298,1502928
18,2,17,M16_.bmp,neg,face,60,6311.jpg,1390,maske_11.bmp,50,1504746,1504816,1504876,no,no,no,yes,no,no,1506266,yes,no,1508118,1509157
18,2,18,nw6.bmp,neg,word,30,2455.jpg,1420,maske_2.bmp,50,1510956,1510996,1511056,yes,no,no,no,no,no,1512476,yes,no,1515257,1515877
18,2,19,cs4.bmp,pos,prod,40,2040.jpg,1410,maske_3.bmp,50,1517705,1517755,1517815,no,yes,no,no,no,no,1519225,no,yes,1522037,1522667
18,2,20,empty8.png,neg,empty,50,9265.jpg,1400,maske_6.bmp,50,1524476,1524536,1524596,yes,no,no,no,no,no,1525996,yes,no,1529707,1530537
18,2,21,cs21.bmp,pos,prod,80,1721.jpg,1370,maske_1.bmp,50,1532345,1532435,1532495,no,no,yes,no,no,no,1533865,no,yes,1537578,1538617
18,2,22,cs19.bmp,pos,prod,30,2150.JPG,1420,maske_8.bmp,50,1540446,1540486,1540546,no,no,yes,no,no,no,1541966,yes,no,1543827,1545077
18,2,23,cs29.bmp,pos,prod,70,2209.jpg,1380,maske_5.bmp,50,1546885,1546965,1547025,no,no,no,no,yes,no,1548405,no,yes,1550257,1550886
18,2,24,nw7.bmp,pos,word,100,1999.jpg,1400,maske_7.bmp,0,1552695,1546965,1552805,no,no,no,no,no,yes,1554205,no,yes,1556048,1556877
18,2,25,nw22.bmp,pos,word,60,5830.JPG,1390,maske_1.bmp,50,1558685,1558755,1558815,yes,no,no,no,no,no,1560206,no,yes,1562096,1562717
18,2,26,cs11.bmp,pos,prod,60,4626.jpg,1390,maske_12.bmp,50,1564535,1564605,1564665,no,no,no,no,yes,no,1566055,no,yes,1567907,1569156
18,2,27,M02_.bmp,neg,face,80,9265.jpg,1370,maske_2.bmp,50,1570975,1571065,1571125,no,no,no,yes,no,no,1572495,yes,no,1574347,1574967
18,2,28,Mneu11_.bmp,neg,face,90,9342.jpg,1360,maske_5.bmp,50,1576775,1576875,1576935,no,no,no,no,no,yes,1578295,yes,no,1580147,1582246
18,2,29,empty7.png,pos,empty,50,1920.JPG,1400,maske_7.bmp,50,1584065,1584125,1584185,yes,no,no,no,no,no,1585585,no,yes,1587436,1588056
18,2,30,M14.bmp,pos,face,70,4626.jpg,1380,maske_9.bmp,50,1589925,1590005,1590065,no,no,no,yes,no,no,1591445,no,yes,1593297,1594546
18,2,31,nw26.bmp,pos,word,30,8540.JPG,1420,maske_12.bmp,50,1596365,1596405,1596465,yes,no,no,no,no,no,1597885,no,yes,1599776,1601016
18,2,32,cs17.bmp,neg,prod,60,9415.jpg,1390,maske_6.bmp,50,1602834,1602904,1602964,no,no,no,yes,no,no,1604354,yes,no,1606206,1608926
18,2,33,W02.bmp,pos,face,90,2311.jpg,1360,maske_12.bmp,50,1610745,1610845,1610905,no,no,no,no,yes,no,1612265,no,yes,1614106,1615356
18,2,34,Mneu25_.bmp,neg,face,100,2053.JPG,1400,maske_8.bmp,0,1617174,1610845,1617284,no,no,no,no,no,yes,1618684,yes,no,1621456,1623345
18,2,35,W20.bmp,pos,face,40,2050.jpg,1410,maske_8.bmp,50,1625145,1625195,1625255,no,no,no,no,yes,no,1626665,no,yes,1631266,1632936
18,2,36,cs28.bmp,neg,prod,90,3181.jpg,1360,maske_7.bmp,50,1634754,1634854,1634914,no,no,no,yes,no,no,1636274,yes,no,1638126,1638955
18,2,37,nw20.bmp,pos,word,80,2395.jpg,1370,maske_1.bmp,50,1640844,1640934,1640994,no,no,no,yes,no,no,1642364,no,yes,1644256,1644879
18,2,38,nw21.bmp,neg,word,90,9320.jpg,1360,maske_2.bmp,50,1646694,1646794,1646854,no,yes,no,no,no,no,1648214,yes,no,1651915,1652755
18,2,39,W07.bmp,neg,face,40,2205.jpg,1410,maske_3.bmp,50,1654564,1654614,1654674,no,no,no,yes,no,no,1656084,yes,no,1662548,1663805
18,2,40,PM04.bmp,pos,face,100,2216.jpg,1400,maske_1.bmp,0,1665624,1654614,1665734,no,no,no,no,no,yes,1667134,no,yes,1668976,1669595
18,2,41,nw25.bmp,neg,word,100,6831.jpg,1400,maske_4.bmp,0,1671393,1654614,1671503,no,no,no,no,no,yes,1672903,yes,no,1674745,1676414
18,2,42,empty10.png,pos,empty,30,1460.JPG,1420,maske_5.bmp,50,1678234,1678274,1678334,yes,no,no,no,no,no,1679754,yes,no,1681615,1682865
18,2,43,nw4.bmp,neg,word,40,3220.JPG,1410,maske_11.bmp,50,1684753,1684803,1684863,yes,no,no,no,no,no,1686273,yes,no,1689084,1690124
18,2,44,nw27.bmp,pos,word,40,2150.JPG,1410,maske_4.bmp,50,1691933,1691983,1692043,yes,no,no,no,no,no,1693453,yes,no,1698085,1698915
18,2,45,nw3.bmp,neg,word,70,2276.jpg,1380,maske_2.bmp,50,1700743,1700823,1700883,no,no,no,yes,no,no,1702263,yes,no,1705035,1706074
18,2,46,cs5.bmp,pos,prod,100,8540.JPG,1400,maske_10.bmp,0,1707893,1700823,1708003,no,no,no,no,no,yes,1709403,no,yes,1711255,1712084
18,2,47,W04.bmp,neg,face,70,9611.jpg,1380,maske_9.bmp,50,1713963,1714043,1714103,no,no,no,no,no,yes,1715483,yes,no,1717335,1718384
18,2,48,cs1.bmp,neg,prod,30,9041.jpg,1420,maske_11.bmp,50,1720193,1720233,1720293,yes,no,no,no,no,no,1721713,yes,no,1724504,1725754
18,2,49,nw30.bmp,neg,word,80,9265.jpg,1370,maske_7.bmp,50,1727642,1727732,1727792,no,no,no,yes,no,no,1729162,yes,no,1731055,1733354
18,2,50,cs13.bmp,pos,prod,90,2091.jpg,1360,maske_1.bmp,50,1735163,1735263,1735323,no,no,no,yes,no,no,1736683,no,yes,1738534,1739584
18,2,51,cs9.bmp,pos,prod,50,7330.JPG,1400,maske_12.bmp,50,1741402,1741462,1741522,no,no,no,yes,no,no,1742922,no,yes,1748495,1749324
18,2,52,cs30.bmp,neg,prod,70,2455.jpg,1380,maske_2.bmp,50,1751133,1751213,1751273,no,no,no,no,no,yes,1752653,yes,no,1754505,1756594
18,2,53,W03.bmp,neg,face,30,9430.JPG,1420,maske_4.bmp,50,1758402,1758442,1758502,no,no,no,yes,no,no,1759922,yes,no,1761774,1762823
18,2,54,W02.bmp,pos,face,90,5830.JPG,1360,maske_3.bmp,50,1845081,1845181,1845241,no,no,no,no,yes,no,1846601,no,yes,1848463,1849302
18,2,55,nw5.bmp,pos,word,90,2311.jpg,1360,maske_2.bmp,50,1851190,1851290,1851350,no,no,no,yes,no,no,1852710,no,yes,1854603,1855223
18,2,56,nw25.bmp,neg,word,100,9340.JPG,1400,maske_3.bmp,0,1857181,1851290,1857291,no,no,no,no,yes,no,1858691,yes,no,1860533,1861372
18,2,57,nw8.bmp,pos,word,50,1721.jpg,1400,maske_7.bmp,50,1863171,1863231,1863291,yes,no,no,no,no,no,1864691,no,yes,1866531,1867152
