subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmask_duration,time_cs_us,time_postmask_us,time_us,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_impression_rating,time_practice_trial_logger
14,2,36,M02_.bmp,neg,face,60,2141.jpg,1390,maske_10.bmp,50,2191063,2191133,2191193,no,no,no,no,no,yes,2192583,yes,no,2197225,2198484
14,2,37,nw7.bmp,neg,word,30,9520.JPG,1420,maske_2.bmp,50,2200293,2200333,2200393,no,yes,no,no,no,no,2201813,yes,no,2204604,2206274
14,2,38,M16_.bmp,neg,face,50,2750.jpg,1400,maske_12.bmp,50,2208183,2208243,2208303,no,no,no,no,no,yes,2209703,yes,no,2214405,2216074
14,2,39,cs15.bmp,pos,prod,80,4626.jpg,1370,maske_8.bmp,50,2218003,2218093,2218153,no,no,no,yes,no,no,2219523,yes,no,2227824,2230963
14,2,40,M07.bmp,pos,face,90,2209.jpg,1360,maske_11.bmp,50,2232792,2232892,2232952,no,no,no,no,yes,no,2234312,yes,no,2237085,2238334
14,2,41,empty4.png,pos,empty,50,1710.JPG,1400,maske_11.bmp,50,2240162,2240222,2240282,no,yes,no,no,no,no,2241683,no,yes,2243543,2244794
14,2,42,nw10.bmp,neg,word,100,9180.JPG,1400,maske_7.bmp,0,2246602,2240222,2246712,no,no,no,no,no,yes,2248112,no,yes,2250884,2254024
14,2,43,cs22.bmp,neg,prod,80,6831.jpg,1370,maske_10.bmp,50,2255832,2255922,2255982,no,no,no,yes,no,no,2257352,yes,no,2261074,2262323
14,2,44,W16.bmp,neg,face,40,6831.jpg,1410,maske_2.bmp,50,2264232,2264282,2264342,no,yes,no,no,no,no,2265752,yes,no,2267643,2268893
14,2,45,W20.bmp,neg,face,70,2455.jpg,1380,maske_11.bmp,50,2270702,2270782,2270842,no,no,no,no,yes,no,2272222,yes,no,2274064,2275314
14,2,46,nw13.bmp,pos,word,80,1440.jpg,1370,maske_4.bmp,50,2277122,2277212,2277272,no,no,no,no,yes,no,2278642,no,yes,2280504,2281123
14,2,47,cs1.bmp,neg,prod,40,9290.jpg,1410,maske_9.bmp,50,2282931,2282981,2283041,no,yes,no,no,no,no,2284451,yes,no,2287232,2288693
14,2,48,nw21.bmp,neg,word,60,6311.jpg,1390,maske_1.bmp,50,2290512,2290582,2290642,no,no,no,yes,no,no,2292032,yes,no,2294803,2295843
14,2,49,Mneu18_.bmp,pos,face,30,2660.jpg,1420,maske_11.bmp,50,2297651,2297691,2297751,no,yes,no,no,no,no,2299171,yes,no,2301962,2303212
14,2,50,Wneu02_.bmp,neg,face,100,9432.jpg,1400,maske_9.bmp,0,2305091,2297691,2305202,no,no,no,no,no,yes,2306602,yes,no,2308494,2309543
14,2,51,Mneu24_.bmp,pos,face,60,8461.jpg,1390,maske_9.bmp,50,2311361,2311431,2311491,no,no,no,no,no,yes,2312881,no,yes,2315663,2316912
14,2,52,nw30.bmp,pos,word,70,2340.JPG,1380,maske_1.bmp,50,2318731,2318811,2318871,no,no,no,no,yes,no,2320251,no,yes,2323963,2324803
14,2,53,nw6.bmp,neg,word,80,9520.JPG,1370,maske_2.bmp,50,2326621,2326711,2326771,no,yes,no,no,no,no,2328141,yes,no,2335562,2336602
14,2,54,nw5.bmp,neg,word,50,6831.jpg,1400,maske_2.bmp,50,2343941,2344001,2344061,yes,no,no,no,no,no,2345461,yes,no,2347312,2348362
14,2,55,Mneu18_.bmp,pos,face,30,5910.JPG,1420,maske_5.bmp,50,2350180,2350220,2350280,no,yes,no,no,no,no,2351701,yes,no,2354502,2355751
14,2,56,M07.bmp,pos,face,90,2340.JPG,1360,maske_8.bmp,50,2357651,2357751,2357811,no,no,no,no,no,yes,2359171,no,yes,2361993,2362832
14,2,57,W03.bmp,neg,face,30,6311.jpg,1420,maske_10.bmp,50,2364780,2364820,2364880,no,no,no,no,yes,no,2366300,yes,no,2369082,2370132
14,2,58,nw6.bmp,neg,word,80,3160.JPG,1370,maske_7.bmp,50,2371940,2372030,2372090,no,no,no,no,yes,no,2373460,yes,no,2379002,2379632
14,2,59,cs22.bmp,neg,prod,80,2750.jpg,1370,maske_12.bmp,50,2381450,2381540,2381600,no,no,no,no,yes,no,2382970,yes,no,2388542,2389371
14,2,60,cs3.bmp,pos,prod,60,2341.jpg,1390,maske_3.bmp,50,2391189,2391259,2391319,no,no,no,no,yes,no,2392710,no,yes,2394562,2401481
14,2,61,empty7.png,neg,empty,30,6311.jpg,1420,maske_12.bmp,50,2403320,2403360,2403420,no,yes,no,no,no,no,2404840,yes,no,2407621,2408661
14,2,62,cs5.bmp,pos,prod,100,2340.JPG,1400,maske_3.bmp,0,2410480,2403360,2410590,no,no,no,no,yes,no,2411990,yes,no,2418492,2420161
14,2,63,empty8.png,neg,empty,50,9220.jpg,1400,maske_4.bmp,50,2422019,2422079,2422139,yes,no,no,no,no,no,2423539,yes,no,2426320,2428411
14,2,64,Mneu05_.bmp,neg,face,80,9330.jpg,1370,maske_3.bmp,50,2430230,2430320,2430380,no,no,no,no,no,yes,2431750,yes,no,2433602,2434641
14,2,65,cs29.bmp,pos,prod,30,2260.JPG,1420,maske_10.bmp,50,2436459,2436499,2436559,no,yes,no,no,no,no,2437979,no,yes,2439830,2440660
14,2,66,M14.bmp,pos,face,50,1750.JPG,1400,maske_11.bmp,50,2442479,2442539,2442599,no,no,no,yes,no,no,2443999,yes,no,2449561,2451021
14,2,67,cs26.bmp,neg,prod,90,9432.jpg,1360,maske_9.bmp,50,2452839,2452939,2452999,no,no,no,no,yes,no,2454359,yes,no,2457171,2458420
14,2,68,cs30.bmp,pos,prod,90,5831.jpg,1360,maske_11.bmp,50,2460239,2460338,2460398,no,no,no,no,no,yes,2461759,no,yes,2463601,2465471
14,2,69,cs15.bmp,pos,prod,80,2071.jpg,1370,maske_10.bmp,50,2467289,2467379,2467439,no,no,no,no,yes,no,2468809,no,yes,2470661,2474430
14,2,70,cs17.bmp,neg,prod,50,9611.jpg,1400,maske_12.bmp,50,2476248,2476308,2476368,no,no,no,yes,no,no,2477768,yes,no,2484261,2486350
14,2,71,empty8.png,pos,empty,40,1920.JPG,1410,maske_2.bmp,50,2488158,2488208,2488268,no,yes,no,no,no,no,2489679,no,yes,2495199,2496869
14,2,72,Wneu05_.bmp,pos,face,80,1710.JPG,1370,maske_5.bmp,50,2498689,2498779,2498839,no,no,no,no,no,yes,2500209,no,yes,2502061,2502890
14,2,73,Mneu11_.bmp,neg,face,90,9520.JPG,1360,maske_8.bmp,50,2504708,2504808,2504868,no,no,no,no,no,yes,2506228,yes,no,2508120,2508749
14,2,74,nw4.bmp,neg,word,70,9430.JPG,1380,maske_5.bmp,50,2510568,2510648,2510708,no,no,no,no,yes,no,2512088,yes,no,2515871,2516910
14,2,75,W02.bmp,pos,face,40,2216.jpg,1410,maske_8.bmp,50,2518718,2518768,2518828,no,no,no,yes,no,no,2520238,yes,no,2523020,2524479
14,2,76,Wneu02_.bmp,neg,face,100,9430.JPG,1400,maske_7.bmp,0,2526288,2518768,2526398,no,no,no,no,yes,no,2527798,yes,no,2530569,2531609
14,2,77,nw25.bmp,pos,word,50,1750.JPG,1400,maske_4.bmp,50,2533428,2533488,2533548,yes,no,no,no,no,no,2534948,no,yes,2536799,2537629
14,2,78,nw27.bmp,pos,word,30,2091.jpg,1420,maske_4.bmp,50,2539428,2539468,2539528,yes,no,no,no,no,no,2540948,no,yes,2542809,2543849
14,2,79,cs19.bmp,neg,prod,100,9265.jpg,1400,maske_7.bmp,0,2545647,2539468,2545757,no,no,no,no,yes,no,2547157,yes,no,2549980,2551232
14,2,80,nw11.bmp,pos,word,100,8461.jpg,1400,maske_6.bmp,0,2553038,2539468,2553148,no,no,no,no,no,yes,2554548,no,yes,2556400,2557439
14,2,81,M02_.bmp,neg,face,60,9342.jpg,1390,maske_10.bmp,50,2559247,2559317,2559377,no,no,no,no,yes,no,2560767,yes,no,2562619,2563869
14,2,82,nw22.bmp,neg,word,40,7359.jpg,1410,maske_10.bmp,50,2565697,2565747,2565807,no,yes,no,no,no,no,2567217,yes,no,2569079,2569909
14,2,83,nw14.bmp,pos,word,40,8461.jpg,1410,maske_3.bmp,50,2571727,2571777,2571837,yes,no,no,no,no,no,2573248,no,yes,2577888,2578508
14,2,84,nw10.bmp,neg,word,100,9611.jpg,1400,maske_12.bmp,0,2580307,2571777,2580417,no,no,no,no,no,yes,2581817,yes,no,2584599,2585429
14,2,85,cs1.bmp,neg,prod,40,3300.jpg,1410,maske_5.bmp,50,2587227,2587277,2587337,no,yes,no,no,no,no,2588747,yes,no,2592488,2593318
14,2,86,W20.bmp,neg,face,70,6311.jpg,1380,maske_2.bmp,50,2595127,2595207,2595267,no,no,no,no,yes,no,2596647,yes,no,2598499,2599959
14,2,87,nw2.bmp,pos,word,60,2080.jpg,1390,maske_5.bmp,50,2601776,2601846,2601906,yes,no,no,no,no,no,2603296,no,yes,2607938,2608768
14,2,88,M16_.bmp,neg,face,50,6831.jpg,1400,maske_10.bmp,50,2610577,2610637,2610697,no,no,no,no,yes,no,2612097,yes,no,2616718,2618387
14,2,89,nw13.bmp,pos,word,80,2216.jpg,1370,maske_5.bmp,50,2620207,2620297,2620357,no,no,no,no,yes,no,2621727,no,yes,2623579,2625668
14,2,90,cs10.bmp,neg,prod,60,9430.JPG,1390,maske_10.bmp,50,2627476,2627546,2627606,no,no,no,yes,no,no,2628996,yes,no,2633618,2638648
