subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmask_duration,time_cs_us,time_postmask_us,time_us,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_impression_rating,time_practice_trial_logger
26,2,0,nw6.bmp,pos,word,40,2660.jpg,1410,maske_5.bmp,50,1672132,1672182,1672242,yes,no,no,no,no,no,1673652,no,yes,1684504,1685981
26,2,1,cs5.bmp,pos,prod,30,2216.jpg,1420,maske_8.bmp,50,1687781,1687821,1687881,no,yes,no,no,no,no,1689301,no,yes,1691509,1692324
26,2,2,nw18.bmp,neg,word,60,9330.jpg,1390,maske_9.bmp,50,1694091,1694161,1694221,no,no,yes,no,no,no,1695611,yes,no,1697316,1698979
26,2,3,cs29.bmp,neg,prod,80,2053.JPG,1370,maske_3.bmp,50,1700750,1700840,1700900,no,no,yes,no,no,no,1702270,yes,no,1703764,1705040
26,2,4,empty1.png,pos,empty,30,2071.jpg,1420,maske_6.bmp,50,1706811,1706851,1706911,yes,no,no,no,no,no,1708331,no,yes,1710206,1711684
26,2,5,nw9.bmp,pos,word,90,1920.JPG,1360,maske_1.bmp,50,1713460,1713560,1713620,no,yes,no,no,no,no,1714981,no,yes,1716277,1717148
26,2,6,cs4.bmp,neg,prod,90,9290.jpg,1360,maske_10.bmp,50,1718910,1719010,1719070,no,no,no,yes,no,no,1720430,yes,no,1722231,1724560
26,2,7,cs21.bmp,pos,prod,40,4626.jpg,1410,maske_10.bmp,50,1726331,1726381,1726441,yes,no,no,no,no,no,1727851,no,yes,1729424,1731486
26,2,8,Mneu11_.bmp,pos,face,80,8461.jpg,1370,maske_10.bmp,50,1733250,1733340,1733400,no,no,no,no,no,yes,1734770,no,yes,1736763,1738160
26,2,9,Wneu03_.bmp,neg,face,100,3181.jpg,1400,maske_1.bmp,0,1739931,1733340,1740041,no,no,no,no,no,yes,1741441,yes,no,1743981,1745165
26,2,10,nw7.bmp,neg,word,30,2205.jpg,1420,maske_12.bmp,50,1746930,1746970,1747030,no,yes,no,no,no,no,1748450,yes,no,1750377,1751786
26,2,11,nw13.bmp,pos,word,50,2091.jpg,1400,maske_4.bmp,50,1753550,1753610,1753670,no,yes,no,no,no,no,1755070,no,yes,1757038,1757888
26,2,12,Mneu01_.bmp,pos,face,100,1710.JPG,1400,maske_9.bmp,0,1759660,1753610,1759770,no,no,no,no,no,yes,1761170,no,yes,1762899,1764170
26,2,13,empty3.png,pos,empty,50,2395.jpg,1400,maske_3.bmp,50,1765940,1766000,1766060,yes,no,no,no,no,no,1767460,no,yes,1769610,1770550
26,2,14,W16.bmp,pos,face,90,2345.jpg,1360,maske_8.bmp,50,1772329,1772429,1772489,no,no,no,no,yes,no,1773849,no,yes,1776619,1777854
26,2,15,M14.bmp,neg,face,90,9330.jpg,1360,maske_12.bmp,50,1779620,1779720,1779780,no,no,no,no,yes,no,1781140,yes,no,1783906,1784842
26,2,16,Mneu20_.bmp,pos,face,70,1721.jpg,1380,maske_2.bmp,50,1786609,1786689,1786749,no,no,no,no,yes,no,1788129,no,yes,1789987,1790737
