subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmask_duration,time_cs_us,time_postmask_us,time_us,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_impression_rating,time_practice_trial_logger
56,2,0,nw13.bmp,neg,word,90,9320.jpg,1360,maske_5.bmp,50,1024831,1024931,1024991,no,no,no,no,yes,no,1026351,yes,no,1029937,1030833
56,2,1,nw25.bmp,pos,word,80,1721.jpg,1370,maske_2.bmp,50,1032640,1032730,1032790,no,no,no,yes,no,no,1034160,no,yes,1035849,1036656
56,2,2,Mneu01_.bmp,neg,face,50,3300.jpg,1400,maske_1.bmp,50,1038420,1038480,1038541,no,no,no,no,yes,no,1039941,yes,no,1041401,1042305
56,2,3,Mneu25_.bmp,neg,face,100,2053.JPG,1400,maske_10.bmp,0,1044071,1038480,1044181,no,no,no,no,yes,no,1045581,yes,no,1048265,1049689
56,2,4,cs15.bmp,neg,prod,80,7359.jpg,1370,maske_4.bmp,50,1051460,1051550,1051610,no,no,yes,no,no,no,1052980,yes,no,1054808,1055800
56,2,5,W12.bmp,neg,face,70,3300.jpg,1380,maske_3.bmp,50,1057561,1057641,1057701,no,no,no,yes,no,no,1059081,yes,no,1060521,1061305
56,2,6,M14.bmp,pos,face,80,2057.jpg,1370,maske_6.bmp,50,1063070,1063160,1063220,no,no,no,yes,no,no,1064590,yes,no,1066041,1066913
56,2,7,cs14.bmp,pos,prod,80,2395.jpg,1370,maske_6.bmp,50,1068680,1068770,1068830,no,no,yes,no,no,no,1070200,no,yes,1071960,1072712
56,2,8,Mneu18_.bmp,neg,face,40,7359.jpg,1410,maske_1.bmp,50,1074521,1074571,1074631,no,no,yes,no,no,no,1076041,yes,no,1077993,1078761
56,2,9,W04.bmp,pos,face,60,2050.jpg,1390,maske_2.bmp,50,1080520,1080590,1080650,no,no,no,yes,no,no,1082040,no,yes,1083321,1084289
