subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmast_duration,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_practice_impression_rating,time_practice_trial_logger
26,2,0,W19.bmp,neg,face,30,9007.jpg,1420,maske_1.bmp,50,yes,no,no,no,no,no,654517,yes,no,720497,740654
26,2,1,empty2.png,neg,empty,30,9331.jpg,1420,maske_10.bmp,50,yes,no,no,no,no,no,743957,no,yes,761295,763968
26,2,2,cs12.bmp,neg,prod,30,2141.jpg,1420,maske_4.bmp,50,yes,no,no,no,no,no,767246,no,yes,769681,773053
26,2,3,empty3.png,pos,empty,30,2050.jpg,1420,maske_6.bmp,50,yes,no,no,no,no,no,776335,no,yes,778365,779824
26,2,4,nw12.bmp,neg,word,30,2276.jpg,1420,maske_12.bmp,50,yes,no,no,no,no,no,783106,no,yes,785475,787213
26,2,5,Mneu04_.bmp,pos,face,40,4626.jpg,1410,maske_4.bmp,50,yes,no,no,no,no,no,790495,no,yes,795191,796630
26,2,6,empty7.png,pos,empty,40,2209.jpg,1410,maske_3.bmp,50,yes,no,no,no,no,no,799926,no,yes,802230,803670
26,2,7,cs16.bmp,neg,prod,40,9432.jpg,1410,maske_9.bmp,50,yes,no,no,no,no,no,806945,no,yes,809390,810692
26,2,8,empty1.png,pos,empty,40,2080.jpg,1410,maske_12.bmp,50,no,yes,no,no,no,no,813976,no,yes,830365,838785
26,2,9,nw16.bmp,neg,word,40,9342.jpg,1410,maske_11.bmp,50,no,yes,no,no,no,no,842074,yes,no,911275,914365
26,2,10,M13.bmp,pos,face,50,2311.jpg,1400,maske_6.bmp,50,yes,no,no,no,no,no,917654,no,yes,920311,921658
26,2,11,empty6.png,pos,empty,50,2260.JPG,1400,maske_12.bmp,50,no,no,yes,no,no,no,924943,no,yes,949460,953233
26,2,12,cs20.bmp,pos,prod,50,5830.JPG,1400,maske_2.bmp,50,no,no,yes,no,no,no,956523,no,yes,980966,982975
26,2,13,empty3.png,pos,empty,50,1920.JPG,1400,maske_1.bmp,50,no,no,yes,no,no,no,986262,no,yes,1002832,1005234
26,2,14,nw17.bmp,pos,word,50,8420.JPG,1400,maske_3.bmp,50,no,no,yes,no,no,no,1008522,no,yes,1030705,1032414
26,2,15,M18.bmp,pos,face,60,2216.jpg,1390,maske_12.bmp,50,no,yes,no,no,no,no,1035701,no,yes,1070002,1071946
26,2,16,cs23.bmp,pos,prod,60,8420.JPG,1390,maske_2.bmp,50,yes,no,no,no,no,no,1075241,no,yes,1077774,1079661
26,2,17,nw23.bmp,neg,word,60,2141.jpg,1390,maske_4.bmp,50,no,yes,no,no,no,no,1082941,yes,no,1106386,1108915
26,2,18,W17.bmp,pos,face,70,1460.JPG,1380,maske_9.bmp,50,no,no,no,yes,no,no,1112201,no,yes,1139132,1141310
26,2,19,cs7.bmp,neg,prod,70,9520.JPG,1380,maske_8.bmp,50,yes,no,no,no,no,no,1144599,no,yes,1147069,1150468
26,2,20,nw29.bmp,neg,word,70,9342.jpg,1380,maske_8.bmp,50,no,no,no,yes,no,no,1153760,no,yes,1174206,1176757
26,2,21,M12.bmp,neg,face,80,9290.jpg,1370,maske_6.bmp,50,no,no,no,yes,no,no,1180050,no,yes,1195944,1197412
26,2,22,cs18.bmp,neg,prod,80,6831.jpg,1370,maske_12.bmp,50,no,no,yes,no,no,no,1200689,yes,no,1221651,1229352
26,2,23,nw15.bmp,pos,word,80,2660.jpg,1370,maske_5.bmp,50,yes,no,no,no,no,no,1232629,no,yes,1235680,1237330
26,2,24,Wneu01_.bmp,neg,face,90,9000.jpg,1360,maske_7.bmp,50,no,no,no,no,yes,no,1240608,no,yes,1252693,1260789
26,2,25,cs27.bmp,pos,prod,90,2057.jpg,1360,maske_12.bmp,50,no,no,yes,no,no,no,1264068,no,yes,1272483,1273757
26,2,26,nw1.bmp,neg,word,90,9830.jpg,1360,maske_11.bmp,50,yes,no,no,no,no,no,1277038,no,yes,1296162,1298831
26,2,27,W15.bmp,pos,face,100,2660.jpg,1400,maske_2.bmp,0,no,no,no,no,no,yes,1302098,no,yes,1332242,1333730
26,2,28,cs25.bmp,neg,prod,100,6831.jpg,1400,maske_7.bmp,0,no,no,no,no,yes,no,1336997,yes,no,1348331,1355208
26,2,29,nw24.bmp,neg,word,100,6311.jpg,1400,maske_11.bmp,0,yes,no,no,no,no,no,1358467,yes,no,1364397,1365480
26,2,30,empty7.png,pos,empty,40,2395.jpg,1410,maske_5.bmp,50,no,yes,no,no,no,no,1420975,no,yes,1424512,1426083
26,2,31,cs16.bmp,neg,prod,40,9520.JPG,1410,maske_3.bmp,50,yes,no,no,no,no,no,1429365,yes,no,1431593,1432730
26,2,32,nw17.bmp,pos,word,50,8461.jpg,1400,maske_3.bmp,50,yes,no,no,no,no,no,1436015,no,yes,1438851,1440497
26,2,33,M18.bmp,pos,face,60,2311.jpg,1390,maske_8.bmp,50,yes,no,no,no,no,no,1443785,no,yes,1445854,1447078
26,2,34,M13.bmp,pos,face,50,2395.jpg,1400,maske_11.bmp,50,no,yes,no,no,no,no,1450365,no,yes,1452117,1453438
26,2,35,nw29.bmp,neg,word,70,3220.JPG,1380,maske_2.bmp,50,no,yes,no,no,no,no,1456714,yes,no,1460049,1461349
26,2,36,empty6.png,pos,empty,50,2058.jpg,1400,maske_5.bmp,50,no,yes,no,no,no,no,1464645,no,yes,1466708,1469883
26,2,37,empty1.png,pos,empty,40,1710.JPG,1410,maske_3.bmp,50,yes,no,no,no,no,no,1473174,no,yes,1475134,1476228
26,2,38,nw16.bmp,neg,word,40,3220.JPG,1410,maske_6.bmp,50,yes,no,no,no,no,no,1479505,yes,no,1481453,1482444
26,2,39,nw15.bmp,pos,word,80,1999.jpg,1370,maske_8.bmp,50,no,yes,no,no,no,no,1485734,no,yes,1487817,1489918
26,2,40,nw12.bmp,neg,word,30,2900.1.jpg,1420,maske_3.bmp,50,no,yes,no,no,no,no,1493204,yes,no,1498058,1499087
26,2,41,Mneu04_.bmp,pos,face,40,5831.jpg,1410,maske_2.bmp,50,yes,no,no,no,no,no,1502374,no,yes,1504284,1505416
26,2,42,cs7.bmp,neg,prod,70,9415.jpg,1380,maske_4.bmp,50,no,yes,no,no,no,no,1508704,yes,no,1510853,1511668
26,2,43,cs27.bmp,pos,prod,90,2395.jpg,1360,maske_10.bmp,50,no,no,no,no,yes,no,1514954,no,yes,1518245,1519435
26,2,44,M12.bmp,neg,face,80,9041.jpg,1370,maske_8.bmp,50,no,no,no,yes,no,no,1522714,no,yes,1524116,1525640
26,2,45,nw1.bmp,neg,word,90,2205.jpg,1360,maske_8.bmp,50,no,yes,no,no,no,no,1528923,yes,no,1531379,1532611
26,2,46,W19.bmp,neg,face,30,3160.JPG,1420,maske_12.bmp,50,no,yes,no,no,no,no,1535894,yes,no,1542274,1543282
26,2,47,empty3.png,pos,empty,30,1440.jpg,1420,maske_10.bmp,50,yes,no,no,no,no,no,1546563,no,yes,1548620,1550612
26,2,48,cs12.bmp,neg,prod,30,3220.JPG,1420,maske_5.bmp,50,no,yes,no,no,no,no,1553893,yes,no,1555659,1556746
26,2,49,W17.bmp,pos,face,70,2080.jpg,1380,maske_10.bmp,50,no,no,no,yes,no,no,1560023,no,yes,1561586,1562486
26,2,50,Wneu01_.bmp,neg,face,90,9415.jpg,1360,maske_1.bmp,50,no,no,no,no,yes,no,1565773,yes,no,1568427,1570073
26,2,51,nw23.bmp,neg,word,60,9611.jpg,1390,maske_12.bmp,50,yes,no,no,no,no,no,1573373,yes,no,1580416,1581776
26,2,52,cs25.bmp,neg,prod,100,2455.jpg,1400,maske_3.bmp,0,no,no,no,no,no,yes,1585043,yes,no,1587230,1589153
26,2,53,cs23.bmp,pos,prod,60,2340.JPG,1390,maske_8.bmp,50,no,yes,no,no,no,no,1592443,no,yes,1596076,1597327
26,2,54,empty3.png,pos,empty,50,2311.jpg,1400,maske_7.bmp,50,yes,no,no,no,no,no,1600613,no,yes,1602579,1603508
26,2,55,W15.bmp,pos,face,100,8461.jpg,1400,maske_2.bmp,0,no,no,no,no,no,yes,1606772,no,yes,1610136,1611796
26,2,56,cs20.bmp,pos,prod,50,2058.jpg,1400,maske_8.bmp,50,yes,no,no,no,no,no,1615092,no,yes,1617985,1619283
26,2,57,empty2.png,neg,empty,30,2276.jpg,1420,maske_7.bmp,50,yes,no,no,no,no,no,1622562,no,yes,1624606,1626185
26,2,58,nw24.bmp,neg,word,100,9432.jpg,1400,maske_2.bmp,0,no,yes,no,no,no,no,1629452,no,yes,1631080,1632878
26,2,59,cs18.bmp,neg,prod,80,3181.jpg,1370,maske_10.bmp,50,no,no,no,no,yes,no,1636162,yes,no,1639586,1640883
