subject_nr,blocknr,trialnr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1,vis_option_6_resp,vis_option_5_resp,vis_option_4_resp,vis_option_3_resp,vis_option_2_resp,vis_option_1_resp,time_gesehen_form,time_trial_logger
1,1,0,cs25.bmp,neg,30,9265.jpg,1000,maske_4.bmp,500,maske_1.bmp,970,cs25.bmp,cs2.bmp,cs8.bmp,cs27.bmp,cs14.bmp,cs6.bmp,no,no,no,no,no,yes,56110,60612
1,1,1,cs17.bmp,pos,30,2050.jpg,1000,maske_10.bmp,500,maske_2.bmp,970,cs30.bmp,cs9.bmp,cs17.bmp,cs18.bmp,cs7.bmp,cs24.bmp,no,no,no,no,no,yes,63296,67876
1,1,2,cs29.bmp,neu,30,5740.jpg,1000,maske_9.bmp,500,maske_12.bmp,970,7233.jpg,5740.jpg,5455.jpg,3550.2.jpg,1313.jpg,7820.jpg,no,yes,no,no,no,no,70458,73052
1,1,3,cs12.bmp,neu,100,2580.jpg,1000,maske_1.bmp,500,maske_11.bmp,900,2580.jpg,2487.jpg,7503.JPG,7620.JPG,7490.jpg,7830.jpg,yes,no,no,no,no,no,75633,78844
1,1,4,cs15.bmp,neg,30,9007.jpg,1000,maske_10.bmp,500,maske_6.bmp,970,cs2.bmp,cs27.bmp,cs15.bmp,cs8.bmp,cs25.bmp,cs6.bmp,no,no,no,no,no,yes,81432,84188
1,1,5,cs29.bmp,neu,30,5455.jpg,1000,maske_12.bmp,500,maske_9.bmp,970,8211.jpg,7233.jpg,5395.jpg,5455.jpg,7640.jpg,5920.JPG,no,no,no,yes,no,no,86782,92084
1,1,6,cs26.bmp,neu,900,5535.jpg,1000,maske_2.bmp,500,maske_10.bmp,100,5535.jpg,5740.jpg,1616.jpg,7187.jpg,1935.jpg,8211.jpg,yes,no,no,no,no,no,94674,96212
1,1,7,cs11.bmp,neg,100,9280.jpg,1000,maske_11.bmp,500,maske_1.bmp,900,cs1.bmp,cs22.bmp,cs25.bmp,cs8.bmp,cs11.bmp,cs27.bmp,no,no,no,no,yes,no,98791,102228
1,1,8,cs16.bmp,pos,100,2050.jpg,1000,maske_4.bmp,500,maske_7.bmp,900,cs7.bmp,cs3.bmp,cs10.bmp,cs20.bmp,cs17.bmp,cs16.bmp,no,no,no,yes,no,no,104813,107124
1,1,9,cs10.bmp,pos,900,2071.jpg,1000,maske_9.bmp,500,maske_8.bmp,100,cs24.bmp,cs16.bmp,cs10.bmp,cs13.bmp,cs3.bmp,cs7.bmp,no,no,no,no,yes,no,109705,111380
