subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating;VF_pos;VF_neg
subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating;VF_pos;VF_neg
3;1;1;pas_3;negative;S   W   A   P;maske_2.bmp;maske_1.bmp;Dog 31.jpg;0.168;1;1;6;0.0005;1;no;yes
3;1;2;pas_5;negative;G   U   N   T;maske_1.bmp;maske_2.bmp;Miserable pose 4.jpg;0.158;1;1;9;0.0005;1;no;yes
3;1;3;pas_3;positive;J   O   R   F;maske_2.bmp;maske_1.bmp;Gazing 6.jpg;0.1685;1;1;6;0.0005;1;yes;no
3;1;4;pas_3;negative;S   P   A   V;maske_2.bmp;maske_1.bmp;Explosion 6.jpg;0.169;1;1;6;0.0005;1;no;yes
3;1;5;pas_5;negative;G   U   T   Z;maske_1.bmp;maske_2.bmp;Angry face 5.jpg;0.1585;1;1;9;0.0005;1;no;yes
3;1;6;pas_3;negative;V   A   P   S;maske_1.bmp;maske_2.bmp;Cemetery 5.jpg;0.1695;1;-1;7;0.0005;5;no;yes
3;1;7;pas_3;negative;V   A   S   P;maske_2.bmp;maske_1.bmp;Fire 7.jpg;0.169;-1;1;8;0.0005;2;no;yes
3;1;8;pas_3;positive;B   J   O   F;maske_1.bmp;maske_2.bmp;Baby 8.jpg;0.1695;1;1;8;0.0005;1;yes;no
3;1;9;pas_5;positive;K   L   E   H;maske_1.bmp;maske_2.bmp;Dessert 5.jpg;0.159;1;1;9;0.0005;1;yes;no
3;1;10;pas_3;positive;F   R   O   B;maske_1.bmp;maske_2.bmp;Flowers 4.jpg;0.17;1;1;8;0.0005;1;yes;no
3;1;11;pas_3;negative;P   S   A   V;maske_2.bmp;maske_1.bmp;Garbage dump 8.jpg;0.1705;1;1;8;0.0005;1;no;yes
3;1;12;pas_5;negative;Z   U   N   T;maske_2.bmp;maske_1.bmp;Gun 5.jpg;0.1595;1;1;9;0.0005;2;no;yes
3;1;13;pas_5;negative;G   N   U   Z;maske_1.bmp;maske_2.bmp;Destruction 2.jpg;0.16;1;1;9;0.0005;1;no;yes
3;1;14;pas_3;positive;J   O   B   F;maske_1.bmp;maske_2.bmp;Birthday 1.jpg;0.171;1;1;8;0.0005;1;yes;no
3;1;15;pas_5;positive;K   E   L   M;maske_2.bmp;maske_1.bmp;Children 1.jpg;0.1605;1;1;9;0.0005;1;yes;no
3;1;16;pas_3;negative;P   A   W   S;maske_2.bmp;maske_1.bmp;Frustrated pose 5.jpg;0.1715;1;1;8;0.0005;1;no;yes
3;1;17;pas_5;positive;H   E   M   K;maske_2.bmp;maske_1.bmp;Collaboration 1.jpg;0.161;1;1;9;0.0005;2;yes;no
3;1;18;pas_5;positive;L   E   M   K;maske_1.bmp;maske_2.bmp;Fireworks 2.jpg;0.1615;1;1;9;0.0005;1;yes;no
3;1;19;pas_3;positive;F   O   R   B;maske_1.bmp;maske_2.bmp;Beach 6.jpg;0.172;1;1;8;0.0005;1;yes;no
3;1;20;pas_3;negative;S   A   P   V;maske_2.bmp;maske_1.bmp;Gun 1.jpg;0.1725;1;1;8;0.0005;1;no;yes
3;1;21;pas_5;negative;T   U   N   G;maske_1.bmp;maske_2.bmp;Sad face 9.jpg;0.162;1;1;9;0.0005;1;no;yes
3;1;22;pas_5;positive;M   E   H   K;maske_1.bmp;maske_2.bmp;Yoga 3.jpg;0.1625;1;1;9;0.0005;1;yes;no
3;1;23;pas_5;positive;K   L   E   M;maske_1.bmp;maske_2.bmp;Chipmunk 1.jpg;0.163;1;1;9;0.0005;1;yes;no
3;1;24;pas_3;positive;B   O   R   F;maske_2.bmp;maske_1.bmp;Dog 2.jpg;0.173;1;1;8;0.0005;1;yes;no
3;1;25;pas_5;negative;Z   U   N   G;maske_2.bmp;maske_1.bmp;Angry face 3.jpg;0.1635;1;1;9;0.0005;1;no;yes
3;1;26;pas_3;negative;W   A   P   S;maske_2.bmp;maske_1.bmp;Pollution 1.jpg;0.1735;1;1;8;0.0005;1;no;yes
3;1;27;pas_3;positive;R   O   B   F;maske_1.bmp;maske_2.bmp;Picnic 1.jpg;0.174;1;1;8;0.0005;1;yes;no
3;1;28;pas_5;negative;N   U   G   Z;maske_1.bmp;maske_2.bmp;Destruction 7.jpg;0.164;1;1;9;0.0005;1;no;yes
3;1;29;pas_5;positive;H   E   L   K;maske_2.bmp;maske_1.bmp;Excited face 3.jpg;0.1645;1;1;9;0.0005;1;yes;no
