subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating;VF_pos;VF_neg
1;1;1;pas_3;negative;V   A   S   P;maske_1.bmp;maske_2.bmp;Gun 5.jpg;0.082;1;1;10;0.0005;2;no;yes
1;1;2;pas_3;positive;J   O   R   B;maske_2.bmp;maske_1.bmp;Picnic 2.jpg;0.0825;1;1;10;0.0005;2;yes;no
1;1;3;pas_5;negative;H   E   L   K;maske_2.bmp;maske_1.bmp;Animal carcass 3.jpg;0.114;-1;1;6;0.0005;2;no;yes
1;1;4;pas_5;positive;T   U   G   Z;maske_1.bmp;maske_2.bmp;Guitar 1.jpg;0.1145;1;1;6;0.0005;5;yes;no
1;1;5;pas_3;negative;S   W   A   P;maske_2.bmp;maske_1.bmp;Cockroach 1.jpg;0.083;1;1;10;0.0005;2;no;yes
1;1;6;pas_5;positive;Z   U   N   T;maske_2.bmp;maske_1.bmp;Zebra 1.jpg;0.1145;1;1;6;0.0005;5;yes;no
1;1;7;pas_3;positive;B   O   R   F;maske_1.bmp;maske_2.bmp;Bird 1.jpg;0.0835;1;1;10;0.0005;2;yes;no
1;1;8;pas_5;positive;N   U   G   Z;maske_1.bmp;maske_2.bmp;Picnic 1.jpg;0.1145;1;1;6;0.0005;5;yes;no
1;1;9;pas_5;positive;G   U   N   T;maske_1.bmp;maske_2.bmp;Siblings 1.jpg;0.1145;1;1;6;0.0005;4;yes;no
1;1;10;pas_5;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Frustrated pose 7.jpg;0.115;1;1;6;0.0005;5;no;yes
1;1;11;pas_3;negative;S   P   A   V;maske_1.bmp;maske_2.bmp;Flood 1.jpg;0.084;1;-1;11;0.0005;5;no;yes
1;1;12;pas_3;positive;B   J   O   F;maske_1.bmp;maske_2.bmp;Fireworks 2.jpg;0.0835;-1;1;12;0.0005;2;yes;no
1;1;13;pas_5;negative;K   E   L   M;maske_1.bmp;maske_2.bmp;Garbage dump 5.jpg;0.115;1;1;6;0.0005;5;no;yes
1;1;14;pas_5;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Feces 1.jpg;0.115;1;1;6;0.0005;5;no;yes
1;1;15;pas_3;positive;F   R   O   B;maske_1.bmp;maske_2.bmp;Present 2.jpg;0.084;1;1;12;0.0005;3;yes;no
1;1;16;pas_3;negative;W   A   P   S;maske_2.bmp;maske_1.bmp;Angry face 5.jpg;0.084;1;1;12;0.0005;2;no;yes
1;1;17;pas_5;positive;G   U   T   Z;maske_1.bmp;maske_2.bmp;Beach 7.jpg;0.115;1;1;6;0.0005;1;yes;no
1;1;18;pas_3;positive;R   O   B   F;maske_1.bmp;maske_2.bmp;Flowers 4.jpg;0.0845;1;1;12;0.0005;2;yes;no
1;1;19;pas_5;positive;G   N   U   Z;maske_2.bmp;maske_1.bmp;Sunset 3.jpg;0.1155;1;1;6;0.0005;2;yes;no
1;1;20;pas_3;positive;F   O   R   B;maske_2.bmp;maske_1.bmp;Nude couple 7.jpg;0.085;1;1;12;0.0005;2;yes;no
1;1;21;pas_3;positive;J   O   B   F;maske_1.bmp;maske_2.bmp;Baby 8.jpg;0.0855;1;1;12;0.0005;2;yes;no
1;1;22;pas_5;negative;K   E   H   M;maske_1.bmp;maske_2.bmp;Garbage dump 1.jpg;0.116;1;1;6;0.0005;5;no;yes
1;1;23;pas_5;negative;L   E   M   K;maske_1.bmp;maske_2.bmp;Car crash 1.jpg;0.116;1;1;6;0.0005;5;no;yes
1;1;24;pas_3;positive;J   O   R   F;maske_1.bmp;maske_2.bmp;Soup 1.jpg;0.086;1;-1;13;0.0005;4;yes;no
1;1;25;pas_5;negative;M   E   H   K;maske_1.bmp;maske_2.bmp;Gun 1.jpg;0.116;1;1;6;0.0005;2;no;yes
1;1;26;pas_3;negative;P   S   A   V;maske_2.bmp;maske_1.bmp;Scared face 4.jpg;0.0855;-1;1;14;0.0005;2;no;yes
1;1;27;pas_3;negative;P   A   W   S;maske_1.bmp;maske_2.bmp;Miserable pose 4.jpg;0.086;1;1;14;0.0005;2;no;yes
1;1;28;pas_5;positive;Z   U   N   G;maske_2.bmp;maske_1.bmp;Excited face 3.jpg;0.1165;1;1;6;0.0005;2;yes;no
1;1;29;pas_5;positive;T   U   N   G;maske_1.bmp;maske_2.bmp;Bird 3.jpg;0.117;1;1;6;0.0005;2;yes;no
1;1;30;pas_3;negative;S   A   P   V;maske_2.bmp;maske_1.bmp;Angry face 4.jpg;0.0865;1;-1;15;0.0005;4;no;yes
1;1;31;pas_5;negative;K   L   E   H;maske_2.bmp;maske_1.bmp;Prison 2.jpg;0.1175;1;1;6;0.0005;4;no;yes
1;1;32;pas_3;negative;V   A   P   S;maske_2.bmp;maske_1.bmp;Animal carcass 1.jpg;0.086;-1;-1;15;0.0005;4;no;yes
1;1;33;pas_3;positive;J   O   R   B;maske_1.bmp;maske_2.bmp;Cat 5.jpg;0.0855;-1;-1;15;0.0005;3;yes;no
1;1;34;pas_3;negative;W   A   P   S;maske_1.bmp;maske_2.bmp;Baby 7.jpg;0.0855;-1;-1;15;0.0005;3;yes;no
1;1;35;pas_5;positive;N   U   G   Z;maske_2.bmp;maske_1.bmp;Happy pose 2.jpg;0.118;1;-1;7;0.0005;6;yes;no
1;1;36;pas_3;negative;P   A   W   S;maske_2.bmp;maske_1.bmp;Dog 31.jpg;0.0855;-1;-1;15;0.0005;3;no;yes
1;1;37;pas_5;negative;L   E   M   K;maske_2.bmp;maske_1.bmp;Jail 1.jpg;0.1175;-1;1;8;0.0005;4;no;yes
1;1;38;pas_3;positive;J   O   R   F;maske_2.bmp;maske_1.bmp;Father 1.jpg;0.0855;-1;-1;15;0.0005;4;yes;no
1;1;39;pas_3;positive;B   J   O   F;maske_2.bmp;maske_1.bmp;Beach 5.jpg;0.085;-1;-1;15;0.0005;3;yes;no
1;1;40;pas_3;negative;V   A   P   S;maske_1.bmp;maske_2.bmp;Sad face 1.jpg;0.085;-1;1;16;0.0005;2;yes;no
1;1;41;pas_3;positive;F   R   O   B;maske_2.bmp;maske_1.bmp;Coffee 1.jpg;0.0855;1;1;16;0.0005;2;yes;no
1;1;42;pas_5;negative;K   E   H   M;maske_2.bmp;maske_1.bmp;Depressed pose 3.jpg;0.118;1;1;8;0.0005;5;no;yes
1;1;43;pas_5;positive;G   U   N   T;maske_2.bmp;maske_1.bmp;Children 1.jpg;0.118;1;1;8;0.0005;5;yes;no
1;1;44;pas_5;positive;Z   U   N   G;maske_1.bmp;maske_2.bmp;Birthday 1.jpg;0.118;1;1;8;0.0005;5;yes;no
1;1;45;pas_3;negative;P   S   A   V;maske_1.bmp;maske_2.bmp;Ferret 1.jpg;0.086;1;1;16;0.0005;3;no;yes
1;1;46;pas_3;positive;J   O   B   F;maske_2.bmp;maske_1.bmp;Dessert 8.jpg;0.086;1;1;16;0.0005;2;yes;no
1;1;47;pas_3;negative;S   P   A   V;maske_2.bmp;maske_1.bmp;Destruction 7.jpg;0.0865;1;1;16;0.0005;2;no;yes
1;1;48;pas_3;positive;R   O   B   F;maske_2.bmp;maske_1.bmp;School 2.jpg;0.087;1;-1;17;0.0005;5;yes;no
1;1;49;pas_5;positive;G   N   U   Z;maske_1.bmp;maske_2.bmp;Lake 12.jpg;0.118;1;1;8;0.0005;2;yes;no
1;1;50;pas_5;positive;T   U   N   G;maske_2.bmp;maske_1.bmp;Mother 6.jpg;0.1185;1;1;8;0.0005;2;yes;no
1;1;51;pas_3;positive;F   O   R   B;maske_1.bmp;maske_2.bmp;Baby 6.jpg;0.0865;-1;1;18;0.0005;2;yes;no
1;1;52;pas_3;negative;S   A   P   V;maske_1.bmp;maske_2.bmp;Garbage dump 8.jpg;0.087;1;1;18;0.0005;3;no;yes
1;1;53;pas_5;positive;Z   U   N   T;maske_1.bmp;maske_2.bmp;Gazing 6.jpg;0.119;1;1;8;0.0005;1;yes;no
1;1;54;pas_5;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;Yoga 3.jpg;0.1195;1;1;8;0.0005;2;yes;no
1;1;55;pas_5;negative;H   E   L   K;maske_1.bmp;maske_2.bmp;Dog 23.jpg;0.12;1;1;8;0.0005;2;no;yes
1;1;56;pas_5;negative;K   L   E   M;maske_2.bmp;maske_1.bmp;Angry pose 1.jpg;0.1205;1;1;8;0.0005;2;no;yes
1;1;57;pas_3;negative;V   A   S   P;maske_2.bmp;maske_1.bmp;Toilet 4.jpg;0.087;1;-1;19;0.0005;4;no;yes
1;1;58;pas_5;negative;K   E   L   M;maske_2.bmp;maske_1.bmp;Fire 7.jpg;0.121;1;-1;9;0.0005;6;no;yes
1;1;59;pas_5;negative;M   E   H   K;maske_2.bmp;maske_1.bmp;Destruction 10.jpg;0.1205;-1;1;10;0.0005;2;no;yes
1;1;60;pas_5;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Couple 8.jpg;0.121;1;1;10;0.0005;4;yes;no
1;1;61;pas_3;positive;B   O   R   F;maske_2.bmp;maske_1.bmp;Massage 1.jpg;0.0865;-1;1;20;0.0005;2;yes;no
1;1;62;pas_5;negative;K   L   E   H;maske_1.bmp;maske_2.bmp;Explosion 6.jpg;0.1215;1;1;10;0.0005;2;no;yes
1;1;63;pas_3;negative;S   W   A   P;maske_1.bmp;maske_2.bmp;Fire 2.jpg;0.087;1;-1;21;0.0005;4;no;yes
1;1;64;pas_5;negative;H   E   M   K;maske_2.bmp;maske_1.bmp;Angry face 3.jpg;0.122;1;1;10;0.0005;3;no;yes
1;2;1;pas_3;negative;S   A   P   V;maske_2.bmp;maske_1.bmp;Destruction 7.jpg;0.0865;-1;1;22;0.0005;2;no;yes
1;2;2;pas_3;positive;F   O   R   B;maske_2.bmp;maske_1.bmp;Coffee 1.jpg;0.087;1;1;22;0.0005;2;yes;no
1;2;3;pas_3;negative;P   S   A   V;maske_1.bmp;maske_2.bmp;Angry face 4.jpg;0.0875;1;1;22;0.0005;2;no;yes
1;2;4;pas_5;positive;N   U   G   Z;maske_1.bmp;maske_2.bmp;Mother 5.jpg;0.1225;1;1;10;0.0005;4;yes;no
1;2;5;pas_3;positive;J   O   B   F;maske_2.bmp;maske_1.bmp;Picnic 2.jpg;0.088;1;1;22;0.0005;2;yes;no
1;2;6;pas_5;negative;H   E   L   K;maske_1.bmp;maske_2.bmp;Cemetery 5.jpg;0.123;1;1;10;0.0005;3;no;yes
1;2;7;pas_3;positive;R   O   B   F;maske_1.bmp;maske_2.bmp;Beach 6.jpg;0.0885;1;1;22;0.0005;3;yes;no
1;2;8;pas_3;negative;S   P   A   V;maske_1.bmp;maske_2.bmp;Fire 2.jpg;0.0885;1;-1;23;0.0005;5;no;yes
1;2;9;pas_5;negative;K   E   H   M;maske_2.bmp;maske_1.bmp;Garbage dump 6.jpg;0.1235;1;-1;11;0.0005;6;no;yes
1;2;10;pas_3;positive;B   J   O   F;maske_2.bmp;maske_1.bmp;Bird 1.jpg;0.088;-1;1;24;0.0005;2;yes;no
