ParticipantNumber	likingRating	likingRT	Word	List	TrialNr	computerName	timeStamp
14	20	32.025000	Pistole	MemTestNeg	1	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	100	9.459000	Freund	posPrime	2	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	100	3.892000	wundervoll	IATpos	3	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	100	3.541000	Natur	MemTestPos	4	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	100	4.077000	Liebe	IATpos	5	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	100	2.786000	Sonnenschein	MemTestPos	6	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	10	10.543000	töten	MemTestNeg	7	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	0	3.753000	Spinne	negPrime	8	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	50	4.862000	beten	MemTestPos	9	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	90	8.706000	Regenbogen	MemTestPos	10	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	10	6.111000	ekelhaft	IATneg	11	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	20	3.304000	Verbrechen	MemTestNeg	12	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	90	3.519000	Umarmung	MemTestPos	13	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	22	4.362000	verletzt	negPrime	14	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	0	4.139000	Krieg	negPrime	15	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	1	2.596000	Hölle	negPrime	16	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	90	2.986000	Lächeln	posPrime	17	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	19	3.183000	schrecklich	IATneg	18	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	69	5.953000	frisch	MemTestPos	19	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	21	2.437000	fies	IATneg	20	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	21	12.609000	hässlich	negPrime	21	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	2	2.137000	Leiche	negPrime	22	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	11	2.127000	Horror	MemTestNeg	23	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	88	2.770000	Welpe	posPrime	24	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	21	12.988000	furchtbar	IATneg	25	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	12	1.924000	Schmerz	negPrime	26	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	58	5.673000	Frieden	IATpos	27	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	30	3.074000	Fehlschlag	IATneg	28	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	11	2.452000	widerlich	IATneg	29	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	76	2.702000	Kuss	posPrime	30	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	12	4.575000	Gestank	negPrime	31	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	7	2.111000	Verlust	MemTestNeg	32	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	83	2.853000	Zufriedenheit	IATpos	33	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	88	1.779000	Freude	IATpos	34	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	96	2.792000	glücklich	posPrime	35	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	11	5.980000	erstechen	MemTestNeg	36	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	9	2.880000	Tod	negPrime	37	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	88	6.124000	Spaß	MemTestPos	38	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	22	2.133000	Flutung	MemTestNeg	39	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	51	3.163000	Bargeld	MemTestPos	40	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	76	2.277000	begabt	IATpos	41	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	90	2.138000	super	IATpos	42	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	87	2.254000	Geschenk	posPrime	43	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	94	1.922000	Humor	IATpos	44	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	90	1.640000	Feier	posPrime	45	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	20	2.837000	hektisch	IATneg	46	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	61	2.336000	hübsch	posPrime	47	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	4	5.372000	entsetzlich	IATneg	48	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	91	2.106000	Kätzchen	posPrime	49	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	15	3.746000	betrunken	MemTestNeg	50	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	95	2.172000	Vertrauen	IATpos	51	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
14	21	2.153000	Bombe	MemTestNeg	52	Sarahs-MacBook.local	2016-06-19_12.28.22.237937
