ParticipantNumber	likingRating	likingRT	Word	List	TrialNr	computerName	timeStamp
4	0	20.744000	töten	MemTestNeg	1	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	10	12.477000	Qual	IATneg	2	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	10	15.127000	furchtbar	IATneg	3	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	90	10.798000	Freude	IATpos	4	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	80	10.965000	Blume	posPrime	5	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	30	9.940000	Verlust	MemTestNeg	6	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	20	8.765000	entsetzlich	IATneg	7	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	80	7.495000	super	IATpos	8	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	80	5.541000	wundervoll	IATpos	9	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	70	9.329000	Welpe	posPrime	10	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	10	11.609000	verletzt	negPrime	11	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	80	8.890000	frisch	MemTestPos	12	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	90	5.013000	Lächeln	posPrime	13	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	60	4.731000	Regenbogen	MemTestPos	14	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	80	9.649000	Vertrauen	IATpos	15	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	80	5.915000	Umarmung	MemTestPos	16	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	30	7.113000	Pistole	MemTestNeg	17	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	40	4.862000	Flutung	MemTestNeg	18	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	70	6.472000	Bargeld	MemTestPos	19	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
4	30	9.019000	beten	MemTestPos	20	Sarahs-MacBook.fritz.box	2016-06-18_14.54.53.776297
