ParticipantNumber	likingRating	likingRT	Word	List	TrialNr	computerName	timeStamp
9	70	10.381000	Welpe	posPrime	1	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	0	3.765000	Leiche	negPrime	2	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	40	4.864000	beten	MemTestPos	3	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	90	5.215000	schön	MemTestPos	4	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	100	3.098000	Regenbogen	MemTestPos	5	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	86	4.072000	Humor	IATpos	6	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	93	2.760000	Vertrauen	IATpos	7	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	91	3.197000	Geschenk	posPrime	8	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	50	4.247000	Bargeld	MemTestPos	9	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	40	3.468000	hektisch	IATneg	10	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	14	4.176000	Qual	IATneg	11	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	71	173.219000	frisch	MemTestPos	12	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	87	2.693000	Liebe	IATpos	13	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	10	6.412000	schrecklich	IATneg	14	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	16	5.491000	erstechen	MemTestNeg	15	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	29	11.669000	Krieg	negPrime	16	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	22	5.847000	Verbrechen	MemTestNeg	17	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	90	2.890000	Zufriedenheit	IATpos	18	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	50	4.279000	Flutung	MemTestNeg	19	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	71	3.264000	hübsch	posPrime	20	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	79	3.314000	Umarmung	MemTestPos	21	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	92	8.031000	glücklich	posPrime	22	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	31	5.542000	verletzt	negPrime	23	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	60	10.570000	Blume	posPrime	24	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	19	10.287000	entsetzlich	IATneg	25	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	28	4.882000	widerlich	IATneg	26	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	19	2.281000	Tod	negPrime	27	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	81	5.463000	Feier	posPrime	28	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
9	16	8.967000	ekelhaft	IATneg	29	Sarahs-MacBook.local	2016-06-18_23.09.45.953276
