ParticipantNumber	likingRating	likingRT	Word	List	TrialNr	computerName	timeStamp
3	10	9.865000	furchtbar	IATneg	1	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	30	3.965000	töten	MemTestNeg	2	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	30	4.133000	Hölle	negPrime	3	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	80	6.799000	frisch	MemTestPos	4	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	10	8.373000	Krieg	negPrime	5	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	41	4.588000	entsetzlich	IATneg	6	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	89	9.427000	begabt	IATpos	7	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	97	5.725000	Vertrauen	IATpos	8	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	89	3.549000	Kuss	posPrime	9	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	8	4.833000	Horror	MemTestNeg	10	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	84	3.680000	Lächeln	posPrime	11	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	28	3.879000	Flutung	MemTestNeg	12	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	95	6.997000	Spaß	MemTestPos	13	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	38	5.082000	verletzt	negPrime	14	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	10	5.449000	Qual	IATneg	15	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	49	4.050000	Spinne	negPrime	16	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	26	4.113000	ekelhaft	IATneg	17	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	12	3.666000	Schmerz	negPrime	18	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	83	4.098000	Geschenk	posPrime	19	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	67	5.547000	Süßigkeiten	MemTestPos	20	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	71	4.628000	erfolgreich	IATpos	21	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	48	5.716000	Welpe	posPrime	22	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	52	4.331000	Blume	posPrime	23	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	30	6.076000	Verlust	MemTestNeg	24	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	71	3.814000	super	IATpos	25	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	81	6.577000	schön	MemTestPos	26	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	35	3.981000	Gestank	negPrime	27	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	79	6.098000	Frieden	IATpos	28	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	80	3.860000	Regenbogen	MemTestPos	29	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	86	6.045000	Freund	posPrime	30	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	89	7.430000	Freude	IATpos	31	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	99	4.016000	Liebe	IATpos	32	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	7	9.833000	erstechen	MemTestNeg	33	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	93	3.197000	Umarmung	MemTestPos	34	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	15	4.099000	Angst	MemTestNeg	35	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	46	4.808000	Feier	posPrime	36	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	49	7.283000	Leiche	negPrime	37	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	50	9.560000	betrunken	MemTestNeg	38	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	30	5.122000	Fehlschlag	IATneg	39	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	80	3.398000	hübsch	posPrime	40	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	90	10.331000	Kätzchen	posPrime	41	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	19	9.175000	Bombe	MemTestNeg	42	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	79	5.359000	Zufriedenheit	IATpos	43	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	50	4.962000	Tod	negPrime	44	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	90	7.039000	glücklich	posPrime	45	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	15	5.966000	schrecklich	IATneg	46	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	44	5.941000	Müll	negPrime	47	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	30	9.232000	Pistole	MemTestNeg	48	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	85	4.410000	wundervoll	IATpos	49	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	50	6.079000	böse	IATneg	50	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	12	7.548000	widerlich	IATneg	51	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	84	9.733000	Natur	MemTestPos	52	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	74	5.877000	Bargeld	MemTestPos	53	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	24	7.579000	hektisch	IATneg	54	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	36	7.468000	hässlich	negPrime	55	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	89	17.813000	Sonnenschein	MemTestPos	56	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	79	5.015000	Humor	IATpos	57	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	46	6.973000	beten	MemTestPos	58	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	27	7.164000	fies	IATneg	59	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
3	31	15.647000	Verbrechen	MemTestNeg	60	Sarahs-MacBook.local	2016-06-18_13.44.04.419492
