subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
66,1,1,ec,6,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,9180.bmp,0.051,F   R   O   L,F   R   O   B,P   A   N   D,D   A   P   S,no,yes,no,no,
66,1,2,ec,2,positive,W   A   N   S,maske_1.bmp,maske_2.bmp,4220.bmp,0.051,W   A   N   S,S   W   A   D,F   O   R   B,B   L   O   R,yes,no,no,no,
66,1,3,ec,4,negative,B   O   R   L,maske_2.bmp,maske_1.bmp,9331.bmp,0.051,F   R   O   L,W   A   N   S,B   O   R   L,D   A   N   S,no,no,no,yes,
66,1,4,ec,5,negative,J   O   L   F,maske_2.bmp,maske_1.bmp,2375.1.bmp,0.051,J   O   L   F,S   N   A   D,S   P   A   D,B   L   O   R,yes,no,no,no,
66,1,5,ec,2,negative,F   O   R   B,maske_2.bmp,maske_1.bmp,3160.bmp,0.051,W   A   P   S,F   O   R   B,S   N   A   D,J   O   L   F,no,yes,no,no,
66,1,6,ec,4,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,5910.bmp,0.051,W   A   P   S,F   R   O   B,D   A   P   S,J   O   L   F,no,yes,no,no,
66,1,7,ec,3,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,9630.bmp,0.051,P   A   N   D,B   O   R   L,S   W   A   D,B   L   O   R,yes,no,no,no,
66,1,8,ec,7,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,6311.bmp,0.051,F   O   R   B,B   R   O   F,D   A   P   S,S   P   A   D,no,no,yes,no,
66,1,9,ec,8,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,1463.bmp,0.051,F   R   O   L,W   A   N   S,S   N   A   D,B   O   R   L,no,no,no,yes,
66,1,10,ec,3,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2208.bmp,0.051,S   W   A   D,B   R   O   F,J   O   L   F,S   P   A   D,no,yes,no,no,
66,1,11,ec,7,positive,D   A   N   S,maske_1.bmp,maske_2.bmp,5594.bmp,0.051,W   A   P   S,B   R   O   F,L   O   R   B,D   A   N   S,no,no,yes,no,
66,1,12,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,1710.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,no,yes,no,no,
66,1,13,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9102.bmp,0.5,H   Y   V   Z,T   E   H   V,K   I   G   M,G   M   U   X,yes,no,no,no,
66,1,14,ec,8,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,9050.bmp,0.051,S   W   A   D,F   R   O   B,W   A   P   S,L   O   R   B,no,no,yes,no,
66,1,15,ec,5,positive,S   P   A   D,maske_2.bmp,maske_1.bmp,2057.bmp,0.051,S   P   A   D,B   O   R   L,F   R   O   B,D   A   N   S,no,yes,no,no,
66,1,16,ec,1,negative,L   O   R   B,maske_2.bmp,maske_1.bmp,6831.bmp,0.051,L   O   R   B,W   A   N   S,D   A   N   S,B   R   O   F,no,yes,no,no,
66,1,17,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,5629.bmp,0.5,H   Y   V   Z,K   I   G   M,T   E   H   V,G   M   U   X,no,yes,no,no,
66,1,18,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9430.bmp,0.5,T   E   H   V,H   Y   V   Z,K   I   G   M,G   M   U   X,yes,no,no,no,
66,1,19,ec,6,positive,D   A   P   S,maske_2.bmp,maske_1.bmp,2080.bmp,0.051,P   A   N   D,D   A   P   S,F   O   R   B,L   O   R   B,no,no,no,yes,
66,1,20,ec,1,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,8540.bmp,0.051,B   L   O   R,F   R   O   L,P   A   N   D,S   N   A   D,yes,no,no,no,
66,2,1,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,1463.bmp,0.5,H   Y   V   Z,K   I   G   M,T   E   H   V,G   M   U   X,no,yes,no,no,
66,2,2,ec,3,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,1650.bmp,0.051,S   W   A   D,D   A   N   S,B   R   O   F,J   O   L   F,no,no,yes,no,
66,2,3,ec,5,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,8190.bmp,0.051,S   P   A   D,D   A   P   S,F   R   O   L,F   O   R   B,yes,no,no,no,
66,2,4,ec,1,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,5830.bmp,0.051,W   A   N   S,F   O   R   B,L   O   R   B,P   A   N   D,no,no,no,yes,
66,2,5,ec,8,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,2375.1.bmp,0.051,S   P   A   D,P   A   N   D,F   R   O   B,B   O   R   L,no,no,yes,no,
66,2,6,ec,2,positive,W   A   N   S,maske_2.bmp,maske_1.bmp,2311.bmp,0.051,S   W   A   D,B   L   O   R,F   R   O   B,W   A   N   S,no,no,no,yes,
66,2,7,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9007.bmp,0.5,K   I   G   M,H   Y   V   Z,G   M   U   X,T   E   H   V,no,yes,no,no,
66,2,8,ec,7,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,7380.bmp,0.051,B   R   O   F,W   A   N   S,W   A   P   S,L   O   R   B,yes,no,no,no,
66,2,9,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,4622.bmp,0.5,K   I   G   M,G   M   U   X,H   Y   V   Z,T   E   H   V,no,yes,no,no,
66,2,10,ec,4,negative,B   O   R   L,maske_2.bmp,maske_1.bmp,9331.bmp,0.051,S   P   A   D,B   O   R   L,W   A   N   S,F   R   O   L,no,yes,no,no,
66,2,11,ec,4,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,5629.bmp,0.051,J   O   L   F,S   N   A   D,W   A   P   S,L   O   R   B,no,no,no,yes,
66,2,12,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9404.bmp,0.5,G   M   U   X,H   Y   V   Z,T   E   H   V,K   I   G   M,no,no,yes,no,
66,2,13,ec,8,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,7580.bmp,0.051,S   P   A   D,B   O   R   L,F   R   O   L,S   N   A   D,yes,no,no,no,
66,2,14,ec,7,positive,D   A   N   S,maske_2.bmp,maske_1.bmp,2900.2.bmp,0.051,B   O   R   L,W   A   P   S,D   A   N   S,B   R   O   F,no,yes,no,no,
66,2,15,ec,1,negative,L   O   R   B,maske_1.bmp,maske_2.bmp,9102.bmp,0.051,D   A   N   S,B   R   O   F,L   O   R   B,S   N   A   D,no,no,yes,no,
66,2,16,ec,5,negative,J   O   L   F,maske_1.bmp,maske_2.bmp,9561.bmp,0.051,B   L   O   R,P   A   N   D,J   O   L   F,D   A   N   S,yes,no,no,no,
66,2,17,ec,6,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.051,F   R   O   B,S   N   A   D,W   A   P   S,F   R   O   L,no,no,no,yes,
66,2,18,ec,2,negative,F   O   R   B,maske_1.bmp,maske_2.bmp,9041.bmp,0.051,J   O   L   F,F   O   R   B,D   A   P   S,S   W   A   D,no,yes,no,no,
66,2,19,ec,6,positive,D   A   P   S,maske_2.bmp,maske_1.bmp,5831.bmp,0.051,B   L   O   R,P   A   N   D,D   A   P   S,F   R   O   B,no,yes,no,no,
