subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
71,1,1,ec,5,negative,G   N   U   D,maske_2.bmp,maske_1.bmp,9000.bmp,0.095,yes,no,no,no,no,no,no,no,no
71,1,2,ec,3,positive,H   E   L   K,maske_1.bmp,maske_2.bmp,7580.bmp,0.095,no,yes,no,no,no,no,no,no,no
71,1,3,ec,6,positive,C   H   E   K,maske_2.bmp,maske_1.bmp,2160.bmp,0.095,yes,no,no,no,no,no,no,no,no
71,1,4,ec,1,positive,K   E   H   M,maske_1.bmp,maske_2.bmp,8496.bmp,0.095,no,yes,no,no,no,no,no,no,no
71,1,5,ec,4,positive,M   E   C   H,maske_1.bmp,maske_2.bmp,7350.bmp,0.095,yes,no,no,no,no,no,no,no,no
71,1,6,ec_control,2,positive,F   R   I   B,maske_1.bmp,maske_2.bmp,8190.bmp,0.5,no,no,no,no,no,yes,no,no,no
71,1,7,ec,5,positive,K   E   C   H,maske_1.bmp,maske_2.bmp,8540.bmp,0.095,no,yes,no,no,no,no,no,no,no
71,1,8,ec,2,negative,G   U   N   T,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,1,9,ec,8,positive,L   E   M   K,maske_2.bmp,maske_1.bmp,8420.bmp,0.095,yes,no,no,no,no,no,no,no,no
71,1,10,ec,7,positive,H   E   M   K,maske_1.bmp,maske_2.bmp,2040.bmp,0.095,no,yes,no,no,no,no,no,no,no
71,1,11,ec,8,negative,D   U   N   T,maske_2.bmp,maske_1.bmp,7380.bmp,0.095,no,no,no,no,yes,no,no,no,no
71,1,12,ec,6,negative,D   U   T   Z,maske_2.bmp,maske_1.bmp,9435.bmp,0.095,yes,no,no,no,no,no,no,no,no
71,1,13,ec,2,positive,C   E   L   K,maske_1.bmp,maske_2.bmp,7502.bmp,0.095,no,no,yes,no,no,no,no,no,no
71,1,14,ec,1,negative,T   U   G   Z,maske_1.bmp,maske_2.bmp,9560.bmp,0.095,no,no,yes,no,no,no,no,no,no
71,1,15,ec_control,1,positive,J   O   R   F,maske_1.bmp,maske_2.bmp,5994.bmp,0.5,no,no,no,no,no,yes,no,no,no
71,1,16,ec_control,1,negative,V   A   S   P,maske_1.bmp,maske_2.bmp,1525.bmp,0.5,no,no,no,no,no,yes,no,no,no
71,1,17,ec,3,negative,D   N   U   G,maske_2.bmp,maske_1.bmp,2276.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,1,18,ec,7,negative,G   U   N   D,maske_2.bmp,maske_1.bmp,9265.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,1,19,ec_control,2,negative,P   Y   W   S,maske_1.bmp,maske_2.bmp,9561.bmp,0.5,no,no,no,no,no,yes,no,no,no
71,1,20,ec,4,negative,D   U   G   T,maske_1.bmp,maske_2.bmp,9050.bmp,0.095,no,no,no,no,yes,no,no,no,no
71,2,1,ec,4,positive,M   E   C   H,maske_2.bmp,maske_1.bmp,8330.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,2,2,ec,6,negative,D   U   T   Z,maske_1.bmp,maske_2.bmp,9102.bmp,0.095,no,no,yes,no,no,no,no,no,no
71,2,3,ec,5,negative,G   N   U   D,maske_1.bmp,maske_2.bmp,9430.bmp,0.095,no,no,yes,no,no,no,no,no,no
71,2,4,ec,4,negative,D   U   G   T,maske_2.bmp,maske_1.bmp,6020.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,2,5,ec,1,negative,T   U   G   Z,maske_2.bmp,maske_1.bmp,9007.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,2,6,ec,8,positive,L   E   M   K,maske_1.bmp,maske_2.bmp,2209.bmp,0.095,no,no,no,no,yes,no,no,no,no
71,2,7,ec,2,negative,G   U   N   T,maske_2.bmp,maske_1.bmp,2900.bmp,0.095,no,no,yes,no,no,no,no,no,no
71,2,8,ec,1,positive,K   E   H   M,maske_2.bmp,maske_1.bmp,2050.bmp,0.095,no,no,no,no,yes,no,no,no,no
71,2,9,ec,3,positive,H   E   L   K,maske_2.bmp,maske_1.bmp,8080.bmp,0.095,no,no,no,no,yes,no,no,no,no
71,2,10,ec,2,positive,C   E   L   K,maske_2.bmp,maske_1.bmp,5910.bmp,0.095,yes,no,no,no,no,no,no,no,no
71,2,11,ec_control,1,negative,V   A   S   P,maske_2.bmp,maske_1.bmp,6831.bmp,0.5,no,yes,no,no,no,no,no,no,no
71,2,12,ec_control,1,positive,J   O   R   F,maske_2.bmp,maske_1.bmp,4606.bmp,0.5,no,no,no,no,no,yes,no,no,no
71,2,13,ec_control,2,negative,P   Y   W   S,maske_2.bmp,maske_1.bmp,2141.bmp,0.5,no,no,no,no,no,yes,no,no,no
71,2,14,ec,7,negative,G   U   N   D,maske_1.bmp,maske_2.bmp,2710.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,2,15,ec,6,positive,C   H   E   K,maske_1.bmp,maske_2.bmp,8470.bmp,0.095,no,yes,no,no,no,no,no,no,no
71,2,16,ec,5,positive,K   E   C   H,maske_2.bmp,maske_1.bmp,2791.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,2,17,ec,3,negative,D   N   U   G,maske_1.bmp,maske_2.bmp,9400.bmp,0.095,no,no,no,yes,no,no,no,no,no
71,2,18,ec_control,2,positive,F   R   I   B,maske_2.bmp,maske_1.bmp,2057.bmp,0.5,no,no,no,no,no,yes,no,no,no
