4,2,10,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9340.bmp,0.5,G   M   U   X,T   E   H   V,K   I   G   M,H   Y   V   Z,no,no,no,yes,
4,2,11,ec,7,negative,P   A   N   D,maske_2.bmp,maske_1.bmp,6020.bmp,0.069,P   A   N   D,D   W   A   P,F   L   O   R,J   O   R   B,no,no,no,yes,
4,2,12,ec,4,negative,S   P   A   W,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.069,S   N   A   W,J   O   R   F,F   O   R   B,S   P   A   W,no,no,no,yes,
4,2,13,ec,2,positive,J   O   R   B,maske_1.bmp,maske_2.bmp,4622.bmp,0.069,J   O   R   F,D   W   A   P,J   O   R   B,P   A   N   D,no,yes,no,no,
4,2,14,ec,5,negative,S   W   A   P,maske_2.bmp,maske_1.bmp,9000.bmp,0.069,F   L   O   R,S   W   A   P,B   R   O   F,W   A   D   S,yes,no,no,no,
4,2,15,ec,1,positive,B   O   R   L,maske_2.bmp,maske_1.bmp,5460.bmp,0.069,B   O   R   L,S   N   A   W,B   O   L   F,D   W   A   P,yes,no,no,no,
4,2,16,ec,3,positive,J   O   R   F,maske_1.bmp,maske_2.bmp,2791.bmp,0.069,P   A   N   S,J   O   R   F,J   O   R   B,P   A   N   D,no,yes,no,no,
4,2,17,ec,3,negative,D   W   A   P,maske_2.bmp,maske_1.bmp,6831.bmp,0.069,F   R   O   L,D   W   A   P,J   O   R   F,S   P   A   W,no,yes,no,no,
4,2,18,ec,5,positive,F   L   O   R,maske_1.bmp,maske_2.bmp,5831.bmp,0.069,B   O   R   L,S   N   A   W,S   W   A   P,F   L   O   R,no,no,no,yes,
4,2,19,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2070.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,no,yes,no,no,
4,2,20,ec,2,negative,W   A   D   S,maske_1.bmp,maske_2.bmp,9500.bmp,0.069,J   O   R   B,F   R   O   L,W   A   D   S,P   A   N   S,no,yes,no,no,
4,3,1,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2660.bmp,0.5,G   M   U   X,K   I   G   M,H   Y   V   Z,T   E   H   V,yes,no,no,no,
4,3,2,ec,3,positive,J   O   R   F,maske_2.bmp,maske_1.bmp,8501.bmp,0.069,S   P   A   W,J   O   R   F,S   N   A   W,F   O   R   B,yes,no,no,no,
4,3,3,ec,8,negative,W   A   N   S,maske_1.bmp,maske_2.bmp,3550.bmp,0.069,F   L   O   R,J   O   R   B,S   N   A   W,W   A   N   S,no,yes,no,no,
4,3,4,ec,4,negative,S   P   A   W,maske_2.bmp,maske_1.bmp,6020.bmp,0.069,S   P   A   W,J   O   R   F,S   W   A   P,F   L   O   R,no,yes,no,no,
4,3,5,ec,6,negative,P   A   N   S,maske_1.bmp,maske_2.bmp,1525.bmp,0.069,D   W   A   P,B   R   O   F,P   A   N   S,B   O   L   F,no,yes,no,no,
4,3,6,ec,7,positive,B   R   O   F,maske_1.bmp,maske_2.bmp,1463.bmp,0.069,P   A   N   S,S   W   A   P,F   L   O   R,B   R   O   F,no,no,no,yes,
4,3,7,ec,5,negative,S   W   A   P,maske_1.bmp,maske_2.bmp,9330.bmp,0.069,S   W   A   P,B   O   L   F,S   P   A   W,B   R   O   F,no,yes,no,no,
4,3,8,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,2050.bmp,0.5,G   M   U   X,K   I   G   M,T   E   H   V,H   Y   V   Z,no,yes,no,no,
4,3,9,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9561.bmp,0.5,T   E   H   V,K   I   G   M,G   M   U   X,H   Y   V   Z,no,no,no,yes,
4,3,10,ec,1,negative,S   N   A   W,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.069,B   O   R   L,S   N   A   W,P   A   N   D,F   O   R   B,no,yes,no,no,
4,3,11,ec,7,negative,P   A   N   D,maske_2.bmp,maske_1.bmp,6530.bmp,0.069,W   A   D   S,F   O   R   B,J   O   R   B,P   A   N   D,yes,no,no,no,
4,3,12,ec,8,positive,F   O   R   B,maske_1.bmp,maske_2.bmp,2091.bmp,0.069,F   R   O   L,W   A   D   S,F   O   R   B,W   A   N   S,no,no,yes,no,
4,3,13,ec,2,positive,J   O   R   B,maske_1.bmp,maske_2.bmp,2070.bmp,0.069,J   O   R   B,J   O   R   F,W   A   N   S,P   A   N   D,no,yes,no,no,
4,3,14,ec,1,positive,B   O   R   L,maske_2.bmp,maske_1.bmp,1710.bmp,0.069,B   O   L   F,B   O   R   L,D   W   A   P,W   A   D   S,yes,no,no,no,
4,3,15,ec,3,negative,D   W   A   P,maske_1.bmp,maske_2.bmp,9421.bmp,0.069,D   W   A   P,B   O   R   L,F   R   O   L,P   A   N   S,no,yes,no,no,
4,3,16,ec,5,positive,F   L   O   R,maske_2.bmp,maske_1.bmp,2340.bmp,0.069,S   W   A   P,F   L   O   R,P   A   N   D,B   O   R   L,no,yes,no,no,
4,3,17,ec,6,positive,F   R   O   L,maske_2.bmp,maske_1.bmp,8190.bmp,0.069,F   R   O   L,S   P   A   W,B   R   O   F,P   A   N   S,no,no,no,yes,
4,3,18,ec,2,negative,W   A   D   S,maske_2.bmp,maske_1.bmp,6555.bmp,0.069,W   A   D   S,W   A   N   S,F   R   O   L,J   O   R   F,no,no,no,yes,
4,3,19,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,2141.bmp,0.5,K   I   G   M,H   Y   V   Z,G   M   U   X,T   E   H   V,no,no,no,yes,
4,3,20,ec,4,positive,B   O   L   F,maske_2.bmp,maske_1.bmp,1999.bmp,0.069,B   O   L   F,D   W   A   P,S   N   A   W,J   O   R   B,no,no,no,yes,
4,4,1,ec,3,negative,D   W   A   P,maske_1.bmp,maske_2.bmp,3220.bmp,0.069,F   L   O   R,D   W   A   P,J   O   R   B,S   W   A   P,no,yes,no,no,
4,4,2,ec,4,positive,B   O   L   F,maske_1.bmp,maske_2.bmp,4606.bmp,0.069,J   O   R   B,W   A   D   S,B   O   L   F,S   P   A   W,no,yes,no,no,
4,4,3,ec,4,negative,S   P   A   W,maske_1.bmp,maske_2.bmp,9050.bmp,0.069,B   O   R   L,W   A   N   S,B   R   O   F,S   P   A   W,no,no,no,yes,
4,4,4,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,6242.bmp,0.5,K   I   G   M,H   Y   V   Z,G   M   U   X,T   E   H   V,no,no,no,yes,
4,4,5,ec,7,negative,P   A   N   D,maske_2.bmp,maske_1.bmp,3300.bmp,0.069,F   L   O   R,P   A   N   S,P   A   N   D,F   R   O   L,no,yes,no,no,
4,4,6,ec,8,positive,F   O   R   B,maske_2.bmp,maske_1.bmp,1440.bmp,0.069,F   R   O   L,P   A   N   D,S   P   A   W,F   O   R   B,no,no,no,yes,
4,4,7,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,5629.bmp,0.5,T   E   H   V,H   Y   V   Z,K   I   G   M,G   M   U   X,no,no,yes,no,
4,4,8,ec,1,positive,B   O   R   L,maske_1.bmp,maske_2.bmp,8200.bmp,0.069,B   O   R   L,S   N   A   W,D   W   A   P,F   O   R   B,yes,no,no,no,
4,4,9,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9404.bmp,0.5,K   I   G   M,H   Y   V   Z,T   E   H   V,G   M   U   X,no,yes,no,no,
4,4,10,ec,1,negative,S   N   A   W,maske_2.bmp,maske_1.bmp,7380.bmp,0.069,F   R   O   L,D   W   A   P,S   N   A   W,J   O   R   F,no,yes,no,no,
4,4,11,ec,6,negative,P   A   N   S,maske_2.bmp,maske_1.bmp,9432.bmp,0.069,B   R   O   F,P   A   N   S,B   O   L   F,W   A   D   S,no,no,no,yes,
4,4,12,ec,2,negative,W   A   D   S,maske_2.bmp,maske_1.bmp,9265.bmp,0.069,W   A   D   S,J   O   R   F,J   O   R   B,S   N   A   W,no,no,no,yes,
4,4,13,ec,3,positive,J   O   R   F,maske_2.bmp,maske_1.bmp,8470.bmp,0.069,J   O   R   F,W   A   N   S,F   L   O   R,D   W   A   P,no,yes,no,no,
4,4,14,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,7580.bmp,0.5,G   M   U   X,H   Y   V   Z,K   I   G   M,T   E   H   V,yes,no,no,no,
4,4,15,ec,2,positive,J   O   R   B,maske_2.bmp,maske_1.bmp,2209.bmp,0.069,B   R   O   F,J   O   R   B,W   A   D   S,W   A   N   S,no,no,yes,no,
4,4,16,ec,5,negative,S   W   A   P,maske_2.bmp,maske_1.bmp,9041.bmp,0.069,F   O   R   B,B   O   R   L,S   P   A   W,S   W   A   P,no,no,no,yes,
4,4,17,ec,7,positive,B   R   O   F,maske_1.bmp,maske_2.bmp,2040.bmp,0.069,B   R   O   F,B   O   L   F,P   A   N   D,S   W   A   P,yes,no,no,no,
4,4,18,ec,6,positive,F   R   O   L,maske_1.bmp,maske_2.bmp,2058.bmp,0.069,F   R   O   L,J   O   R   F,P   A   N   S,S   N   A   W,no,yes,no,no,
4,4,19,ec,5,positive,F   L   O   R,maske_2.bmp,maske_1.bmp,7502.bmp,0.069,S   W   A   P,B   O   R   L,F   L   O   R,P   A   N   S,no,yes,no,no,
4,4,20,ec,8,negative,W   A   N   S,maske_1.bmp,maske_2.bmp,3160.bmp,0.069,B   O   L   F,P   A   N   D,F   O   R   B,W   A   N   S,no,yes,no,no,
4,5,1,ec,5,positive,F   L   O   R,maske_2.bmp,maske_1.bmp,2550.bmp,0.069,P   A   N   D,F   L   O   R,D   W   A   P,F   O   R   B,no,no,no,yes,
4,5,2,ec,7,negative,P   A   N   D,maske_1.bmp,maske_2.bmp,9561.bmp,0.069,F   O   R   B,B   R   O   F,P   A   N   D,S   P   A   W,yes,no,no,no,
4,5,3,ec,5,negative,S   W   A   P,maske_1.bmp,maske_2.bmp,9182.bmp,0.069,P   A   N   S,S   W   A   P,F   L   O   R,F   R   O   L,no,yes,no,no,
4,5,4,ec,8,negative,W   A   N   S,maske_1.bmp,maske_2.bmp,9435.bmp,0.069,W   A   N   S,F   R   O   L,D   W   A   P,J   O   R   B,yes,no,no,no,
4,5,5,ec,2,positive,J   O   R   B,maske_2.bmp,maske_1.bmp,2091.bmp,0.069,S   P   A   W,B   O   L   F,D   W   A   P,J   O   R   B,no,no,yes,no,
4,5,6,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,1463.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,no,yes,no,no,
4,5,7,ec,1,positive,B   O   R   L,maske_2.bmp,maske_1.bmp,1999.bmp,0.069,F   L   O   R,W   A   N   S,B   O   R   L,S   N   A   W,no,yes,no,no,
4,5,8,ec,8,positive,F   O   R   B,maske_2.bmp,maske_1.bmp,2050.bmp,0.069,F   R   O   L,F   O   R   B,W   A   N   S,S   P   A   W,yes,no,no,no,
4,5,9,ec,4,negative,S   P   A   W,maske_2.bmp,maske_1.bmp,6530.bmp,0.069,F   L   O   R,W   A   N   S,S   P   A   W,J   O   R   F,no,no,yes,no,
4,5,10,ec,4,positive,B   O   L   F,maske_1.bmp,maske_2.bmp,8496.bmp,0.069,B   O   L   F,P   A   N   S,W   A   D   S,B   O   R   L,no,no,no,yes,
4,5,11,ec,2,negative,W   A   D   S,maske_1.bmp,maske_2.bmp,3160.bmp,0.069,F   O   R   B,J   O   R   F,P   A   N   D,W   A   D   S,no,yes,no,no,
4,5,12,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,5831.bmp,0.5,K   I   G   M,G   M   U   X,H   Y   V   Z,T   E   H   V,yes,no,no,no,
4,5,13,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.5,G   M   U   X,K   I   G   M,T   E   H   V,H   Y   V   Z,no,no,no,yes,
4,5,14,ec,6,positive,F   R   O   L,maske_2.bmp,maske_1.bmp,2209.bmp,0.069,J   O   R   F,P   A   N   S,F   R   O   L,W   A   D   S,no,no,yes,no,
4,5,15,ec,1,negative,S   N   A   W,maske_1.bmp,maske_2.bmp,9340.bmp,0.069,J   O   R   B,S   W   A   P,B   O   L   F,S   N   A   W,yes,no,no,no,
4,5,16,ec,7,positive,B   R   O   F,maske_2.bmp,maske_1.bmp,8190.bmp,0.069,B   R   O   F,P   A   N   D,S   W   A   P,J   O   R   B,no,no,no,yes,
4,5,17,ec,3,positive,J   O   R   F,maske_2.bmp,maske_1.bmp,8370.bmp,0.069,S   N   A   W,B   R   O   F,J   O   R   F,S   W   A   P,no,no,yes,no,
4,5,18,ec,3,negative,D   W   A   P,maske_1.bmp,maske_2.bmp,6831.bmp,0.069,B   O   R   L,B   O   L   F,D   W   A   P,S   N   A   W,yes,no,no,no,
4,5,19,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,3220.bmp,0.5,K   I   G   M,T   E   H   V,G   M   U   X,H   Y   V   Z,no,yes,no,no,
4,5,20,ec,6,negative,P   A   N   S,maske_1.bmp,maske_2.bmp,2900.bmp,0.069,W   A   D   S,B   O   R   L,B   R   O   F,P   A   N   S,no,yes,no,no,
4,6,1,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,2750.bmp,0.5,H   Y   V   Z,K   I   G   M,T   E   H   V,G   M   U   X,no,no,yes,no,
4,6,2,ec,5,negative,S   W   A   P,maske_2.bmp,maske_1.bmp,9007.bmp,0.069,J   O   R   B,S   W   A   P,W   A   D   S,F   L   O   R,no,no,no,yes,
4,6,3,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,6555.bmp,0.5,G   M   U   X,K   I   G   M,T   E   H   V,H   Y   V   Z,no,no,no,yes,
4,6,4,ec,4,positive,B   O   L   F,maske_1.bmp,maske_2.bmp,7580.bmp,0.069,F   R   O   L,P   A   N   D,B   O   L   F,D   W   A   P,no,yes,no,no,
4,6,5,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,7230.bmp,0.5,H   Y   V   Z,T   E   H   V,G   M   U   X,K   I   G   M,no,no,no,yes,
4,6,6,ec,5,positive,F   L   O   R,maske_1.bmp,maske_2.bmp,4606.bmp,0.069,P   A   N   S,J   O   R   F,W   A   D   S,F   L   O   R,no,no,no,yes,
4,6,7,ec,2,negative,W   A   D   S,maske_2.bmp,maske_1.bmp,9220.bmp,0.069,F   R   O   L,J   O   R   F,W   A   D   S,W   A   N   S,no,yes,no,no,
4,6,8,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,5994.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,no,yes,no,no,
4,6,9,ec,2,positive,J   O   R   B,maske_1.bmp,maske_2.bmp,1710.bmp,0.069,J   O   R   B,P   A   N   S,P   A   N   D,B   R   O   F,yes,no,no,no,
4,6,10,ec,1,positive,B   O   R   L,maske_1.bmp,maske_2.bmp,2550.bmp,0.069,F   O   R   B,W   A   D   S,B   O   R   L,W   A   N   S,no,no,yes,no,
4,6,11,ec,6,negative,P   A   N   S,maske_1.bmp,maske_2.bmp,9561.bmp,0.069,B   O   L   F,P   A   N   S,P   A   N   D,F   R   O   L,no,no,no,yes,
4,6,12,ec,8,negative,W   A   N   S,maske_1.bmp,maske_2.bmp,9430.bmp,0.069,W   A   N   S,F   O   R   B,S   W   A   P,B   O   R   L,no,yes,no,no,
4,6,13,ec,7,negative,P   A   N   D,maske_2.bmp,maske_1.bmp,9500.bmp,0.069,J   O   R   F,P   A   N   D,S   P   A   W,F   O   R   B,no,yes,no,no,
4,6,14,ec,1,negative,S   N   A   W,maske_2.bmp,maske_1.bmp,9830.bmp,0.069,J   O   R   B,P   A   N   S,B   R   O   F,S   N   A   W,no,no,no,yes,
4,6,15,ec,4,negative,S   P   A   W,maske_2.bmp,maske_1.bmp,9432.bmp,0.069,F   L   O   R,D   W   A   P,B   O   L   F,S   P   A   W,yes,no,no,no,
4,6,16,ec,7,positive,B   R   O   F,maske_2.bmp,maske_1.bmp,2208.bmp,0.069,S   P   A   W,F   L   O   R,B   R   O   F,S   N   A   W,no,yes,no,no,
4,6,17,ec,3,positive,J   O   R   F,maske_1.bmp,maske_2.bmp,7502.bmp,0.069,J   O   R   F,D   W   A   P,S   W   A   P,B   O   L   F,yes,no,no,no,
4,6,18,ec,6,positive,F   R   O   L,maske_1.bmp,maske_2.bmp,2160.bmp,0.069,F   R   O   L,S   N   A   W,S   W   A   P,B   O   R   L,no,no,no,yes,
4,6,19,ec,8,positive,F   O   R   B,maske_2.bmp,maske_1.bmp,8080.bmp,0.069,W   A   N   S,S   P   A   W,F   O   R   B,J   O   R   B,no,no,no,yes,
4,6,20,ec,3,negative,D   W   A   P,maske_2.bmp,maske_1.bmp,6831.bmp,0.069,D   W   A   P,B   R   O   F,B   O   R   L,S   N   A   W,no,no,yes,no,
4,7,1,ec,6,positive,F   R   O   L,maske_2.bmp,maske_1.bmp,4606.bmp,0.069,S   P   A   W,W   A   D   S,F   R   O   L,B   O   R   L,no,no,no,yes,
4,7,2,ec,7,negative,P   A   N   D,maske_2.bmp,maske_1.bmp,9340.bmp,0.069,D   W   A   P,B   R   O   F,B   O   R   L,P   A   N   D,no,no,yes,no,
4,7,3,ec,8,positive,F   O   R   B,maske_1.bmp,maske_2.bmp,7502.bmp,0.069,F   L   O   R,F   O   R   B,S   W   A   P,W   A   D   S,yes,no,no,no,
4,7,4,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,6242.bmp,0.5,G   M   U   X,T   E   H   V,H   Y   V   Z,K   I   G   M,no,no,yes,no,
4,7,5,ec,5,negative,S   W   A   P,maske_1.bmp,maske_2.bmp,9421.bmp,0.069,F   R   O   L,S   W   A   P,B   O   R   L,P   A   N   S,no,yes,no,no,
4,7,6,ec,2,positive,J   O   R   B,maske_2.bmp,maske_1.bmp,5910.bmp,0.069,P   A   N   S,B   O   L   F,J   O   R   B,D   W   A   P,yes,no,no,no,
4,7,7,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,8330.bmp,0.5,K   I   G   M,H   Y   V   Z,T   E   H   V,G   M   U   X,yes,no,no,no,
4,7,8,ec,1,positive,B   O   R   L,maske_1.bmp,maske_2.bmp,8470.bmp,0.069,S   N   A   W,B   O   R   L,P   A   N   D,F   R   O   L,no,no,yes,no,
4,7,9,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9182.bmp,0.5,T   E   H   V,K   I   G   M,G   M   U   X,H   Y   V   Z,yes,no,no,no,
4,7,10,ec,8,negative,W   A   N   S,maske_1.bmp,maske_2.bmp,2053.bmp,0.069,W   A   N   S,S   N   A   W,F   O   R   B,J   O   R   F,no,yes,no,no,
4,7,11,ec,6,negative,P   A   N   S,maske_2.bmp,maske_1.bmp,9330.bmp,0.069,P   A   N   S,W   A   D   S,F   O   R   B,F   L   O   R,no,no,no,yes,
4,7,12,ec,4,negative,S   P   A   W,maske_2.bmp,maske_1.bmp,9630.bmp,0.069,S   W   A   P,J   O   R   F,J   O   R   B,S   P   A   W,yes,no,no,no,
4,7,13,ec,2,negative,W   A   D   S,maske_1.bmp,maske_2.bmp,1525.bmp,0.069,F   L   O   R,W   A   D   S,P   A   N   D,F   R   O   L,no,yes,no,no,
4,7,14,ec,5,positive,F   L   O   R,maske_1.bmp,maske_2.bmp,8080.bmp,0.069,F   L   O   R,J   O   R   F,W   A   N   S,P   A   N   S,no,no,yes,no,
4,7,15,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,2058.bmp,0.5,G   M   U   X,T   E   H   V,H   Y   V   Z,K   I   G   M,yes,no,no,no,
4,7,16,ec,3,positive,J   O   R   F,maske_2.bmp,maske_1.bmp,8190.bmp,0.069,D   W   A   P,F   O   R   B,W   A   N   S,J   O   R   F,no,no,yes,no,
4,7,17,ec,7,positive,B   R   O   F,maske_1.bmp,maske_2.bmp,2209.bmp,0.069,S   W   A   P,P   A   N   D,J   O   R   B,B   R   O   F,no,no,yes,no,
