subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6
4,ec,2,positive,9,J   O   R   B
4,ec,8,negative,7,W   A   N   S
4,ec,2,negative,10,W   A   D   S
4,ec_control,1,positive,6,G   M   U   X
4,ec_control,1,negative,7,T   E   H   V
4,gen,4,negative,12,S   N   A   D
4,gen_control,3,negative,6,T   V   Y   Z
4,ec,7,positive,9,B   R   O   F
4,ec,4,positive,10,B   O   L   F
4,ec,4,negative,10,S   P   A   W
4,gen_control,2,positive,6,M   U   G   X
4,gen_control,4,positive,7,G   I   K   M
4,ec,6,negative,13,P   A   N   S
4,gen,2,negative,14,P   A   W   S
4,ec_control,2,positive,11,K   I   G   M
4,ec,8,positive,10,F   O   R   B
4,gen_control,2,negative,10,Z   E   V   T
4,gen,4,positive,10,B   R   O   L
4,gen,6,positive,10,L   O   R   B
4,ec,7,negative,12,P   A   N   D
4,gen,6,negative,12,D   A   N   S
4,ec,1,positive,10,B   O   R   L
4,ec,6,positive,10,F   R   O   L
4,gen,7,positive,5,L   O   B   F
4,ec,3,positive,9,J   O   R   F
4,gen,3,positive,10,B   O   R   F
4,ec_control,2,negative,4,H   Y   V   Z
4,gen,1,positive,10,B   L   O   R
4,gen_control,1,positive,7,K   U   M   X
4,ec,1,negative,10,S   N   A   W
4,ec,5,negative,10,S   W   A   P
4,ec,5,positive,10,F   L   O   R
4,gen,7,negative,9,S   W   A   D
4,gen,1,negative,9,W   A   P   S
4,gen,8,positive,10,J   O   L   F
4,gen_control,3,positive,8,K   M   I   X
4,gen,5,negative,9,D   A   P   S
4,gen,8,negative,9,N   A   P   S
4,gen,5,positive,10,F   R   O   B
4,gen,2,positive,10,B   L   O   F
4,gen_control,1,negative,9,V   E   H   T
4,ec,3,negative,9,D   W   A   P
4,gen,3,negative,6,S   P   A   D
4,gen_control,4,negative,4,H   Y   T   V
4,1,1,ec,3,negative,D   W   A   P,maske_2.bmp,maske_1.bmp,9041.bmp,0.069,P   A   N   S,D   W   A   P,J   O   R   B,J   O   R   F,no,yes,no,no,
4,1,2,ec,7,positive,B   R   O   F,maske_2.bmp,maske_1.bmp,2057.bmp,0.069,B   R   O   F,P   A   N   S,J   O   R   B,W   A   D   S,no,no,yes,no,
4,1,3,ec,5,positive,F   L   O   R,maske_1.bmp,maske_2.bmp,8190.bmp,0.069,S   N   A   W,B   O   L   F,D   W   A   P,F   L   O   R,no,yes,no,no,
4,1,4,ec,2,negative,W   A   D   S,maske_2.bmp,maske_1.bmp,2053.bmp,0.069,W   A   D   S,F   O   R   B,J   O   R   B,W   A   N   S,no,yes,no,no,
4,1,5,ec,5,negative,S   W   A   P,maske_1.bmp,maske_2.bmp,9280.bmp,0.069,B   O   R   L,S   W   A   P,W   A   D   S,B   R   O   F,no,no,yes,no,
4,1,6,ec,7,negative,P   A   N   D,maske_2.bmp,maske_1.bmp,6530.bmp,0.069,D   W   A   P,F   O   R   B,F   R   O   L,P   A   N   D,yes,no,no,no,
4,1,7,ec,8,negative,W   A   N   S,maske_2.bmp,maske_1.bmp,9220.bmp,0.069,P   A   N   D,W   A   N   S,F   R   O   L,F   L   O   R,no,yes,no,no,
4,1,8,ec,6,negative,P   A   N   S,maske_1.bmp,maske_2.bmp,1525.bmp,0.069,B   O   R   L,S   W   A   P,B   O   L   F,P   A   N   S,yes,no,no,no,
4,1,9,ec,1,negative,S   N   A   W,maske_2.bmp,maske_1.bmp,9180.bmp,0.069,F   L   O   R,S   P   A   W,S   N   A   W,B   O   L   F,no,yes,no,no,
4,1,10,ec,4,positive,B   O   L   F,maske_1.bmp,maske_2.bmp,2040.bmp,0.069,P   A   N   D,F   O   R   B,B   O   L   F,W   A   N   S,no,yes,no,no,
4,1,11,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,2340.bmp,0.5,H   Y   V   Z,K   I   G   M,T   E   H   V,G   M   U   X,no,no,no,yes,
4,1,12,ec,4,negative,S   P   A   W,maske_1.bmp,maske_2.bmp,9421.bmp,0.069,S   P   A   W,S   N   A   W,B   R   O   F,J   O   R   F,no,yes,no,no,
4,1,13,ec,1,positive,B   O   R   L,maske_2.bmp,maske_1.bmp,8540.bmp,0.069,D   W   A   P,B   O   R   L,W   A   D   S,F   L   O   R,no,no,no,yes,
4,1,14,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,2050.bmp,0.5,T   E   H   V,G   M   U   X,K   I   G   M,H   Y   V   Z,no,no,yes,no,
4,1,15,ec,8,positive,F   O   R   B,maske_1.bmp,maske_2.bmp,2208.bmp,0.069,S   W   A   P,F   O   R   B,S   P   A   W,F   R   O   L,no,no,no,yes,
4,1,16,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,3300.bmp,0.5,T   E   H   V,K   I   G   M,H   Y   V   Z,G   M   U   X,no,no,yes,no,
4,1,17,ec,3,positive,J   O   R   F,maske_1.bmp,maske_2.bmp,7350.bmp,0.069,J   O   R   F,S   W   A   P,B   O   R   L,S   N   A   W,no,yes,no,no,
4,1,18,ec,6,positive,F   R   O   L,maske_1.bmp,maske_2.bmp,4220.bmp,0.069,F   R   O   L,P   A   N   S,J   O   R   F,S   P   A   W,no,no,yes,no,
4,1,19,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9331.bmp,0.5,G   M   U   X,H   Y   V   Z,K   I   G   M,T   E   H   V,no,no,no,yes,
4,1,20,ec,2,positive,J   O   R   B,maske_1.bmp,maske_2.bmp,2080.bmp,0.069,P   A   N   D,J   O   R   B,W   A   N   S,B   R   O   F,yes,no,no,no,
4,2,1,ec,6,positive,F   R   O   L,maske_1.bmp,maske_2.bmp,1440.bmp,0.069,W   A   D   S,W   A   N   S,F   O   R   B,F   R   O   L,no,no,yes,no,
4,2,2,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,1710.bmp,0.5,G   M   U   X,T   E   H   V,H   Y   V   Z,K   I   G   M,no,no,no,yes,
4,2,3,ec,8,positive,F   O   R   B,maske_1.bmp,maske_2.bmp,4606.bmp,0.069,F   L   O   R,P   A   N   S,W   A   N   S,F   O   R   B,no,yes,no,no,
4,2,4,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9220.bmp,0.5,G   M   U   X,H   Y   V   Z,K   I   G   M,T   E   H   V,no,no,no,yes,
4,2,5,ec,7,positive,B   R   O   F,maske_2.bmp,maske_1.bmp,2040.bmp,0.069,S   P   A   W,W   A   D   S,B   R   O   F,F   R   O   L,no,no,yes,no,
4,2,6,ec,1,negative,S   N   A   W,maske_2.bmp,maske_1.bmp,9404.bmp,0.069,S   W   A   P,B   R   O   F,S   N   A   W,B   O   R   L,no,yes,no,no,
4,2,7,ec,6,negative,P   A   N   S,maske_2.bmp,maske_1.bmp,9102.bmp,0.069,P   A   N   S,W   A   N   S,B   O   L   F,B   O   R   L,yes,no,no,no,
4,2,8,ec,8,negative,W   A   N   S,maske_2.bmp,maske_1.bmp,9330.bmp,0.069,B   O   L   F,W   A   N   S,F   O   R   B,P   A   N   D,no,no,yes,no,
4,2,9,ec,4,positive,B   O   L   F,maske_2.bmp,maske_1.bmp,2160.bmp,0.069,B   O   L   F,B   R   O   F,S   P   A   W,S   W   A   P,no,yes,no,no,
