subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
2,2,7,ec,4,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9342.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,2,8,ec,5,negative,J   O   L   F,maske_1.bmp,maske_2.bmp,6311.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,2,9,ec,6,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,2071.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,2,10,ec,7,positive,W   A   D   S,maske_1.bmp,maske_2.bmp,1650.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,2,11,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2340.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,2,12,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,8330.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,2,13,ec,5,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,5994.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,2,14,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9280.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,2,15,ec,1,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,6020.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,2,16,ec,3,positive,S   P   A   D,maske_2.bmp,maske_1.bmp,8540.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,2,17,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9265.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,2,18,ec,3,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,9400.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,2,19,ec,4,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,2040.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,2,20,ec,7,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,6555.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,3,1,ec,7,positive,W   A   D   S,maske_2.bmp,maske_1.bmp,2311.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,2,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,8420.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,3,3,ec,4,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,5460.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,4,ec,2,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,2150.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,5,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9520.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,3,6,ec,6,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,9220.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,7,ec,3,negative,F   L   O   R,maske_2.bmp,maske_1.bmp,6530.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,8,ec,7,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,2750.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,9,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2058.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,3,10,ec,5,negative,J   O   L   F,maske_2.bmp,maske_1.bmp,2710.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,11,ec,2,negative,F   O   R   B,maske_1.bmp,maske_2.bmp,9182.bmp,0.083,no,no,yes,no,no,no,no,no,no
