subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
11,1,1,ec,1,negative,D   A   P   S,maske_1.bmp,maske_2.bmp,9007.bmp,0.095,no,yes,no,no,no,no,no,no,no
11,1,2,ec,3,positive,J   O   R   F,maske_1.bmp,maske_2.bmp,2150.bmp,0.095,no,yes,no,no,no,no,no,no,no
11,1,3,ec,2,negative,W   A   D   S,maske_2.bmp,maske_1.bmp,3220.bmp,0.095,no,yes,no,no,no,no,no,no,no
11,1,4,ec_control,2,positive,H   Y   V   Z,maske_1.bmp,maske_2.bmp,8330.bmp,0.5,no,no,no,no,no,yes,no,no,no
11,1,5,ec,4,positive,F   L   O   R,maske_2.bmp,maske_1.bmp,8080.bmp,0.095,yes,no,no,no,no,no,no,no,no
11,1,6,ec_control,1,negative,G   M   U   X,maske_1.bmp,maske_2.bmp,2750.bmp,0.5,no,no,no,no,no,yes,no,no,no
11,1,7,ec,6,negative,S   W   A   P,maske_1.bmp,maske_2.bmp,2141.bmp,0.095,yes,no,no,no,no,no,no,no,no
11,1,8,ec_control,1,positive,T   E   H   V,maske_2.bmp,maske_1.bmp,2071.bmp,0.5,yes,no,no,no,no,no,no,no,no
11,1,9,ec,7,negative,S   N   A   W,maske_1.bmp,maske_2.bmp,9404.bmp,0.095,no,yes,no,no,no,no,no,no,no
11,1,10,ec,5,positive,L   O   R   B,maske_1.bmp,maske_2.bmp,7230.bmp,0.095,no,yes,no,no,no,no,no,no,no
11,1,11,ec,2,positive,B   L   O   R,maske_1.bmp,maske_2.bmp,1463.bmp,0.095,no,yes,no,no,no,no,no,no,no
11,1,12,ec,1,positive,B   L   O   F,maske_2.bmp,maske_1.bmp,2080.bmp,0.095,yes,no,no,no,no,no,no,no,no
11,1,13,ec,4,negative,W   A   N   S,maske_2.bmp,maske_1.bmp,9430.bmp,0.095,no,yes,no,no,no,no,no,no,no
11,1,14,ec,8,negative,W   A   P   S,maske_1.bmp,maske_2.bmp,9342.bmp,0.095,no,yes,no,no,no,no,no,no,no
11,1,15,ec,5,negative,D   A   N   S,maske_1.bmp,maske_2.bmp,6831.bmp,0.095,yes,no,no,no,no,no,no,no,no
11,1,16,ec_control,2,negative,K   I   G   M,maske_1.bmp,maske_2.bmp,9500.bmp,0.5,no,no,no,no,no,yes,no,no,no
11,1,17,ec,6,positive,F   R   O   L,maske_1.bmp,maske_2.bmp,8540.bmp,0.095,no,yes,no,no,no,no,no,no,no
