subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
77,1,1,ec,8,negative,K   L   E   M,maske_1.bmp,maske_2.bmp,6020.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,2,ec,4,positive,D   N   U   G,maske_1.bmp,maske_2.bmp,2160.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,3,ec,1,negative,C   E   L   M,maske_2.bmp,maske_1.bmp,9404.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,4,ec,5,positive,N   U   G   Z,maske_1.bmp,maske_2.bmp,2900.2.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,5,ec,6,negative,M   E   C   H,maske_1.bmp,maske_2.bmp,9102.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,6,ec_control,1,negative,V   A   S   P,maske_1.bmp,maske_2.bmp,2375.1.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,1,7,ec,8,positive,Z   U   N   T,maske_2.bmp,maske_1.bmp,7330.bmp,0.084,no,no,no,no,no,yes,no,no,no
77,1,8,ec,2,positive,Z   U   N   G,maske_1.bmp,maske_2.bmp,4622.bmp,0.084,no,no,no,no,no,yes,no,no,no
77,1,9,ec_control,2,negative,P   Y   W   S,maske_2.bmp,maske_1.bmp,9630.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,1,10,ec,6,positive,G   U   N   D,maske_1.bmp,maske_2.bmp,7502.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,11,ec_control,1,positive,J   O   R   F,maske_2.bmp,maske_1.bmp,1463.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,1,12,ec,7,positive,G   U   N   T,maske_1.bmp,maske_2.bmp,2071.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,13,ec,3,positive,Z   U   N   D,maske_2.bmp,maske_1.bmp,5831.bmp,0.084,no,no,no,no,no,yes,no,no,no
77,1,14,ec,3,negative,M   E   H   K,maske_2.bmp,maske_1.bmp,3300.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,15,ec,5,negative,K   E   L   M,maske_1.bmp,maske_2.bmp,9830.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,16,ec_control,2,positive,F   R   I   B,maske_2.bmp,maske_1.bmp,4606.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,1,17,ec,1,positive,T   U   G   Z,maske_1.bmp,maske_2.bmp,8200.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,18,ec,7,negative,H   E   L   K,maske_1.bmp,maske_2.bmp,9920.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,19,ec,4,negative,C   H   E   L,maske_2.bmp,maske_1.bmp,3160.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,1,20,ec,2,negative,K   L   E   H,maske_2.bmp,maske_1.bmp,6311.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,2,1,ec_control,2,negative,P   Y   W   S,maske_1.bmp,maske_2.bmp,6242.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,2,2,ec,7,negative,H   E   L   K,maske_2.bmp,maske_1.bmp,2141.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,3,ec,8,negative,K   L   E   M,maske_2.bmp,maske_1.bmp,9182.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,4,ec,7,positive,G   U   N   T,maske_2.bmp,maske_1.bmp,7350.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,5,ec,6,positive,G   U   N   D,maske_2.bmp,maske_1.bmp,2050.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,6,ec_control,1,negative,V   A   S   P,maske_2.bmp,maske_1.bmp,6838.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,2,7,ec,8,positive,Z   U   N   T,maske_1.bmp,maske_2.bmp,2091.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,8,ec,3,negative,M   E   H   K,maske_1.bmp,maske_2.bmp,2710.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,9,ec,5,negative,K   E   L   M,maske_2.bmp,maske_1.bmp,1525.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,10,ec_control,1,positive,J   O   R   F,maske_1.bmp,maske_2.bmp,2340.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,2,11,ec,1,positive,T   U   G   Z,maske_2.bmp,maske_1.bmp,2208.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,12,ec,2,positive,Z   U   N   G,maske_2.bmp,maske_1.bmp,5460.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,13,ec,4,negative,C   H   E   L,maske_1.bmp,maske_2.bmp,2276.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,14,ec_control,2,positive,F   R   I   B,maske_1.bmp,maske_2.bmp,1650.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,2,15,ec,5,positive,N   U   G   Z,maske_2.bmp,maske_1.bmp,8370.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,16,ec,4,positive,D   N   U   G,maske_2.bmp,maske_1.bmp,8540.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,17,ec,3,positive,Z   U   N   D,maske_1.bmp,maske_2.bmp,8170.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,18,ec,6,negative,M   E   C   H,maske_2.bmp,maske_1.bmp,9331.bmp,0.08,no,yes,no,no,no,no,no,no,no
77,2,19,ec,1,negative,C   E   L   M,maske_1.bmp,maske_2.bmp,2900.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,2,20,ec,2,negative,K   L   E   H,maske_1.bmp,maske_2.bmp,9000.bmp,0.08,yes,no,no,no,no,no,no,no,no
77,3,1,ec_control,2,negative,P   Y   W   S,maske_1.bmp,maske_2.bmp,6831.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,3,2,ec,7,negative,H   E   L   K,maske_1.bmp,maske_2.bmp,9050.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,3,ec_control,1,negative,V   A   S   P,maske_2.bmp,maske_1.bmp,3220.bmp,0.5,no,no,no,no,no,yes,no,no,no
77,3,4,ec,5,positive,N   U   G   Z,maske_1.bmp,maske_2.bmp,5830.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,5,ec,7,positive,G   U   N   T,maske_2.bmp,maske_1.bmp,2550.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,6,ec,6,positive,G   U   N   D,maske_1.bmp,maske_2.bmp,4220.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,7,ec,8,positive,Z   U   N   T,maske_2.bmp,maske_1.bmp,2070.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,8,ec,2,negative,K   L   E   H,maske_1.bmp,maske_2.bmp,9435.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,9,ec,6,negative,M   E   C   H,maske_2.bmp,maske_1.bmp,9330.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,10,ec,4,positive,D   N   U   G,maske_2.bmp,maske_1.bmp,2057.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,11,ec,2,positive,Z   U   N   G,maske_2.bmp,maske_1.bmp,8190.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,12,ec_control,1,positive,J   O   R   F,maske_1.bmp,maske_2.bmp,8080.bmp,0.5,no,no,no,yes,no,no,no,no,no
77,3,13,ec,1,positive,T   U   G   Z,maske_1.bmp,maske_2.bmp,8470.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,14,ec,5,negative,K   E   L   M,maske_1.bmp,maske_2.bmp,9007.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,15,ec,8,negative,K   L   E   M,maske_1.bmp,maske_2.bmp,9265.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,16,ec,4,negative,C   H   E   L,maske_2.bmp,maske_1.bmp,9180.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,17,ec_control,2,positive,F   R   I   B,maske_2.bmp,maske_1.bmp,8330.bmp,0.5,no,no,no,no,yes,no,no,no,no
77,3,18,ec,3,negative,M   E   H   K,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.084,yes,no,no,no,no,no,no,no,no
77,3,19,ec,3,positive,Z   U   N   D,maske_1.bmp,maske_2.bmp,2660.bmp,0.084,yes,no,no,no,no,no,no,no,no
