subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
56,1,1,ec,4,negative,Z   U   N   D,maske_1.bmp,maske_2.bmp,2141.bmp,0.077,D   N   U   G,M   E   H   K,Z   U   N   D,C   E   L   M,yes,no,no,no,
56,1,2,ec,3,negative,G   N   U   D,maske_1.bmp,maske_2.bmp,9265.bmp,0.077,G   N   U   D,K   E   H   M,H   E   M   K,T   U   N   G,no,no,no,yes,
56,1,3,ec_control,2,negative,F   R   I   B,maske_2.bmp,maske_1.bmp,9041.bmp,0.5,P   Y   W   S,J   O   R   F,F   R   I   B,V   A   S   P,no,no,yes,no,
56,1,4,ec,4,positive,M   E   H   K,maske_1.bmp,maske_2.bmp,2209.bmp,0.077,Z   U   N   T,C   L   E   M,G   N   U   D,M   E   H   K,yes,no,no,no,
56,1,5,ec_control,1,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,6020.bmp,0.5,J   O   R   F,V   A   S   P,F   R   I   B,P   Y   W   S,yes,no,no,no,
56,1,6,ec,8,positive,C   L   E   K,maske_2.bmp,maske_1.bmp,8470.bmp,0.077,Z   U   N   T,G   U   N   T,C   L   E   K,C   E   L   M,no,yes,no,no,
56,1,7,ec,5,negative,T   U   N   G,maske_2.bmp,maske_1.bmp,6555.bmp,0.077,T   U   N   G,C   L   E   M,Z   U   N   D,C   E   L   M,no,no,yes,no,
56,1,8,ec,2,positive,K   E   C   H,maske_1.bmp,maske_2.bmp,2080.bmp,0.077,K   E   C   H,M   E   H   K,T   U   N   G,Z   U   N   D,yes,no,no,no,
56,1,9,ec,2,negative,Z   U   N   T,maske_2.bmp,maske_1.bmp,9404.bmp,0.077,H   E   M   K,Z   U   N   T,C   H   E   K,G   N   U   D,no,yes,no,no,
56,1,10,ec_control,2,positive,P   Y   W   S,maske_2.bmp,maske_1.bmp,2057.bmp,0.5,V   A   S   P,F   R   I   B,J   O   R   F,P   Y   W   S,no,no,no,yes,
56,1,11,ec,1,negative,D   N   U   G,maske_1.bmp,maske_2.bmp,9432.bmp,0.077,N   U   G   Z,C   L   E   K,K   E   C   H,D   N   U   G,yes,no,no,no,
56,1,12,ec,6,positive,C   H   E   K,maske_2.bmp,maske_1.bmp,7470.bmp,0.077,T   U   N   G,Z   U   N   D,K   E   H   M,C   H   E   K,no,yes,no,no,
56,1,13,ec_control,1,positive,V   A   S   P,maske_2.bmp,maske_1.bmp,2071.bmp,0.5,F   R   I   B,V   A   S   P,J   O   R   F,P   Y   W   S,no,yes,no,no,
56,1,14,ec,6,negative,N   U   G   Z,maske_2.bmp,maske_1.bmp,9400.bmp,0.077,N   U   G   Z,C   L   E   K,K   E   H   M,G   U   N   T,yes,no,no,no,
56,1,15,ec,1,positive,C   E   L   M,maske_1.bmp,maske_2.bmp,5594.bmp,0.077,K   E   C   H,N   U   G   Z,C   E   L   M,G   U   T   Z,yes,no,no,no,
56,1,16,ec,8,negative,G   U   N   T,maske_2.bmp,maske_1.bmp,9000.bmp,0.077,C   H   E   K,G   U   N   T,K   E   C   H,G   U   T   Z,no,no,no,yes,
56,1,17,ec,3,positive,C   L   E   M,maske_1.bmp,maske_2.bmp,4220.bmp,0.077,N   U   G   Z,D   N   U   G,C   L   E   M,C   H   E   K,no,yes,no,no,
56,1,18,ec,7,negative,G   U   T   Z,maske_2.bmp,maske_1.bmp,3300.bmp,0.077,G   U   T   Z,Z   U   N   T,M   E   H   K,C   L   E   M,no,no,yes,no,
56,1,19,ec,7,positive,K   E   H   M,maske_1.bmp,maske_2.bmp,8501.bmp,0.077,H   E   M   K,G   U   T   Z,K   E   H   M,D   N   U   G,yes,no,no,no,
56,1,20,ec,5,positive,H   E   M   K,maske_1.bmp,maske_2.bmp,8080.bmp,0.077,G   U   N   T,C   L   E   K,H   E   M   K,G   N   U   D,no,yes,no,no,
56,2,1,ec,5,negative,T   U   N   G,maske_1.bmp,maske_2.bmp,9404.bmp,0.077,N   U   G   Z,C   L   E   K,M   E   H   K,T   U   N   G,no,no,no,yes,
56,2,2,ec,2,positive,K   E   C   H,maske_1.bmp,maske_2.bmp,7470.bmp,0.077,K   E   H   M,G   U   T   Z,Z   U   N   D,K   E   C   H,yes,no,no,no,
56,2,3,ec,3,negative,G   N   U   D,maske_1.bmp,maske_2.bmp,2750.bmp,0.077,K   E   C   H,C   E   L   M,G   N   U   D,Z   U   N   D,no,yes,no,no,
56,2,4,ec,7,positive,K   E   H   M,maske_2.bmp,maske_1.bmp,8330.bmp,0.077,G   N   U   D,C   E   L   M,K   E   H   M,G   U   N   T,no,no,yes,no,
56,2,5,ec,5,positive,H   E   M   K,maske_1.bmp,maske_2.bmp,1440.bmp,0.077,T   U   N   G,M   E   H   K,G   N   U   D,H   E   M   K,no,no,yes,no,
56,2,6,ec,4,positive,M   E   H   K,maske_2.bmp,maske_1.bmp,2160.bmp,0.077,M   E   H   K,C   H   E   K,N   U   G   Z,G   U   T   Z,no,yes,no,no,
56,2,7,ec,6,negative,N   U   G   Z,maske_1.bmp,maske_2.bmp,9220.bmp,0.077,K   E   C   H,D   N   U   G,N   U   G   Z,H   E   M   K,yes,no,no,no,
56,2,8,ec,1,positive,C   E   L   M,maske_2.bmp,maske_1.bmp,2071.bmp,0.077,D   N   U   G,C   L   E   K,Z   U   N   D,C   E   L   M,no,no,no,yes,
56,2,9,ec_control,2,positive,P   Y   W   S,maske_1.bmp,maske_2.bmp,2057.bmp,0.5,V   A   S   P,F   R   I   B,J   O   R   F,P   Y   W   S,no,no,no,yes,
56,2,10,ec_control,2,negative,F   R   I   B,maske_2.bmp,maske_1.bmp,6242.bmp,0.5,J   O   R   F,F   R   I   B,P   Y   W   S,V   A   S   P,no,yes,no,no,
56,2,11,ec,3,positive,C   L   E   M,maske_2.bmp,maske_1.bmp,7350.bmp,0.077,H   E   M   K,T   U   N   G,Z   U   N   T,C   L   E   M,no,yes,no,no,
56,2,12,ec,4,negative,Z   U   N   D,maske_2.bmp,maske_1.bmp,6555.bmp,0.077,G   U   N   T,Z   U   N   D,C   L   E   M,C   E   L   M,yes,no,no,no,
