subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
52,1,1,ec,7,negative,S   N   A   W,maske_1.bmp,maske_2.bmp,2900.bmp,0.077,S   N   A   W,J   O   L   F,D   A   N   S,B   L   O   F,no,no,yes,no,
52,1,2,ec,8,positive,F   R   O   B,maske_2.bmp,maske_1.bmp,4606.bmp,0.077,B   O   R   F,S   N   A   D,D   A   P   S,F   R   O   B,no,no,no,yes,
52,1,3,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,6838.bmp,0.5,T   E   H   V,K   I   G   M,H   Y   V   Z,G   M   U   X,yes,no,no,no,
52,1,4,ec,2,negative,P   A   N   S,maske_2.bmp,maske_1.bmp,9007.bmp,0.077,N   A   P   S,B   O   L   F,F   R   O   B,P   A   N   S,no,no,yes,no,
52,1,5,ec,5,positive,B   O   L   F,maske_1.bmp,maske_2.bmp,1650.bmp,0.077,J   O   L   F,S   N   A   W,B   O   L   F,N   A   P   S,no,no,yes,no,
52,1,6,ec,4,positive,B   R   O   L,maske_2.bmp,maske_1.bmp,2071.bmp,0.077,B   O   L   F,P   A   W   S,B   R   O   L,W   A   D   S,no,no,yes,no,
52,1,7,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,8200.bmp,0.5,K   I   G   M,H   Y   V   Z,T   E   H   V,G   M   U   X,yes,no,no,no,
52,1,8,ec,6,positive,J   O   L   F,maske_1.bmp,maske_2.bmp,5830.bmp,0.077,D   A   N   S,J   O   L   F,L   O   B   F,D   A   P   S,no,yes,no,no,
52,1,9,ec,2,positive,B   O   R   F,maske_1.bmp,maske_2.bmp,2160.bmp,0.077,S   N   A   W,S   N   A   D,B   R   O   L,B   O   R   F,no,no,yes,no,
52,1,10,ec,1,positive,L   O   B   F,maske_1.bmp,maske_2.bmp,1710.bmp,0.077,F   O   R   B,P   A   N   S,P   A   W   S,L   O   B   F,yes,no,no,no,
52,1,11,ec,7,positive,B   L   O   F,maske_1.bmp,maske_2.bmp,5460.bmp,0.077,F   R   O   B,B   L   O   F,N   A   P   S,P   A   N   S,no,yes,no,no,
52,1,12,ec,3,positive,F   O   R   B,maske_2.bmp,maske_1.bmp,1999.bmp,0.077,W   A   D   S,F   O   R   B,D   A   N   S,B   L   O   F,no,yes,no,no,
52,1,13,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,2750.bmp,0.5,T   E   H   V,K   I   G   M,H   Y   V   Z,G   M   U   X,no,no,yes,no,
