subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
68,1,1,ec,3,negative,P   A   W   S,maske_2.bmp,maske_1.bmp,9182.bmp,0.107,J   O   L   F,F   L   O   R,N   A   P   S,P   A   W   S,no,no,no,yes,
68,1,2,ec,7,negative,S   P   A   D,maske_1.bmp,maske_2.bmp,9050.bmp,0.107,S   N   A   D,S   P   A   D,L   O   B   F,B   O   R   L,yes,no,no,no,
68,1,3,ec,5,negative,D   A   N   S,maske_1.bmp,maske_2.bmp,6311.bmp,0.107,B   O   L   F,F   R   O   L,D   A   N   S,W   A   P   S,no,no,yes,no,
68,1,4,ec,8,negative,S   P   A   W,maske_1.bmp,maske_2.bmp,9435.bmp,0.107,F   L   O   R,L   O   B   F,S   P   A   W,P   A   W   S,no,no,no,yes,
68,1,5,ec,6,positive,B   O   L   F,maske_1.bmp,maske_2.bmp,7350.bmp,0.107,D   A   N   S,N   A   P   S,B   O   R   L,B   O   L   F,no,no,no,yes,
68,1,6,ec,4,positive,F   L   O   R,maske_1.bmp,maske_2.bmp,8190.bmp,0.107,B   O   L   F,W   A   D   S,F   L   O   R,P   A   W   S,no,no,yes,no,
68,1,7,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,1463.bmp,0.5,H   Y   V   Z,T   E   H   V,G   M   U   X,K   I   G   M,no,no,no,yes,
68,1,8,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9404.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,yes,no,no,no,
68,1,9,ec,2,negative,W   A   D   S,maske_1.bmp,maske_2.bmp,9006.bmp,0.107,W   A   D   S,B   L   O   R,S   P   A   W,B   O   R   L,yes,no,no,no,
68,1,10,ec,6,negative,S   N   A   D,maske_2.bmp,maske_1.bmp,9630.bmp,0.107,S   P   A   D,B   O   L   F,S   N   A   D,B   L   O   F,no,no,yes,no,
68,1,11,ec,8,positive,J   O   L   F,maske_1.bmp,maske_2.bmp,2160.bmp,0.107,J   O   L   F,B   L   O   R,W   A   P   S,W   A   D   S,yes,no,no,no,
68,1,12,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,6242.bmp,0.5,H   Y   V   Z,K   I   G   M,G   M   U   X,T   E   H   V,yes,no,no,no,
68,1,13,ec,3,positive,B   L   O   F,maske_2.bmp,maske_1.bmp,2071.bmp,0.107,S   P   A   D,P   A   W   S,B   L   O   F,F   R   O   L,no,no,yes,no,
68,1,14,ec,2,positive,F   R   O   L,maske_1.bmp,maske_2.bmp,2660.bmp,0.107,F   R   O   L,S   P   A   W,L   O   B   F,W   A   P   S,yes,no,no,no,
68,1,15,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,2311.bmp,0.5,K   I   G   M,G   M   U   X,T   E   H   V,H   Y   V   Z,no,yes,no,no,
68,1,16,ec,1,positive,B   L   O   R,maske_2.bmp,maske_1.bmp,8170.bmp,0.107,S   P   A   D,J   O   L   F,S   N   A   D,B   L   O   R,no,no,no,yes,
68,1,17,ec,5,positive,L   O   B   F,maske_1.bmp,maske_2.bmp,8080.bmp,0.107,D   A   N   S,L   O   B   F,S   P   A   W,B   L   O   F,no,no,no,yes,
68,1,18,ec,1,negative,N   A   P   S,maske_1.bmp,maske_2.bmp,3160.bmp,0.107,F   R   O   L,J   O   L   F,N   A   P   S,D   A   N   S,no,no,yes,no,
68,1,19,ec,4,negative,W   A   P   S,maske_2.bmp,maske_1.bmp,9400.bmp,0.107,B   L   O   F,W   A   D   S,W   A   P   S,B   L   O   R,no,no,yes,no,
68,1,20,ec,7,positive,B   O   R   L,maske_2.bmp,maske_1.bmp,2208.bmp,0.107,B   O   R   L,N   A   P   S,S   N   A   D,F   L   O   R,no,no,no,yes,
68,2,1,ec,7,negative,S   P   A   D,maske_2.bmp,maske_1.bmp,9180.bmp,0.107,B   L   O   R,S   P   A   D,B   O   L   F,N   A   P   S,no,yes,no,no,
68,2,2,ec,8,negative,S   P   A   W,maske_1.bmp,maske_2.bmp,9007.bmp,0.107,P   A   W   S,B   O   R   L,S   P   A   W,F   R   O   L,no,no,yes,no,
68,2,3,ec,7,positive,B   O   R   L,maske_1.bmp,maske_2.bmp,2150.bmp,0.107,P   A   W   S,B   O   R   L,D   A   N   S,F   L   O   R,no,yes,no,no,
68,2,4,ec,5,negative,D   A   N   S,maske_2.bmp,maske_1.bmp,2750.bmp,0.107,B   O   L   F,D   A   N   S,W   A   P   S,J   O   L   F,no,yes,no,no,
68,2,5,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9500.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,yes,no,no,no,
68,2,6,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,1440.bmp,0.5,H   Y   V   Z,T   E   H   V,K   I   G   M,G   M   U   X,no,no,yes,no,
68,2,7,ec,6,positive,B   O   L   F,maske_1.bmp,maske_2.bmp,2040.bmp,0.107,B   L   O   F,B   O   L   F,S   P   A   D,N   A   P   S,no,yes,no,no,
68,2,8,ec,3,positive,B   L   O   F,maske_1.bmp,maske_2.bmp,5831.bmp,0.107,W   A   D   S,B   O   L   F,D   A   N   S,B   L   O   F,no,no,no,yes,
68,2,9,ec,8,positive,J   O   L   F,maske_1.bmp,maske_2.bmp,2311.bmp,0.107,J   O   L   F,S   P   A   D,F   R   O   L,P   A   W   S,yes,no,no,no,
68,2,10,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2550.bmp,0.5,G   M   U   X,H   Y   V   Z,T   E   H   V,K   I   G   M,yes,no,no,no,
68,2,11,ec,4,negative,W   A   P   S,maske_2.bmp,maske_1.bmp,6555.bmp,0.107,S   N   A   D,F   L   O   R,J   O   L   F,W   A   P   S,no,no,no,yes,
68,2,12,ec,1,positive,B   L   O   R,maske_2.bmp,maske_1.bmp,7502.bmp,0.107,B   O   R   L,N   A   P   S,B   L   O   R,W   A   D   S,no,no,yes,no,
68,2,13,ec,4,positive,F   L   O   R,maske_2.bmp,maske_1.bmp,7350.bmp,0.107,B   L   O   R,F   L   O   R,W   A   P   S,S   N   A   D,no,yes,no,no,
68,2,14,ec,2,positive,F   R   O   L,maske_1.bmp,maske_2.bmp,8496.bmp,0.107,F   R   O   L,S   P   A   W,L   O   B   F,W   A   P   S,yes,no,no,no,
68,2,15,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,2900.bmp,0.5,K   I   G   M,G   M   U   X,H   Y   V   Z,T   E   H   V,no,no,yes,no,
68,2,16,ec,5,positive,L   O   B   F,maske_1.bmp,maske_2.bmp,5910.bmp,0.107,S   N   A   D,S   P   A   W,J   O   L   F,L   O   B   F,no,no,no,yes,
68,2,17,ec,3,negative,P   A   W   S,maske_2.bmp,maske_1.bmp,2141.bmp,0.107,S   P   A   D,L   O   B   F,P   A   W   S,B   L   O   F,no,no,yes,no,
68,2,18,ec,2,negative,W   A   D   S,maske_2.bmp,maske_1.bmp,2375.1.bmp,0.107,F   R   O   L,S   P   A   W,B   O   R   L,W   A   D   S,no,no,no,yes,
68,2,19,ec,1,negative,N   A   P   S,maske_2.bmp,maske_1.bmp,9331.bmp,0.107,W   A   D   S,N   A   P   S,B   L   O   R,F   L   O   R,no,yes,no,no,
68,2,20,ec,6,negative,S   N   A   D,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.107,S   N   A   D,D   A   N   S,B   L   O   F,L   O   B   F,yes,no,no,no,
68,3,1,ec,6,negative,S   N   A   D,maske_1.bmp,maske_2.bmp,9435.bmp,0.107,P   A   W   S,B   O   L   F,B   L   O   R,S   N   A   D,no,no,no,yes,
68,3,2,ec,7,positive,B   O   R   L,maske_2.bmp,maske_1.bmp,2209.bmp,0.107,B   O   R   L,W   A   P   S,F   L   O   R,N   A   P   S,yes,no,no,no,
68,3,3,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,2053.bmp,0.5,G   M   U   X,K   I   G   M,T   E   H   V,H   Y   V   Z,no,no,yes,no,
68,3,4,ec,3,positive,B   L   O   F,maske_2.bmp,maske_1.bmp,5910.bmp,0.107,W   A   D   S,N   A   P   S,B   O   R   L,B   L   O   F,no,no,no,yes,
68,3,5,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,3160.bmp,0.5,K   I   G   M,H   Y   V   Z,G   M   U   X,T   E   H   V,no,yes,no,no,
68,3,6,ec,8,negative,S   P   A   W,maske_1.bmp,maske_2.bmp,9400.bmp,0.107,B   O   L   F,L   O   B   F,D   A   N   S,S   P   A   W,no,no,no,yes,
68,3,7,ec,7,negative,S   P   A   D,maske_2.bmp,maske_1.bmp,9920.bmp,0.107,W   A   P   S,J   O   L   F,L   O   B   F,S   P   A   D,no,no,no,yes,
68,3,8,ec,2,positive,F   R   O   L,maske_2.bmp,maske_1.bmp,1650.bmp,0.107,W   A   D   S,F   R   O   L,B   L   O   R,D   A   N   S,no,yes,no,no,
68,3,9,ec,4,positive,F   L   O   R,maske_1.bmp,maske_2.bmp,2208.bmp,0.107,S   P   A   D,S   P   A   W,F   L   O   R,B   O   L   F,no,no,yes,no,
