subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
42,1,1,ec,8,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,2070.bmp,0.062,D   W   A   P,P   A   N   S,F   L   O   R,F   R   O   B,no,yes,no,no,
42,1,2,ec,7,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9182.bmp,0.062,B   O   L   F,P   A   N   D,W   A   D   S,J   O   L   F,yes,no,no,no,
42,1,3,ec,3,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,9000.bmp,0.062,N   A   P   S,S   W   A   P,F   R   O   B,F   L   O   R,no,yes,no,no,
42,1,4,ec,5,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,9331.bmp,0.062,J   O   R   B,S   W   A   D,N   A   P   S,F   L   O   R,no,no,no,yes,
42,1,5,ec,7,positive,N   A   P   S,maske_2.bmp,maske_1.bmp,8470.bmp,0.062,S   W   A   P,N   A   P   S,B   L   O   F,J   O   L   F,no,no,yes,no,
42,1,6,ec,4,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,4622.bmp,0.062,P   A   N   D,F   R   O   B,J   O   R   B,S   W   A   D,no,no,no,yes,
42,1,7,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9342.bmp,0.062,F   R   O   L,B   L   O   F,S   W   A   P,D   W   A   P,yes,no,no,no,
42,1,8,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2040.bmp,0.5,K   I   G   M,T   E   H   V,G   M   U   X,H   Y   V   Z,no,no,yes,no,
42,1,9,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9920.bmp,0.5,T   E   H   V,K   I   G   M,H   Y   V   Z,G   M   U   X,yes,no,no,no,
42,1,10,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,7502.bmp,0.5,G   M   U   X,K   I   G   M,T   E   H   V,H   Y   V   Z,no,yes,no,no,
42,1,11,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,2053.bmp,0.5,K   I   G   M,T   E   H   V,H   Y   V   Z,G   M   U   X,no,no,yes,no,
42,1,12,ec,1,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,5460.bmp,0.062,J   O   R   B,W   A   D   S,B   L   O   R,S   W   A   D,no,no,no,yes,
42,1,13,ec,1,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,9041.bmp,0.062,P   A   N   S,P   A   N   D,F   R   O   L,B   L   O   R,no,no,yes,no,
42,1,14,ec,4,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,9280.bmp,0.062,B   O   L   F,J   O   R   B,D   W   A   P,S   W   A   D,no,yes,no,no,
42,1,15,ec,5,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,8370.bmp,0.062,S   W   A   P,B   L   O   R,B   L   O   F,D   W   A   P,no,no,yes,no,
42,1,16,ec,2,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,4220.bmp,0.062,B   O   L   F,P   A   N   S,F   R   O   L,N   A   P   S,yes,no,no,no,
42,1,17,ec,6,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,9432.bmp,0.062,P   A   N   S,B   L   O   F,B   L   O   R,P   A   W   S,yes,no,no,no,
42,1,18,ec,6,positive,W   A   D   S,maske_2.bmp,maske_1.bmp,5594.bmp,0.062,B   O   L   F,P   A   W   S,W   A   D   S,J   O   L   F,no,yes,no,no,
42,1,19,ec,3,positive,P   A   W   S,maske_1.bmp,maske_2.bmp,5629.bmp,0.062,P   A   N   D,F   R   O   L,P   A   W   S,F   L   O   R,no,no,yes,no,
42,1,20,ec,2,negative,J   O   L   F,maske_2.bmp,maske_1.bmp,9430.bmp,0.062,F   R   O   B,J   O   L   F,W   A   D   S,P   A   W   S,no,yes,no,no,
42,2,1,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,2209.bmp,0.5,H   Y   V   Z,K   I   G   M,G   M   U   X,T   E   H   V,no,yes,no,no,
42,2,2,ec,1,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,2750.bmp,0.062,B   L   O   R,B   O   L   F,S   W   A   D,N   A   P   S,yes,no,no,no,
42,2,3,ec,4,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,1440.bmp,0.062,B   L   O   R,J   O   R   B,P   A   N   D,P   A   W   S,no,no,yes,no,
42,2,4,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9041.bmp,0.5,T   E   H   V,K   I   G   M,G   M   U   X,H   Y   V   Z,no,no,no,yes,
42,2,5,ec,3,positive,P   A   W   S,maske_1.bmp,maske_2.bmp,8501.bmp,0.062,N   A   P   S,P   A   W   S,J   O   L   F,F   L   O   R,no,no,yes,no,
42,2,6,ec,5,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,2058.bmp,0.062,B   O   L   F,P   A   N   S,S   W   A   P,B   L   O   F,no,yes,no,no,
42,2,7,ec,4,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,2053.bmp,0.062,J   O   R   B,F   R   O   L,D   W   A   P,P   A   W   S,no,no,yes,no,
42,2,8,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,8080.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,no,yes,no,no,
42,2,9,ec,7,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,8200.bmp,0.062,S   W   A   P,N   A   P   S,F   R   O   L,B   L   O   F,no,no,no,yes,
42,2,10,ec,6,positive,W   A   D   S,maske_1.bmp,maske_2.bmp,5830.bmp,0.062,W   A   D   S,F   R   O   B,J   O   R   B,D   W   A   P,yes,no,no,no,
42,2,11,ec,8,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,8330.bmp,0.062,D   W   A   P,B   O   L   F,P   A   N   D,F   R   O   L,yes,no,no,no,
42,2,12,ec,6,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,9330.bmp,0.062,B   L   O   F,B   L   O   R,P   A   N   S,W   A   D   S,no,yes,no,no,
42,2,13,ec,2,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,7470.bmp,0.062,J   O   L   F,F   L   O   R,S   W   A   D,P   A   N   S,no,no,no,yes,
42,2,14,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9331.bmp,0.062,F   R   O   L,S   W   A   P,J   O   L   F,P   A   W   S,yes,no,no,no,
42,2,15,ec,1,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2208.bmp,0.062,S   W   A   D,F   R   O   B,B   L   O   R,W   A   D   S,yes,no,no,no,
42,2,16,ec,5,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,2710.bmp,0.062,F   L   O   R,P   A   N   D,F   R   O   B,N   A   P   S,no,no,yes,no,
42,2,17,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,3220.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,yes,no,no,no,
42,2,18,ec,3,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,9180.bmp,0.062,F   R   O   B,F   L   O   R,S   W   A   D,D   W   A   P,no,yes,no,no,
42,2,19,ec,7,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,9182.bmp,0.062,P   A   N   D,B   L   O   F,B   O   L   F,P   A   N   S,no,no,yes,no,
42,2,20,ec,2,negative,J   O   L   F,maske_1.bmp,maske_2.bmp,6242.bmp,0.062,W   A   D   S,J   O   R   B,J   O   L   F,S   W   A   P,no,no,yes,no,
42,3,1,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,2750.bmp,0.5,K   I   G   M,T   E   H   V,G   M   U   X,H   Y   V   Z,no,yes,no,no,
42,3,2,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9435.bmp,0.062,S   W   A   D,P   A   N   S,F   R   O   L,F   L   O   R,no,no,yes,no,
42,3,3,ec,2,negative,J   O   L   F,maske_2.bmp,maske_1.bmp,9432.bmp,0.062,N   A   P   S,B   L   O   F,D   W   A   P,J   O   L   F,no,no,no,yes,
42,3,4,ec,4,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,2040.bmp,0.062,F   L   O   R,F   R   O   B,S   W   A   P,P   A   N   D,no,no,no,yes,
42,3,5,ec,7,positive,N   A   P   S,maske_2.bmp,maske_1.bmp,5994.bmp,0.062,N   A   P   S,B   L   O   F,F   R   O   B,S   W   A   D,yes,no,no,no,
42,3,6,ec,2,positive,P   A   N   S,maske_1.bmp,maske_2.bmp,2080.bmp,0.062,P   A   W   S,P   A   N   S,F   L   O   R,J   O   R   B,no,yes,no,no,
42,3,7,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,2276.bmp,0.5,G   M   U   X,K   I   G   M,H   Y   V   Z,T   E   H   V,no,no,yes,no,
42,3,8,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,1710.bmp,0.5,G   M   U   X,K   I   G   M,T   E   H   V,H   Y   V   Z,yes,no,no,no,
42,3,9,ec,1,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,8501.bmp,0.062,J   O   R   B,S   W   A   D,B   O   L   F,D   W   A   P,no,yes,no,no,
42,3,10,ec,3,positive,P   A   W   S,maske_1.bmp,maske_2.bmp,1650.bmp,0.062,F   R   O   L,P   A   N   D,P   A   W   S,J   O   L   F,no,yes,no,no,
42,3,11,ec,5,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,2375.1.bmp,0.062,B   L   O   R,F   L   O   R,P   A   N   D,P   A   W   S,yes,no,no,no,
42,3,12,ec,6,positive,W   A   D   S,maske_2.bmp,maske_1.bmp,1440.bmp,0.062,P   A   N   S,W   A   D   S,B   L   O   F,B   L   O   R,no,yes,no,no,
42,3,13,ec,7,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,6555.bmp,0.062,W   A   D   S,B   O   L   F,S   W   A   P,F   R   O   B,no,no,no,yes,
42,3,14,ec,5,positive,S   W   A   P,maske_2.bmp,maske_1.bmp,4622.bmp,0.062,S   W   A   P,W   A   D   S,B   O   L   F,B   L   O   R,yes,no,no,no,
42,3,15,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,5910.bmp,0.5,K   I   G   M,H   Y   V   Z,G   M   U   X,T   E   H   V,yes,no,no,no,
42,3,16,ec,1,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,2710.bmp,0.062,B   L   O   R,N   A   P   S,J   O   L   F,W   A   D   S,yes,no,no,no,
42,3,17,ec,8,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,8496.bmp,0.062,D   W   A   P,N   A   P   S,F   R   O   L,J   O   L   F,yes,no,no,no,
42,3,18,ec,4,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,3160.bmp,0.062,D   W   A   P,S   W   A   P,B   O   L   F,J   O   R   B,no,no,no,yes,
42,3,19,ec,3,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,9041.bmp,0.062,F   R   O   L,F   R   O   B,P   A   N   D,P   A   W   S,no,yes,no,no,
42,3,20,ec,6,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,9280.bmp,0.062,B   L   O   F,P   A   N   S,J   O   R   B,S   W   A   D,yes,no,no,no,
42,4,1,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,3550.bmp,0.5,K   I   G   M,T   E   H   V,H   Y   V   Z,G   M   U   X,no,no,yes,no,
42,4,2,ec,1,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,3160.bmp,0.062,J   O   L   F,S   W   A   D,B   L   O   R,D   W   A   P,no,yes,no,no,
42,4,3,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,8470.bmp,0.5,H   Y   V   Z,T   E   H   V,G   M   U   X,K   I   G   M,no,no,yes,no,
42,4,4,ec,7,positive,N   A   P   S,maske_2.bmp,maske_1.bmp,2900.2.bmp,0.062,N   A   P   S,B   O   L   F,S   W   A   P,J   O   R   B,no,yes,no,no,
42,4,5,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,6570.1.bmp,0.5,H   Y   V   Z,T   E   H   V,G   M   U   X,K   I   G   M,no,yes,no,no,
42,4,6,ec,4,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,9220.bmp,0.062,B   L   O   R,J   O   R   B,P   A   N   S,N   A   P   S,no,no,yes,no,
42,4,7,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,2276.bmp,0.062,F   R   O   L,W   A   D   S,B   L   O   F,P   A   W   S,yes,no,no,no,
42,4,8,ec,7,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,6838.bmp,0.062,B   O   L   F,F   R   O   B,N   A   P   S,P   A   N   D,no,no,yes,no,
42,4,9,ec,8,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,5629.bmp,0.062,F   R   O   B,B   L   O   R,D   W   A   P,P   A   N   D,no,no,yes,no,
42,4,10,ec,5,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,2071.bmp,0.062,F   L   O   R,S   W   A   D,B   O   L   F,S   W   A   P,no,yes,no,no,
42,4,11,ec,2,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,2040.bmp,0.062,J   O   L   F,F   L   O   R,P   A   N   S,W   A   D   S,no,no,yes,no,
42,4,12,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,1650.bmp,0.5,G   M   U   X,H   Y   V   Z,K   I   G   M,T   E   H   V,no,no,yes,no,
42,4,13,ec,4,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,7580.bmp,0.062,P   A   W   S,P   A   N   D,J   O   L   F,F   R   O   L,no,yes,no,no,
42,4,14,ec,3,positive,P   A   W   S,maske_2.bmp,maske_1.bmp,7350.bmp,0.062,F   R   O   L,B   L   O   F,D   W   A   P,P   A   W   S,no,no,no,yes,
42,4,15,ec,6,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,6242.bmp,0.062,P   A   N   S,B   L   O   F,F   R   O   L,P   A   N   D,no,yes,no,no,
