subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
18,1,1,ec,1,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,9920.bmp,0.078,no,yes,no,no,no,no,no,no,no
18,1,2,ec,2,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,8485.bmp,0.078,no,no,yes,no,no,no,no,no,no
18,1,3,ec,1,positive,P   A   N   S,maske_1.bmp,maske_2.bmp,2900.2.bmp,0.078,no,no,yes,no,no,no,no,no,no
18,1,4,ec,4,negative,B   O   R   L,maske_1.bmp,maske_2.bmp,3220.bmp,0.078,no,yes,no,no,no,no,no,no,no
18,1,5,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,6242.bmp,0.5,no,no,no,no,no,yes,no,no,no
18,1,6,ec,8,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,9560.bmp,0.078,no,no,no,no,yes,no,no,no,no
18,1,7,ec,8,positive,P   A   W   S,maske_1.bmp,maske_2.bmp,5830.bmp,0.078,no,no,no,no,yes,no,no,no,no
18,1,8,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,7502.bmp,0.5,no,no,no,no,no,yes,no,no,no
18,1,9,ec,5,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,6831.bmp,0.078,no,no,no,no,yes,no,no,no,no
18,1,10,ec,7,negative,L   O   B   F,maske_2.bmp,maske_1.bmp,9102.bmp,0.078,no,no,no,yes,no,no,no,no,no
18,1,11,ec,2,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,8501.bmp,0.078,no,no,yes,no,no,no,no,no,no
18,1,12,ec,7,positive,W   A   P   S,maske_2.bmp,maske_1.bmp,8540.bmp,0.078,no,no,yes,no,no,no,no,no,no
18,1,13,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9342.bmp,0.5,no,no,no,no,no,yes,no,no,no
18,1,14,ec,3,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,5629.bmp,0.078,no,no,no,yes,no,no,no,no,no
18,1,15,ec,6,positive,D   A   P   S,maske_2.bmp,maske_1.bmp,2150.bmp,0.078,no,no,no,no,yes,no,no,no,no
18,1,16,ec,6,negative,J   O   L   F,maske_2.bmp,maske_1.bmp,6020.bmp,0.078,no,no,yes,no,no,no,no,no,no
18,1,17,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,4606.bmp,0.5,no,no,no,no,no,yes,no,no,no
18,1,18,ec,3,negative,B   R   O   L,maske_1.bmp,maske_2.bmp,2141.bmp,0.078,no,yes,no,no,no,no,no,no,no
18,1,19,ec,5,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,2791.bmp,0.078,no,yes,no,no,no,no,no,no,no
