subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
50,2,13,ec,2,negative,L   O   B   F,maske_2.bmp,maske_1.bmp,9265.bmp,0.098,W   A   P   S,N   A   P   S,F   R   O   L,L   O   B   F,no,no,no,yes,
50,2,14,ec,4,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,9920.bmp,0.098,S   N   A   D,N   A   P   S,F   R   O   B,L   O   B   F,no,no,yes,no,
50,2,15,ec,7,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,5629.bmp,0.098,N   A   P   S,B   L   O   F,B   O   R   F,S   P   A   W,yes,no,no,no,
50,2,16,ec,3,negative,B   O   R   F,maske_2.bmp,maske_1.bmp,9331.bmp,0.098,S   N   A   W,F   R   O   B,D   W   A   P,B   O   R   F,no,no,no,yes,
50,2,17,ec,6,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9340.bmp,0.098,D   W   A   P,B   R   O   F,B   O   L   F,S   N   A   D,no,no,yes,no,
50,2,18,ec,5,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,7502.bmp,0.098,F   R   O   B,S   W   A   D,L   O   B   F,D   W   A   P,no,yes,no,no,
50,2,19,ec,8,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,2550.bmp,0.098,B   R   O   F,S   N   A   W,J   O   R   F,W   A   P   S,no,no,no,yes,
50,2,20,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,4622.bmp,0.5,T   E   H   V,H   Y   V   Z,K   I   G   M,G   M   U   X,no,no,yes,no,
50,3,1,ec,3,negative,B   O   R   F,maske_1.bmp,maske_2.bmp,9102.bmp,0.098,F   R   O   L,B   O   R   F,D   W   A   P,S   N   A   D,no,yes,no,no,
50,3,2,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,7230.bmp,0.5,T   E   H   V,K   I   G   M,H   Y   V   Z,G   M   U   X,no,yes,no,no,
50,3,3,ec,5,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,8501.bmp,0.098,S   N   A   W,S   W   A   D,B   L   O   F,F   R   O   L,no,yes,no,no,
50,3,4,ec,6,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,2900.2.bmp,0.098,B   O   L   F,S   P   A   W,D   W   A   P,L   O   B   F,no,no,yes,no,
50,3,5,ec,6,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9404.bmp,0.098,B   R   O   F,S   N   A   W,B   O   L   F,S   W   A   D,no,no,yes,no,
50,3,6,ec,3,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,1440.bmp,0.098,S   W   A   P,F   R   O   B,W   A   P   S,B   O   R   F,yes,no,no,no,
50,3,7,ec,1,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,7580.bmp,0.098,S   N   A   W,B   O   R   F,F   R   O   B,S   N   A   D,yes,no,no,no,
