subject_nr,group_number,m_cond,material_order,assignment,material,half,us_valence,us_file,relation,eval_rating,trial_nr,time_rate_form,time_rate_delay
44,14,scr_sta_sta,G_first,1,G,1,pos,pos4.png,verursachen,64.4,0,66867,111240
44,14,scr_sta_sta,G_first,1,G,1,pos,pos6.png,verhindern,-68.8,1,113612,122649
44,14,scr_sta_sta,G_first,1,G,1,pos,pos3.png,verursachen,65.2,2,124988,129345
44,14,scr_sta_sta,G_first,1,G,1,neg,neg3.png,verhindern,63.6,3,131670,136625
44,14,scr_sta_sta,G_first,1,G,1,neg,neg5.png,verursachen,-79.2,4,138945,144408
44,14,scr_sta_sta,G_first,1,G,1,neg,neg2.png,verursachen,-36.8,5,146731,156121
44,14,scr_sta_sta,G_first,1,G,1,neg,neg1.png,verhindern,77.6,6,158445,163056
44,14,scr_sta_sta,G_first,1,G,1,pos,pos2.png,verhindern,-83.6,7,165384,169457
44,14,scr_sta_sta,G_first,1,G,1,neg,neg4.png,verursachen,-86,8,171771,176025
44,14,scr_sta_sta,G_first,1,G,1,neg,neg6.png,verhindern,82,9,178331,184337
44,14,scr_sta_sta,G_first,1,G,1,pos,pos1.png,verursachen,83.2,10,186661,191553
44,14,scr_sta_sta,G_first,1,G,1,pos,pos5.png,verhindern,-83.6,11,193870,196704
44,14,scr_sta_sta,G_first,1,G,2,pos,pos3.png,verhindern,-84,12,199021,202585
44,14,scr_sta_sta,G_first,1,G,2,neg,neg1.png,verursachen,-85.6,13,204908,207817
44,14,scr_sta_sta,G_first,1,G,2,pos,pos6.png,verursachen,80,14,210135,212897
44,14,scr_sta_sta,G_first,1,G,2,neg,neg3.png,verursachen,-86.8,15,215215,219225
44,14,scr_sta_sta,G_first,1,G,2,pos,pos2.png,verursachen,90,16,221541,224498
44,14,scr_sta_sta,G_first,1,G,2,neg,neg5.png,verhindern,80.8,17,226818,229722
44,14,scr_sta_sta,G_first,1,G,2,neg,neg4.png,verhindern,84.4,18,232046,234217
44,14,scr_sta_sta,G_first,1,G,2,pos,pos4.png,verhindern,-87.6,19,236550,238822
44,14,scr_sta_sta,G_first,1,G,2,pos,pos1.png,verhindern,-89.6,20,241145,242963
44,14,scr_sta_sta,G_first,1,G,2,neg,neg2.png,verhindern,50.8,21,245291,248472
44,14,scr_sta_sta,G_first,1,G,2,pos,pos5.png,verursachen,80.4,22,250792,252977
44,14,scr_sta_sta,G_first,1,G,2,neg,neg6.png,verursachen,-86.8,23,255297,257601
