subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
21,8,scr_end_end,M_first,1,M,negative,1bad15.wav,stoppt,100,startet,-100,0,52118,76484
21,8,scr_end_end,M_first,1,M,positive,1good15.wav,stoppt,-100,startet,100,1,95439,101506
