subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
22,6,scr_end_sta,G_first,2,M,negative,1bad15.wav,stoppt,-100,startet,-0.8,0,258712,270205
22,6,scr_end_sta,G_first,2,M,positive,1good15.wav,startet,72.4,stoppt,-71.6,1,289112,306309
