subject_nr,group_number,m_cond,material_order,assignment,material,half,us_valence,us_file,relation,eval_rating,trial_nr,time_rate_form,time_rate_delay
4,12,mel_sta_end,G_first,1,G,1,neg,neg4.png,verhindern,-56.8,0,37333,46019
4,12,mel_sta_end,G_first,1,G,1,pos,pos2.png,verhindern,86.4,1,48378,53923
4,12,mel_sta_end,G_first,1,G,1,neg,neg3.png,verursachen,-92.8,2,56265,62507
4,12,mel_sta_end,G_first,1,G,1,pos,pos3.png,verursachen,75.2,3,64830,70779
4,12,mel_sta_end,G_first,1,G,1,neg,neg6.png,verhindern,-87.6,4,73098,78516
4,12,mel_sta_end,G_first,1,G,1,pos,pos5.png,verursachen,71.2,5,80836,84955
4,12,mel_sta_end,G_first,1,G,1,neg,neg5.png,verursachen,-68.8,6,87275,89603
4,12,mel_sta_end,G_first,1,G,1,pos,pos6.png,verhindern,70.8,7,91911,93826
4,12,mel_sta_end,G_first,1,G,1,pos,pos1.png,verursachen,68,8,96136,98459
4,12,mel_sta_end,G_first,1,G,1,pos,pos4.png,verhindern,57.2,9,100785,102347
4,12,mel_sta_end,G_first,1,G,1,neg,neg2.png,verursachen,-66,10,104657,106259
4,12,mel_sta_end,G_first,1,G,1,neg,neg1.png,verhindern,-26.8,11,108574,112034
4,12,mel_sta_end,G_first,1,G,2,neg,neg4.png,verursachen,-73.6,12,114345,117251
4,12,mel_sta_end,G_first,1,G,2,neg,neg5.png,verhindern,-80.8,13,119558,121267
4,12,mel_sta_end,G_first,1,G,2,neg,neg3.png,verhindern,-78.4,14,123586,125235
4,12,mel_sta_end,G_first,1,G,2,pos,pos2.png,verursachen,84.4,15,127541,130186
4,12,mel_sta_end,G_first,1,G,2,pos,pos6.png,verursachen,55.6,16,132493,134331
4,12,mel_sta_end,G_first,1,G,2,pos,pos1.png,verhindern,54,17,136646,139363
4,12,mel_sta_end,G_first,1,G,2,neg,neg6.png,verursachen,-68.8,18,141665,143122
4,12,mel_sta_end,G_first,1,G,2,neg,neg1.png,verursachen,-50.4,19,145427,146482
4,12,mel_sta_end,G_first,1,G,2,pos,pos4.png,verursachen,62.8,20,148801,149981
4,12,mel_sta_end,G_first,1,G,2,pos,pos5.png,verhindern,77.6,21,152297,154211
4,12,mel_sta_end,G_first,1,G,2,pos,pos3.png,verhindern,63.2,22,156517,158187
4,12,mel_sta_end,G_first,1,G,2,neg,neg2.png,verhindern,-20.4,23,160496,162666
