subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
1,16,scr_sta_end,G_first,1,M,negative,1bad15.wav,startet,-94.8,stoppt,97.6,0,252204,272480
1,16,scr_sta_end,G_first,1,M,positive,1good15.wav,stoppt,82.8,startet,93.6,1,291395,304862
