subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
12,10,mel_sta_end,M_first,2,M,positive,1good15.wav,startet,36,stoppt,-11.2,0,55698,70462
12,10,mel_sta_end,M_first,2,M,negative,1bad15.wav,stoppt,100,startet,-100,1,89388,99894
