subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
64,7,mel_end_end,G_first,2,M,positive,1good15.wav,stoppt,0.4,startet,26,0,251179,263374
64,7,mel_end_end,G_first,2,M,negative,1bad15.wav,stoppt,100,startet,-100,1,282280,287862
