subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
32,15,mel_end_end,G_first,1,M,positive,1good15.wav,stoppt,-68.4,startet,70.8,0,228003,235381
32,15,mel_end_end,G_first,1,M,negative,1bad15.wav,stoppt,97.6,startet,-46.8,1,254293,258351
