subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
48,13,scr_end_end,G_first,2,M,negative,1bad15.wav,stoppt,100,startet,-99.6,0,245608,258271
48,13,scr_end_end,G_first,2,M,positive,1good15.wav,stoppt,-72.4,startet,71.2,1,277208,284551
