subject_nr,group_number,m_cond,material_order,assignment,material,half,us_valence,us_file,relation,eval_rating,trial_nr,time_rate_form,time_rate_delay
34,5,mel_end_end,G_first,1,G,1,neg,neg4.png,verhindern,100,0,66886,75372
34,5,mel_end_end,G_first,1,G,1,pos,pos4.png,verhindern,-100,1,77730,85182
34,5,mel_end_end,G_first,1,G,1,pos,pos6.png,verursachen,100,2,87507,92324
34,5,mel_end_end,G_first,1,G,1,pos,pos2.png,verhindern,-100,3,94648,98622
34,5,mel_end_end,G_first,1,G,1,neg,neg6.png,verursachen,-100,4,100942,103124
34,5,mel_end_end,G_first,1,G,1,pos,pos3.png,verhindern,100,5,105453,108756
34,5,mel_end_end,G_first,1,G,1,pos,pos1.png,verursachen,100,6,111072,113204
34,5,mel_end_end,G_first,1,G,1,neg,neg3.png,verhindern,100,7,115526,117950
34,5,mel_end_end,G_first,1,G,1,neg,neg5.png,verursachen,-100,8,120270,122748
34,5,mel_end_end,G_first,1,G,1,neg,neg1.png,verursachen,-100,9,125064,133220
34,5,mel_end_end,G_first,1,G,1,pos,pos5.png,verursachen,92.4,10,135540,141676
34,5,mel_end_end,G_first,1,G,1,neg,neg2.png,verhindern,70,11,144005,148972
34,5,mel_end_end,G_first,1,G,2,pos,pos4.png,verursachen,100,12,151304,155279
34,5,mel_end_end,G_first,1,G,2,neg,neg4.png,verursachen,-100,13,157611,160134
34,5,mel_end_end,G_first,1,G,2,neg,neg1.png,verhindern,62,14,162458,167501
34,5,mel_end_end,G_first,1,G,2,pos,pos2.png,verursachen,100,15,169825,174580
34,5,mel_end_end,G_first,1,G,2,neg,neg6.png,verhindern,100,16,176907,179909
34,5,mel_end_end,G_first,1,G,2,neg,neg2.png,verursachen,-59.6,17,182228,185035
34,5,mel_end_end,G_first,1,G,2,pos,pos1.png,verhindern,-96,18,187370,190020
34,5,mel_end_end,G_first,1,G,2,pos,pos6.png,verhindern,-100,19,192350,194429
34,5,mel_end_end,G_first,1,G,2,neg,neg5.png,verhindern,100,20,196760,200292
34,5,mel_end_end,G_first,1,G,2,neg,neg3.png,verursachen,-100,21,202614,204516
34,5,mel_end_end,G_first,1,G,2,pos,pos5.png,verhindern,-100,22,206837,208932
34,5,mel_end_end,G_first,1,G,2,pos,pos3.png,verursachen,100,23,211253,212732
