subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
17,12,scr_sta_sta,M_first,1,M,negative,1bad15.wav,startet,-66.4,stoppt,78,0,57609,74214
17,12,scr_sta_sta,M_first,1,M,positive,1good15.wav,startet,92,stoppt,-2,1,93189,103272
