subject_nr,group_number,m_cond,material_order,assignment,material,half,us_valence,us_file,relation,eval_rating,trial_nr,time_rate_form,time_rate_delay
6,8,mel_end_sta,G_first,2,G,1,pos,pos5.png,verursachen,30.8,0,59926,71126
6,8,mel_end_sta,G_first,2,G,1,neg,neg4.png,verursachen,-57.2,1,73487,78163
6,8,mel_end_sta,G_first,2,G,1,pos,pos3.png,verursachen,100,2,80502,83475
6,8,mel_end_sta,G_first,2,G,1,neg,neg6.png,verursachen,-98,3,85803,87611
6,8,mel_end_sta,G_first,2,G,1,neg,neg5.png,verhindern,61.6,4,89939,93164
6,8,mel_end_sta,G_first,2,G,1,pos,pos2.png,verhindern,1.2,5,95524,99966
6,8,mel_end_sta,G_first,2,G,1,pos,pos4.png,verhindern,19.2,6,102290,107034
6,8,mel_end_sta,G_first,2,G,1,pos,pos6.png,verhindern,-4,7,109366,113316
6,8,mel_end_sta,G_first,2,G,1,pos,pos1.png,verursachen,3.6,8,115650,121990
6,8,mel_end_sta,G_first,2,G,1,neg,neg1.png,verhindern,26.4,9,124320,129399
6,8,mel_end_sta,G_first,2,G,1,neg,neg2.png,verhindern,19.6,10,131728,134049
6,8,mel_end_sta,G_first,2,G,1,neg,neg3.png,verursachen,-66,11,136394,138070
6,8,mel_end_sta,G_first,2,G,2,pos,pos3.png,verhindern,-58.4,12,140381,144322
6,8,mel_end_sta,G_first,2,G,2,neg,neg5.png,verursachen,-65.2,13,146659,150105
6,8,mel_end_sta,G_first,2,G,2,pos,pos5.png,verhindern,-84.4,14,152437,155125
6,8,mel_end_sta,G_first,2,G,2,pos,pos2.png,verursachen,30.4,15,157447,161258
6,8,mel_end_sta,G_first,2,G,2,pos,pos6.png,verursachen,43.2,16,163594,165048
6,8,mel_end_sta,G_first,2,G,2,neg,neg3.png,verhindern,100,17,167381,169189
6,8,mel_end_sta,G_first,2,G,2,neg,neg1.png,verursachen,-96.8,18,171516,174992
6,8,mel_end_sta,G_first,2,G,2,pos,pos1.png,verhindern,-64,19,177320,179183
6,8,mel_end_sta,G_first,2,G,2,neg,neg2.png,verursachen,-84,20,181499,184093
6,8,mel_end_sta,G_first,2,G,2,neg,neg6.png,verhindern,100,21,186399,189134
6,8,mel_end_sta,G_first,2,G,2,neg,neg4.png,verhindern,100,22,191444,192680
6,8,mel_end_sta,G_first,2,G,2,pos,pos4.png,verursachen,80.8,23,195026,197934
