subject_nr,group_number,m_cond,material_order,assignment,material,us_valence,us_file,f_relation,f_eval_rating,s_relation,s_eval_rating,trial_nr,time_rate_form,time_rate_delay
55,6,scr_end_end,M_first,2,M,negative,1bad15.wav,stoppt,-84,startet,-100,0,38985,50527
55,6,scr_end_end,M_first,2,M,positive,1good15.wav,stoppt,2.4,startet,19.2,1,69495,90640
