Liste
Liste[i].wort, Liste[i].istwort,  Liste[i].istpositiv, uspositiv, istmaskiert
 dann 5x: Liste[i].us[j]
 dann: 3x Liste[i].liking[j]
  0   jaciyn   0  -1   0   0  13   4  14  19  10 -1  -1  -1
  1   botuyn   0  -1   0   0  22  15   5  21  20 -1  -1  -1
  2   schese   0  -1   0   0  17   0  16   9   1 -1  -1  -1
  3  larnist   0  -1   0   0  23  18  24  12   3 -1  -1  -1
  4    yosud   0  -1   0   0  11   2   7   6   8 -1  -1  -1
  5  sleshen   0  -1   0   0   8  22  17   7  10 -1  -1  -1
  6   hiwawa   0  -1   0   1   2  12  14  18   5 -1  -1  -1
  7  kiwehon   0  -1   0   1  19   0  11   3  13 -1  -1  -1
  8  permife   0  -1   0   1   6  23  15  24   9 -1  -1  -1
  9  pimuide   0  -1   0   1  20   1  16  21   4 -1  -1  -1
 10   nalber   0  -1   0   1   5   7   1  23  16 -1  -1  -1
 11  laumens   0  -1   0   1   2   4  10  21  12 -1  -1  -1
 12    tewok   0  -1   1   0   8   4   6   2  20 -1  -1  -1
 13  umeuken   0  -1   1   0  24  10  23  13  22 -1  -1  -1
 14  molkate   0  -1   1   0   3  18   7  14   9 -1  -1  -1
 15    medan   0  -1   1   0   5  17  15  19   1 -1  -1  -1
 16    frask   0  -1   1   0  12  16  21  11   0 -1  -1  -1
 17    botsy   0  -1   1   0   3   4   7   2  15 -1  -1  -1
 18   ubajec   0  -1   1   1  10   0  16  23  22 -1  -1  -1
 19    noste   0  -1   1   1  20  21   5  24  13 -1  -1  -1
 20   uwimor   0  -1   1   1  11   6   1  14  12 -1  -1  -1
 21  furasti   0  -1   1   1  17  18  19   9   8 -1  -1  -1
 22  hilejin   0  -1   1   1   1   8   5   0  17 -1  -1  -1
 23    obacu   0  -1   1   1  16  13  24  15  12 -1  -1  -1
 24     jazz   1   0   0   0  14  18   6   8   0 -1  -1  -1
 25     baby   1   0   0   0  19   9  11  22  15 -1  -1  -1
 26  hautnah   1   0   0   0   3  24  20  13  17 -1  -1  -1
 27     bach   1   0   0   1   1   2  19   5   3 -1  -1  -1
 28     tanz   1   0   0   1  15  16  22  14  12 -1  -1  -1
 29   ananas   1   0   0   1   6  11  13  23  24 -1  -1  -1
 30    sacht   1   0   1   0   9  22  18  10   3 -1  -1  -1
 31   schatz   1   0   1   0   2   7   4  21  11 -1  -1  -1
 32    jacht   1   0   1   0  19  14  20  23   6 -1  -1  -1
 33   hübsch   1   0   1   1   2  12   6   7  18 -1  -1  -1
 34    schön   1   0   1   1  13  14  17  20   4 -1  -1  -1
 35    sanft   1   0   1   1  24   8  10   0   9 -1  -1  -1
 36   gierig   1   1   0   0  21   9  17  18   7 -1  -1  -1
 37    krieg   1   1   0   0  10   4   0   8  20 -1  -1  -1
 38    kippe   1   1   0   0  15   2  20   5  12 -1  -1  -1
 39    groll   1   1   0   1  19  11  18   6   8 -1  -1  -1
 40   kerker   1   1   0   1  16  14   3  23  24 -1  -1  -1
 41  erreger   1   1   0   1   7   9  13   0  10 -1  -1  -1
 42     irre   1   1   1   0  15   3   5  19  21 -1  -1  -1
 43    droge   1   1   1   0  22  16  11  23   1 -1  -1  -1
 44     mord   1   1   1   0  18  22   3   0   6 -1  -1  -1
 45    viper   1   1   1   1   7   5  12  16  17 -1  -1  -1
 46    eklig   1   1   1   1  10   1  23  13  19 -1  -1  -1
 47  grimmig   1   1   1   1   4  11  20  21  24 -1  -1  -1
CSs
positiv, cs, Liste[positiv*5+cs].wort, fn
  0   0 jaciyn 
  0   1 botuyn 
  0   2 schese 
  0   3 larnist 
  0   4 yosud 
  1   0 sleshen 
  1   1 hiwawa 
  1   2 kiwehon 
  1   3 permife 
  1   4 pimuide 
US-Bilder
cs, Liste[cs].wort, istpositiv, usnr, Liste[cs].us[us], fn
  0 jaciyn   0   0  13 bild/neg (14)s (Large).bmp
  0 jaciyn   0   1   4 bild/neg (5)s (Large).bmp
  0 jaciyn   0   2  14 bild/neg (15)s (Large).bmp
  0 jaciyn   0   3  19 bild/neg (20)s (Large).bmp
  0 jaciyn   0   4  10 bild/neg (11)s (Large).bmp
  1 botuyn   0   0  22 bild/neg (23)s (Large).bmp
  1 botuyn   0   1  15 bild/neg (16)s (Large).bmp
  1 botuyn   0   2   5 bild/neg (6)s (Large).bmp
  1 botuyn   0   3  21 bild/neg (22)s (Large).bmp
  1 botuyn   0   4  20 bild/neg (21)s (Large).bmp
  2 schese   0   0  17 bild/neg (18)s (Large).bmp
  2 schese   0   1   0 bild/neg (1)s (Large).bmp
  2 schese   0   2  16 bild/neg (17)s (Large).bmp
  2 schese   0   3   9 bild/neg (10)s (Large).bmp
  2 schese   0   4   1 bild/neg (2)s (Large).bmp
  3 larnist   0   0  23 bild/neg (24)s (Large).bmp
  3 larnist   0   1  18 bild/neg (19)s (Large).bmp
  3 larnist   0   2  24 bild/neg (25)s (Large).bmp
  3 larnist   0   3  12 bild/neg (13)s (Large).bmp
  3 larnist   0   4   3 bild/neg (4)s (Large).bmp
  4 yosud   0   0  11 bild/neg (12)s (Large).bmp
  4 yosud   0   1   2 bild/neg (3)s (Large).bmp
  4 yosud   0   2   7 bild/neg (8)s (Large).bmp
  4 yosud   0   3   6 bild/neg (7)s (Large).bmp
  4 yosud   0   4   8 bild/neg (9)s (Large).bmp
  5 sleshen   0   0   8 bild/neg (9)s (Large).bmp
  5 sleshen   0   1  22 bild/neg (23)s (Large).bmp
  5 sleshen   0   2  17 bild/neg (18)s (Large).bmp
  5 sleshen   0   3   7 bild/neg (8)s (Large).bmp
  5 sleshen   0   4  10 bild/neg (11)s (Large).bmp
  6 hiwawa   0   0   2 bild/neg (3)s (Large).bmp
  6 hiwawa   0   1  12 bild/neg (13)s (Large).bmp
  6 hiwawa   0   2  14 bild/neg (15)s (Large).bmp
  6 hiwawa   0   3  18 bild/neg (19)s (Large).bmp
  6 hiwawa   0   4   5 bild/neg (6)s (Large).bmp
  7 kiwehon   0   0  19 bild/neg (20)s (Large).bmp
  7 kiwehon   0   1   0 bild/neg (1)s (Large).bmp
  7 kiwehon   0   2  11 bild/neg (12)s (Large).bmp
  7 kiwehon   0   3   3 bild/neg (4)s (Large).bmp
  7 kiwehon   0   4  13 bild/neg (14)s (Large).bmp
  8 permife   0   0   6 bild/neg (7)s (Large).bmp
  8 permife   0   1  23 bild/neg (24)s (Large).bmp
  8 permife   0   2  15 bild/neg (16)s (Large).bmp
  8 permife   0   3  24 bild/neg (25)s (Large).bmp
  8 permife   0   4   9 bild/neg (10)s (Large).bmp
  9 pimuide   0   0  20 bild/neg (21)s (Large).bmp
  9 pimuide   0   1   1 bild/neg (2)s (Large).bmp
  9 pimuide   0   2  16 bild/neg (17)s (Large).bmp
  9 pimuide   0   3  21 bild/neg (22)s (Large).bmp
  9 pimuide   0   4   4 bild/neg (5)s (Large).bmp
 10 nalber   0   0   5 bild/neg (6)s (Large).bmp
 10 nalber   0   1   7 bild/neg (8)s (Large).bmp
 10 nalber   0   2   1 bild/neg (2)s (Large).bmp
 10 nalber   0   3  23 bild/neg (24)s (Large).bmp
 10 nalber   0   4  16 bild/neg (17)s (Large).bmp
 11 laumens   0   0   2 bild/neg (3)s (Large).bmp
 11 laumens   0   1   4 bild/neg (5)s (Large).bmp
 11 laumens   0   2  10 bild/neg (11)s (Large).bmp
 11 laumens   0   3  21 bild/neg (22)s (Large).bmp
 11 laumens   0   4  12 bild/neg (13)s (Large).bmp
 12 tewok   1   0   8 bild/pos (9)s (Large).bmp
 12 tewok   1   1   4 bild/pos (5)s (Large).bmp
 12 tewok   1   2   6 bild/pos (7)s (Large).bmp
