subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
55,8,a,EC_only,nonword,0,seloom,negative,critical,no,yes,no,no,1662245,1669841
55,8,a,EC_only,nonword,1,naptor,none,filler,no,yes,no,no,1670874,1672743
55,8,a,EC_only,nonword,2,trelle,none,filler,yes,no,no,no,1673776,1674704
55,8,a,EC_only,nonword,3,coskie,positive,critical,yes,no,no,no,1675738,1676458
55,8,a,EC_only,nonword,4,hesire,none,filler,no,no,no,yes,1677491,1679452
55,8,a,EC_only,nonword,5,tavoo,negative,critical,no,no,yes,no,1680485,1683011
55,8,a,EC_only,nonword,6,makan,none,filler,no,yes,no,no,1684045,1685342
55,8,a,EC_only,nonword,7,zillie,none,filler,no,yes,no,no,1686383,1687181
55,8,a,EC_only,nonword,8,parlic,positive,critical,no,yes,no,no,1688214,1689054
55,8,a,EC_only,nonword,9,lobee,positive,critical,no,no,yes,no,1690086,1691102
55,8,a,EC_only,nonword,10,tafta,positive,critical,yes,no,no,no,1692134,1693088
55,8,a,EC_only,nonword,11,pubio,positive,control,yes,no,no,no,1694121,1694926
55,8,a,EC_only,nonword,12,babit,negative,critical,no,no,no,yes,1695958,1697400
55,8,a,EC_only,nonword,13,altine,negative,critical,no,no,yes,no,1698433,1699822
55,8,a,EC_only,nonword,14,avouco,negative,control,no,no,no,yes,1700854,1703574
55,8,a,EC_only,nonword,15,roosle,none,filler,yes,no,no,no,1704613,1706276
