subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
72,8,b,EC_subj_obj,nonword,0,tafta,positive,critical,5,1967843,1971649
72,8,b,EC_subj_obj,nonword,1,avouco,negative,control,15,1972681,1976499
72,8,b,EC_subj_obj,nonword,2,parlic,positive,critical,6,1977532,1980389
72,8,b,EC_subj_obj,nonword,3,altine,negative,critical,14,1981421,1983827
72,8,b,EC_subj_obj,nonword,4,seloom,negative,critical,1,1984859,1987720
72,8,b,EC_subj_obj,nonword,5,naptor,none,filler,1,1988752,1990378
72,8,b,EC_subj_obj,nonword,6,lobee,positive,critical,16,1991410,1993908
72,8,b,EC_subj_obj,nonword,7,pubio,positive,control,13,1994941,1996942
72,8,b,EC_subj_obj,nonword,8,babit,negative,critical,12,1997973,1999612
72,8,b,EC_subj_obj,nonword,9,roosle,none,filler,16,2000644,2004784
72,8,b,EC_subj_obj,nonword,10,makan,none,filler,2,2005816,2008101
72,8,b,EC_subj_obj,nonword,11,trelle,none,filler,2,2009132,2010950
72,8,b,EC_subj_obj,nonword,12,tavoo,negative,critical,4,2011982,2013825
72,8,b,EC_subj_obj,nonword,13,coskie,positive,critical,4,2014856,2016356
72,8,b,EC_subj_obj,nonword,14,zillie,none,filler,11,2017387,2019782
72,8,b,EC_subj_obj,nonword,15,hesire,none,filler,15,2020815,2023526
