subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
116,6,a,EC_only,nonword,0,altine,positive,critical,11,1660485,1668074
116,6,a,EC_only,nonword,1,pubio,none,filler,12,1669106,1674538
116,6,a,EC_only,nonword,2,seloom,positive,critical,14,1675570,1678835
116,6,a,EC_only,nonword,3,tavoo,negative,critical,15,1679867,1681543
116,6,a,EC_only,nonword,4,trelle,none,filler,10,1682575,1686514
116,6,a,EC_only,nonword,5,coskie,negative,control,16,1687546,1689913
116,6,a,EC_only,nonword,6,roosle,none,filler,13,1690945,1692135
116,6,a,EC_only,nonword,7,zillie,positive,control,7,1693166,1695519
116,6,a,EC_only,nonword,8,hesire,negative,critical,9,1696550,1698276
116,6,a,EC_only,nonword,9,avouco,positive,critical,10,1699307,1701270
116,6,a,EC_only,nonword,10,lobee,none,filler,14,1702302,1703692
116,6,a,EC_only,nonword,11,babit,positive,critical,16,1704724,1706785
116,6,a,EC_only,nonword,12,parlic,negative,critical,12,1707816,1710764
116,6,a,EC_only,nonword,13,naptor,none,filler,8,1711796,1714065
116,6,a,EC_only,nonword,14,tafta,negative,critical,12,1715096,1716335
116,6,a,EC_only,nonword,15,makan,none,filler,12,1717367,1718209
