subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
50,12,a,EC_only,nonword,0,lobee,positive,critical,12,1341147,1344870
50,12,a,EC_only,nonword,1,tafta,none,filler,9,1345901,1348477
50,12,a,EC_only,nonword,2,pubio,negative,critical,5,1349510,1352032
50,12,a,EC_only,nonword,3,makan,none,filler,3,1353064,1355628
50,12,a,EC_only,nonword,4,trelle,positive,control,2,1356660,1358407
50,12,a,EC_only,nonword,5,naptor,positive,critical,2,1359438,1361107
50,12,a,EC_only,nonword,6,hesire,none,filler,16,1362139,1363937
50,12,a,EC_only,nonword,7,avouco,none,filler,16,1364969,1366059
50,12,a,EC_only,nonword,8,coskie,negative,critical,10,1367091,1369103
50,12,a,EC_only,nonword,9,roosle,positive,critical,13,1370135,1371704
50,12,a,EC_only,nonword,10,seloom,none,filler,12,1372735,1374596
50,12,a,EC_only,nonword,11,zillie,positive,critical,11,1375630,1376911
50,12,a,EC_only,nonword,12,parlic,none,filler,3,1377944,1379744
50,12,a,EC_only,nonword,13,altine,negative,control,2,1380775,1382185
50,12,a,EC_only,nonword,14,babit,negative,critical,8,1383216,1385615
50,12,a,EC_only,nonword,15,tavoo,negative,critical,1,1386646,1388647
