subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
36,2,a,EC_only,nonword,0,naptor,positive,critical,13,1377636,1385021
36,2,a,EC_only,nonword,1,zillie,none,filler,9,1386053,1390795
36,2,a,EC_only,nonword,2,babit,none,filler,5,1391827,1395801
36,2,a,EC_only,nonword,3,seloom,positive,critical,8,1396833,1401121
36,2,a,EC_only,nonword,4,trelle,negative,critical,16,1402153,1405801
36,2,a,EC_only,nonword,5,roosle,none,filler,11,1406833,1412763
36,2,a,EC_only,nonword,6,altine,none,filler,2,1413796,1417635
36,2,a,EC_only,nonword,7,makan,negative,control,5,1418668,1424396
36,2,a,EC_only,nonword,8,lobee,negative,critical,9,1425427,1429681
36,2,a,EC_only,nonword,9,tavoo,negative,critical,12,1430712,1433366
36,2,a,EC_only,nonword,10,coskie,positive,critical,14,1434397,1436729
36,2,a,EC_only,nonword,11,pubio,negative,critical,14,1437761,1440205
36,2,a,EC_only,nonword,12,hesire,none,filler,5,1441236,1443878
36,2,a,EC_only,nonword,13,avouco,positive,critical,11,1444910,1447538
36,2,a,EC_only,nonword,14,parlic,none,filler,6,1448569,1451669
36,2,a,EC_only,nonword,15,tafta,positive,control,5,1452701,1455206
