subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
71,17,a,EC_only,pokemon,0,40_mittel.png,positive,critical,no,no,yes,no,1464776,1468199
71,17,a,EC_only,pokemon,1,4_mittel.png,positive,critical,no,no,no,yes,1469232,1479633
71,17,a,EC_only,pokemon,2,9_mittel.png,positive,control,yes,no,no,no,1480666,1486272
71,17,a,EC_only,pokemon,3,39_mittel.png,negative,control,no,yes,no,no,1487305,1488848
71,17,a,EC_only,pokemon,4,37_mittel.png,negative,critical,no,no,yes,no,1489881,1492184
71,17,a,EC_only,pokemon,5,11_mittel.png,negative,critical,no,no,yes,no,1493217,1495926
71,17,a,EC_only,pokemon,6,10_mittel.png,negative,critical,no,no,yes,no,1496959,1498307
71,17,a,EC_only,pokemon,7,18_mittel.png,none,filler,no,no,no,yes,1499347,1502362
71,17,a,EC_only,pokemon,8,23_mittel.png,negative,critical,no,no,yes,no,1503395,1506206
71,17,a,EC_only,pokemon,9,15_mittel.png,none,filler,no,no,yes,no,1507238,1510881
71,17,a,EC_only,pokemon,10,2_mittel.png,positive,critical,no,yes,no,no,1511913,1514106
71,17,a,EC_only,pokemon,11,24_mittel.png,none,filler,no,no,no,yes,1515138,1516837
71,17,a,EC_only,pokemon,12,5_mittel.png,none,filler,no,no,yes,no,1517870,1519080
71,17,a,EC_only,pokemon,13,25_mittel.png,none,filler,no,no,yes,no,1520114,1521414
71,17,a,EC_only,pokemon,14,16_mittel.png,none,filler,no,yes,no,no,1522447,1526162
71,17,a,EC_only,pokemon,15,22_mittel.png,positive,critical,no,no,yes,no,1527195,1529668
