subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
83,14,a,EC_only,nonword,0,trelle,positive,critical,no,no,yes,no,1675418,1687098
83,14,a,EC_only,nonword,1,roosle,positive,critical,no,no,yes,no,1688131,1689418
83,14,a,EC_only,nonword,2,hesire,positive,critical,no,no,yes,no,1690451,1692334
83,14,a,EC_only,nonword,3,naptor,negative,critical,no,no,yes,no,1693367,1695298
83,14,a,EC_only,nonword,4,coskie,negative,critical,no,no,yes,no,1696331,1699006
83,14,a,EC_only,nonword,5,avouco,none,filler,no,no,yes,no,1700039,1701099
83,14,a,EC_only,nonword,6,babit,negative,critical,no,no,yes,no,1702132,1703516
83,14,a,EC_only,nonword,7,altine,none,filler,no,no,yes,no,1704548,1705840
83,14,a,EC_only,nonword,8,seloom,none,filler,no,no,yes,no,1706873,1707837
83,14,a,EC_only,nonword,9,lobee,positive,control,no,no,yes,no,1708879,1710288
83,14,a,EC_only,nonword,10,parlic,none,filler,no,no,yes,no,1711320,1715604
83,14,a,EC_only,nonword,11,zillie,positive,critical,no,no,yes,no,1716636,1718734
83,14,a,EC_only,nonword,12,makan,negative,control,no,no,yes,no,1719766,1721398
83,14,a,EC_only,nonword,13,tafta,none,filler,no,no,yes,no,1722430,1724300
83,14,a,EC_only,nonword,14,pubio,none,filler,no,no,yes,no,1725333,1727613
83,14,a,EC_only,nonword,15,tavoo,negative,critical,no,no,yes,no,1728646,1729189
