subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
118,3,a,EC_subj_obj,nonword,0,coskie,positive,critical,6,2819325,2832844
118,3,a,EC_subj_obj,nonword,1,pubio,none,filler,16,2833877,2837667
118,3,a,EC_subj_obj,nonword,2,roosle,positive,critical,11,2838699,2842717
118,3,a,EC_subj_obj,nonword,3,altine,none,filler,17,2843749,2856496
118,3,a,EC_subj_obj,nonword,4,lobee,negative,critical,18,2857528,2863840
118,3,a,EC_subj_obj,nonword,5,hesire,negative,critical,16,2864872,2869543
118,3,a,EC_subj_obj,nonword,6,trelle,none,filler,16,2870576,2875526
118,3,a,EC_subj_obj,nonword,7,naptor,none,filler,16,2876558,2884409
118,3,a,EC_subj_obj,nonword,8,avouco,none,filler,14,2885440,2888946
118,3,a,EC_subj_obj,nonword,9,zillie,negative,critical,4,2889977,2895261
118,3,a,EC_subj_obj,nonword,10,seloom,positive,critical,10,2896293,2899677
118,3,a,EC_subj_obj,nonword,11,babit,positive,critical,13,2900708,2903735
118,3,a,EC_subj_obj,nonword,12,tafta,negative,critical,12,2904766,2908350
118,3,a,EC_subj_obj,nonword,13,makan,positive,control,15,2909381,2913388
118,3,a,EC_subj_obj,nonword,14,tavoo,none,filler,14,2914420,2922455
118,3,a,EC_subj_obj,nonword,15,parlic,negative,control,16,2923486,2927355
